項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),438181,394976,6106,8859895,8896994
融券(交易單位),19778,25538,2643,217718,220835
融資金額(仟元),43407408,34586673,582180,569876903,578115458
