證券代號,證券名稱,交易別,成交價,成交股數,成交金額
00878,國泰永續高股息,配對交易,37.52,"700,000","26,264,000"
00918,大華優利高填息30,配對交易,32.30,"500,000","16,150,000"
01010T,京城樂富R1,配對交易,10.00,"5,000,000","50,000,000"
1590,亞德客-KY,配對交易,"1,365.95","73,000","99,714,350"
2330,台積電,配對交易,"2,460.00","66,000","162,360,000"
2330,台積電,配對交易,"2,448.29","17,153","41,995,518"
2330,台積電,配對交易,"2,448.26","13,847","33,901,056"
2330,台積電,配對交易,"2,435.00","131,000","318,985,000"
2345,智邦,配對交易,"2,127.50","101,000","214,877,500"
2382,廣達,配對交易,342.00,"56,000","19,152,000"
2383,台光電,配對交易,"5,440.00","4,000","21,760,000"
2454,聯發科,配對交易,"4,855.00","4,000","19,420,000"
2454,聯發科,配對交易,"4,845.00","35,000","169,575,000"
2881,富邦金,配對交易,135.50,"200,000","27,100,000"
2882,國泰金,配對交易,103.50,"560,000","57,960,000"
2884,玉山金,配對交易,43.72,"371,000","16,220,120"
2884,玉山金,配對交易,43.69,"417,000","18,218,730"
2885,元大金,配對交易,76.70,"300,000","23,010,000"
2890,永豐金,配對交易,47.10,"1,300,000","61,230,000"
2891,中信金,配對交易,67.25,"500,000","33,625,000"
3006,晶豪科,配對交易,301.00,"1,082,941","325,965,241"
3017,奇鋐,配對交易,"3,462.14","7,000","24,234,980"
3036,文曄,配對交易,191.50,"1,332,000","255,078,000"
3037,欣興,配對交易,942.67,"357,000","336,533,190"
3044,健鼎,配對交易,496.25,"349,000","173,191,250"
3665,貿聯-KY,配對交易,"1,935.00","28,000","54,180,000"
6669,緯穎,配對交易,"2,565.00","10,000","25,650,000"
6669,緯穎,配對交易,"2,525.00","123,000","310,575,000"
總計,,,,"13,637,941","2,936,925,936"
