排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
1,1442,名軒,27.8,-0.95,-3.3,794,09/23,,,,6700.0,6700.0,750.0,1260.0,,-15.0,240.0
2,3260,威剛,383.0,-1.0,-0.26,3408,09/23,-6.33,17.5,,3600.0,-87.3,-91.8,-86.3,-95.6,-97.3,-97.5
3,4707,磐亞,29.2,-0.5,-1.68,1950,09/23,10.2,86.2,671.0,2600.0,575.0,,-63.3,,1250.0,5300.0
4,3047,訊舟,14.7,-0.1,-0.68,1113,09/23,-40.5,-24.1,633.0,2100.0,633.0,120.0,29.4,1000.0,-93.1,-80.9
5,00400A,主動國泰動能高息,15.57,0.08,0.52,27029,09/23,15.6,68.2,1750.0,1750.0,3600.0,76.2,-24.5,,,
6,2330,台積電,2500.0,40.0,1.63,22818,09/23,63.6,12.5,20.0,1700.0,-50.0,-41.9,-60.0,0.0,-91.1,-89.2
7,6221,晉泰,31.6,1.05,3.44,1194,09/23,-23.1,-28.6,275.0,1400.0,,,,,900.0,500.0
8,3563,牧德,753.0,42.0,5.91,2274,09/23,40.0,600.0,600.0,1300.0,1300.0,1300.0,,-44.0,-78.5,-39.1
9,5209,新鼎,167.5,-2.0,-1.18,54,09/23,0.0,0.0,18.2,1200.0,,,,,,
10,6133,金橋,26.05,-1.15,-4.23,3362,09/23,-20.0,-54.7,-45.5,1100.0,,2300.0,500.0,-78.4,-45.5,-68.8
11,2834,臺企銀,17.9,-0.35,-1.92,37735,09/23,-0.97,47.0,755.0,1093.0,566.0,1873.0,2918.0,1250.0,2600.0,1455.0
12,3717,聯嘉投控,26.05,0.8,3.17,30360,09/23,-3.26,22.2,195.0,1042.0,979.0,870.0,358.0,,46291.0,84950.0
13,009829,大華韓國KOSPI50,11.12,0.15,1.37,24250,09/23,1.5,1961.0,471.0,1002.0,126.0,11750.0,,,,
14,6120,達運,12.8,-0.35,-2.66,4425,09/23,-12.7,5.77,7.84,1000.0,817.0,3.77,5400.0,17.0,,-27.6
15,8422,可寧衛*,25.65,-0.05,-0.19,2412,09/23,5.0,2.44,385.0,950.0,530.0,28.6,,,-37.6,-99.1
16,6205,詮欣,72.0,6.5,9.92,4231,09/23,325.0,467.0,920.0,920.0,920.0,920.0,,,,-79.0
17,6526,達發,840.0,76.0,9.95,4748,09/23,170.0,575.0,440.0,800.0,1250.0,1250.0,440.0,,,
18,3665,貿聯-KY,2340.0,95.0,4.23,3676,09/23,26.7,2.7,72.7,660.0,660.0,-82.1,245.0,,-83.0,-77.9
19,6742,澤米,55.2,2.5,4.74,3936,09/23,81.2,52.6,11.5,625.0,383.0,867.0,-86.5,142.0,-71.0,3.57
20,6234,高僑,38.2,-0.45,-1.16,1333,09/23,16.7,-88.5,-53.3,600.0,,75.0,-46.2,-30.0,-92.6,-94.1
21,3661,世芯-KY,3760.0,45.0,1.21,1783,09/23,3.85,28.6,50.0,575.0,350.0,-12.9,-63.5,,-25.0,-56.5
22,1314,中石化,9.01,0.27,3.09,99542,09/23,11.8,-12.2,-5.14,493.0,526.0,463.0,403.0,26.7,174.0,105.0
23,6189,豐藝,49.1,1.1,2.29,939,09/23,120.0,175.0,267.0,450.0,267.0,10.0,,,-57.7,-64.5
24,4903,聯光通,42.15,0.1,0.24,11640,09/23,51.8,0.0,227.0,431.0,1600.0,166.0,1114.0,44.1,,-67.2
25,6830,汎銓,545.0,-2.0,-0.37,799,09/23,1.13,1.28,28.4,403.0,1600.0,966.0,1388.0,235.0,906.0,1452.0
26,1736,喬山,126.0,1.5,1.2,193,09/23,0.0,400.0,400.0,400.0,400.0,-58.3,400.0,-89.4,-95.8,-82.1
27,3178,公準,70.0,-2.5,-3.45,617,09/23,-54.5,-81.5,66.7,400.0,400.0,400.0,25.0,150.0,150.0,-28.6
