鉅額交易個股最新行情
資料日期:115/09/02
"交易型態","交割期別","代號","名稱","成交價格(元)","成交股數","成交值(元)","成交時間"
"配對交易-單一型","T+2日交割","5274","信驊            ","18006.42","900","16,205,778","14:13"
"配對交易-單一型","T+2日交割","5274","信驊            ","17975.09","1,760","31,636,158","14:17"
"配對交易-單一型","T+2日交割","5274","信驊            ","17975.06","2,240","40,264,134","14:18"
"配對交易-單一型","T+2日交割","5274","信驊            ","18006.40","1,100","19,807,040","14:14"
"配對交易-單一型","T+2日交割","5347","世界            ","151.05","3,832,000","578,823,600","14:14"
"配對交易-單一型","T+2日交割","5347","世界            ","151.06","440,000","66,466,400","14:14"
"共6筆"

"ETF證券代號第六碼為K、C者，表示該ETF以外幣交易，其一交易單位(張)應為100受益權或其整倍數，請詳其公開說明書。"
