排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 發行 張數,2日 買賣超 佔 發行 張數,3日 買賣超 佔 發行 張數,5日 買賣超 佔 發行 張數,10日 買賣超 佔 發行 張數,1個月 買賣超 佔 發行 張數,3個月 買賣超 佔 發行 張數,半年 買賣超 佔 發行 張數,1年 買賣超 佔 發行 張數,3年 買賣超 佔 發行 張數,10年 買賣超 佔 發行 張數,今年 買賣超 佔 發行 張數
136,4916,事欣科,105.5,2.5,2.43,09/18,0.21,0.61,0.78,0.73,0.43,-0.29,-16.3,-1.83,0.79,-3.35,-4.78,2.1
137,00875,國泰網路資安,57.2,0.55,0.97,09/18,-0.04,0.84,0.89,0.72,0.73,0.72,0.58,9.48,25.4,109.0,,13.6
138,3055,蔚華科,171.0,10.0,6.21,09/18,0.24,0.31,0.49,0.72,-1.0,-2.86,-0.34,-0.58,1.39,-1.32,-4.27,-0.62
139,2006,東和鋼鐵,87.6,5.1,6.18,09/18,0.28,0.66,0.76,0.72,0.78,0.48,8.58,11.1,12.8,12.1,18.4,13.4
140,00717,富邦美國特別股,14.67,0.08,0.55,09/18,0.1,0.26,0.38,0.72,0.94,1.17,5.44,16.5,24.5,66.7,,20.3
141,00696B,富邦美債20年,27.99,0.19,0.68,09/18,0.33,0.36,0.35,0.71,0.31,1.2,12.3,25.2,92.7,213.0,,76.3
142,00847B,中信美國市政債,24.33,0.13,0.54,09/18,0.11,0.5,0.5,0.71,1.1,1.34,-3.94,1.55,1.55,1.41,,1.55
143,2439,美律,78.2,-1.1,-1.39,09/18,0.06,0.49,0.67,0.7,0.8,-0.32,-4.29,-7.36,-2.45,-6.0,-15.8,-10.9
144,7828,創新服務,2125.0,190.0,9.82,09/18,0.76,0.74,0.81,0.7,2.02,2.45,5.07,,,,,
145,00987A,主動台新優勢成長,16.63,0.8,5.05,09/18,0.86,0.89,0.98,0.7,1.41,1.92,5.12,12.4,,,,33.0
146,6271,同欣電,229.5,4.5,2.0,09/18,0.13,0.3,0.4,0.7,-0.96,1.57,-0.55,3.53,9.75,16.3,2.3,6.41
147,6425,易發,68.2,5.3,8.43,09/18,0.43,0.65,0.7,0.7,0.6,-1.65,0.44,-4.65,0.29,-1.1,,-7.26
148,2375,凱美,119.5,2.0,1.7,09/18,0.18,0.11,0.29,0.69,-0.17,-3.29,-8.72,-4.49,0.46,0.3,2.53,0.24
149,2030,彰源,24.95,1.45,6.17,09/18,0.15,0.49,0.7,0.69,1.0,2.79,5.82,8.66,8.11,10.2,7.84,8.07
150,8383,千附,68.5,2.3,3.47,09/18,0.61,0.86,1.22,0.69,0.18,-1.86,0.79,3.65,2.41,3.1,2.63,3.95
151,6435,大中,246.0,5.0,2.07,09/18,0.17,0.12,0.42,0.68,0.37,-0.65,-6.8,-3.34,0.7,5.58,5.31,-0.38
152,7799,禾榮科,504.0,2.0,0.4,09/18,0.08,0.44,0.65,0.67,0.68,0.72,0.41,-0.52,-0.64,,,-0.27
153,6945,圓祥生技,132.0,8.0,6.45,09/18,-0.04,0.33,0.4,0.67,0.62,0.58,0.39,,,,,
154,3034,聯詠,558.0,13.0,2.39,09/18,0.3,0.34,0.44,0.67,1.28,2.8,7.74,12.4,15.4,-3.87,-11.3,16.7
155,2425,承啟,37.0,0.4,1.09,09/18,0.11,0.25,0.49,0.66,1.03,1.93,-6.06,-3.51,-2.29,4.11,-45.5,-2.32
156,6199,天品,113.0,8.0,7.62,09/18,0.41,0.92,0.26,0.66,-0.33,-0.09,0.79,1.04,0.96,0.92,0.94,0.97
157,00409A,主動復華全球50,9.78,0.25,2.62,09/18,0.47,0.66,0.63,0.66,1.77,,,,,,,
