排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
1,7769,鴻勁,6540.0,405.0,6.6,09/18,103.0,165.0,195.0,284.0,327.0,266.0,73.8,140.0,,
2,7610,聯友金屬-創,1945.0,175.0,9.89,09/18,25.6,57.5,420.0,223.0,293.0,172.0,322.0,,,
3,4556,旭然,83.2,0.4,0.48,09/18,16.1,40.5,100.0,174.0,180.0,333.0,360.0,1693.0,2789.0,2789.0
4,1709,和益,39.2,-3.75,-8.73,09/18,48.8,99.6,113.0,169.0,257.0,315.0,367.0,495.0,382.0,493.0
5,1815,富喬,119.5,7.5,6.7,09/18,7.77,32.9,68.0,125.0,21.4,-64.0,-66.4,-29.1,-50.4,-21.7
6,009828,中信台日韓PCB,9.34,0.16,1.74,09/18,8.95,74.7,85.0,117.0,2254.0,,,,,
7,009829,大華韓國KOSPI50,10.63,0.23,2.21,09/18,11.3,21.9,102.0,104.0,244.0,,,,,
8,6722,輝創,32.9,0.5,1.54,09/18,0.0,0.0,0.0,100.0,300.0,,,,,
9,1303,南亞,238.0,2.0,0.85,09/18,26.1,41.1,48.8,96.6,80.4,56.2,961.0,20.7,-75.4,-56.8
10,00864B,中信美國公債0-1,46.1,-0.15,-0.32,09/18,17.9,36.8,61.9,87.9,87.9,67.2,-48.2,0.66,-5.32,-12.1
11,3450,聯鈞,538.0,13.0,2.48,09/18,13.4,45.8,63.7,87.4,70.3,-11.0,20.0,-55.6,-64.4,-64.8
12,00915,凱基優選高股息30,33.11,0.08,0.24,09/18,0.0,0.0,0.0,83.8,116.0,99.4,44.5,-1.14,-21.6,11.8
13,6531,愛普*,968.0,48.0,5.22,09/18,-1.92,-2.56,14.0,82.2,71.7,28.4,15.1,5.45,10.8,21.1
14,0055,元大MSCI金融,50.15,-0.7,-1.38,09/18,2.77,8.49,39.5,80.7,270.0,270.0,319.0,488.0,205.0,656.0
15,00998A,主動復華金融股息,17.22,-0.08,-0.46,09/18,0.0,0.0,76.0,76.0,165.0,165.0,20.8,,,
16,3443,創意,7150.0,650.0,10.0,09/18,18.7,46.1,46.2,72.1,31.0,117.0,-3.67,134.0,-4.54,120.0
17,00411A,主動統一前沿科技,10.13,0.22,2.22,09/18,60.0,60.0,60.0,71.4,71.4,,,,,
18,6213,聯茂,505.0,10.0,2.02,09/18,12.4,66.6,76.8,70.1,38.6,-21.2,-20.8,-14.7,-45.6,-59.1
19,00406A,主動中信台灣收益,9.59,0.28,3.01,09/18,0.16,29.3,48.4,69.4,65.2,268.0,476130.0,,,
20,00673R,期元大S&P原油反1,10.26,0.11,1.08,09/18,13.3,32.0,55.6,68.2,126.0,273.0,213.0,313.0,2043.0,
21,3490,單井,44.35,-1.0,-2.21,09/18,6.76,17.9,34.2,64.4,27.5,-5.01,1.19,63.3,166.0,44.7
22,00657,國泰日經225,77.2,1.35,1.78,09/18,0.96,0.96,0.96,64.1,64.1,64.1,66.7,1.94,-11.0,8.25
23,00990B,國泰收益非投等債,9.98,0.0,0.0,09/18,0.0,62.6,62.6,62.6,303.0,303.0,,,,
24,00749B,凱基新興債10+,30.67,0.11,0.36,09/18,0.0,3.85,58.8,58.8,80.0,575.0,2600.0,,,
25,2337,旺宏,121.0,4.5,3.86,09/18,6.68,8.65,9.51,58.5,47.8,53.3,125.0,97.2,-56.6,-57.8
26,3016,嘉晶,116.5,1.0,0.87,09/18,-1.4,6.9,15.7,56.5,115.0,141.0,303.0,121.0,-10.3,-7.42
27,6861,睿生光電,229.5,20.5,9.81,09/18,7.22,15.6,35.5,56.2,89.6,58.7,178.0,236.0,335.0,62.3
28,6446,藥華藥,1180.0,-15.0,-1.26,09/18,12.0,27.8,35.2,55.3,129.0,452.0,705.0,191.0,-48.4,-26.5
29,7730,暉盛-創,175.0,-0.5,-0.28,09/18,6.25,6.25,41.7,54.5,112.0,88.9,183.0,,,
30,00981A,主動統一台股增長,29.07,0.94,3.34,09/18,0.79,10.4,31.7,51.5,56.7,-28.0,-9.91,-30.0,291.0,156.0
31,2910,統領,23.65,0.25,1.07,09/18,20.0,20.0,50.0,50.0,50.0,50.0,50.0,-83.8,-84.6,-83.8
32,6934,心誠鎂,76.8,1.3,1.72,09/18,20.0,20.0,50.0,50.0,200.0,200.0,,,,
33,7717,萊德光電-KY,600.0,21.0,3.63,09/18,0.41,9.95,19.1,50.0,106.0,54.8,39.7,1520.0,,
34,7751,竑騰,1485.0,65.0,4.58,09/18,18.4,19.4,24.1,49.7,37.4,138.0,608.0,813.0,,502.0
35,3661,世芯-KY,3540.0,245.0,7.44,09/18,1.2,17.0,24.7,47.4,364.0,94.2,-57.3,-71.8,-44.5,-31.1
36,1591,駿吉-KY,41.7,2.3,5.84,09/18,7.64,13.0,16.6,47.0,57.9,156.0,,-55.4,-53.1,-56.3
37,3467,台灣精材,77.4,3.9,5.31,09/18,-1.43,19.0,50.0,46.8,72.5,72.5,11.3,97.1,,109.0
38,2368,金像電,1020.0,70.0,7.37,09/18,15.5,43.1,51.2,46.0,2.79,174.0,319.0,-55.3,-29.5,-44.1
39,2344,華邦電,179.5,9.5,5.59,09/18,0.5,5.1,6.65,45.7,-21.4,47.9,-38.5,17.6,9.5,177.0
40,2464,盟立,197.0,17.5,9.75,09/18,11.0,20.2,30.1,43.8,140.0,78.3,39.2,16.1,-35.0,-33.5
41,00939,統一台灣高息動能,24.34,-0.07,-0.29,09/18,9.16,16.1,21.6,43.5,120.0,316.0,95.6,872.0,109.0,333.0
42,2472,立隆電,216.0,7.5,3.6,09/18,15.9,15.9,14.8,43.1,41.1,-0.52,-14.2,88.6,64.6,25.6
43,00989B,台新美國非投等債,9.95,-0.02,-0.2,09/18,0.0,0.0,0.0,41.3,135.0,494.0,28400.0,,,
44,00850,元大臺灣ESG永續,93.75,1.6,1.74,09/18,0.0,9.0,12.1,39.4,-80.3,-80.3,-84.1,-89.6,-92.6,-92.4
45,2395,研華,690.0,4.0,0.58,09/18,3.89,8.1,16.1,38.7,7.48,25.5,-62.8,-89.8,77.0,-55.6
46,6887,寶綠特-KY,38.9,0.6,1.57,09/18,10.0,22.2,37.5,37.5,37.5,37.5,-57.7,-50.0,,-54.2
47,4908,前鼎,243.5,5.5,2.31,09/18,11.0,32.1,31.9,37.0,12.4,90.7,-2.46,-17.5,-17.3,-21.8
48,2064,晉椿,11.75,-0.2,-1.67,09/18,0.0,32.3,32.3,36.7,36.7,36.7,17.1,20.6,5.13,24.2
49,4939,亞電,78.3,0.7,0.9,09/18,12.5,21.5,30.4,35.6,18.9,-32.4,-12.2,24.3,250.0,-33.6
50,3189,景碩,832.0,27.0,3.35,09/18,7.13,27.0,18.2,35.3,43.3,105.0,104.0,-65.8,-12.2,17.9
51,6584,南俊國際,576.0,25.0,4.54,09/18,26.7,28.4,30.8,35.1,86.7,67.0,91.8,609.0,92.8,229.0
52,7765,中華資安,243.0,12.0,5.19,09/18,8.56,18.7,25.4,35.0,59.2,65.1,193.0,,,
53,2884,玉山金,46.4,-0.9,-1.9,09/18,10.7,20.6,26.4,34.7,6.29,-37.4,-47.8,-52.3,1427.0,-37.3
54,4416,三圓,12.15,1.1,9.95,09/18,6.17,11.7,11.7,34.4,34.4,38.0,80.4,153.0,13041.0,1336.0
55,3498,陽程,195.0,10.5,5.69,09/18,-0.43,12.9,9.9,34.1,33.7,-24.7,11.9,-1.07,-39.1,-14.2
56,00918,大華優利高填息30,34.15,-0.35,-1.01,09/18,-0.26,10.7,19.3,33.9,153.0,887.0,26.7,282.0,214.0,13.1
57,8358,金居,499.5,21.0,4.39,09/18,-0.14,18.1,22.0,33.6,28.5,47.4,390.0,108.0,64.2,177.0
58,3029,零壹,125.0,9.0,7.76,09/18,0.26,6.14,16.3,32.7,19.1,-8.66,-48.4,-39.5,12.8,-18.5
59,00714,群益道瓊美國地產,21.12,-0.08,-0.38,09/18,0.0,9.25,17.1,32.1,50.8,50.8,49.6,41.6,164.0,41.6
60,6005,群益證,31.5,0.2,0.64,09/18,7.16,8.05,15.8,31.5,38.2,59.3,-1.5,13.6,59.4,16.5
61,00400A,主動國泰動能高息,15.0,0.43,2.95,09/18,0.0,4.77,14.4,31.3,31.2,23.6,211.0,,,
62,00753L,中信中國50正2,8.86,0.12,1.37,09/18,6.4,13.3,23.1,31.0,33.1,27.1,-50.4,-59.9,-21.2,-59.2
63,7828,創新服務,2125.0,190.0,9.82,09/18,-1.79,7.84,31.0,31.0,39.2,31.0,,,,
64,1444,力麗,6.81,-0.2,-2.85,09/18,5.77,12.4,15.1,30.5,443.0,,,9.87,-83.0,-60.2
65,3704,合勤控,41.15,0.85,2.11,09/18,1.02,8.27,13.3,30.4,62.3,166.0,80.2,-50.6,-46.4,-48.6
