排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
1,6533,晶心科,256.0,-1.0,-0.39,1516,09/08,17.0,,,50800.0,793.0,544.0,1491.0,1397.0,292.0,2324.0
2,2413,環科,45.95,-2.4,-4.96,4635,09/08,20.0,39.5,2900.0,5900.0,,500.0,11.1,-85.0,20.0,-94.8
3,8473,山林水,39.5,-0.95,-2.35,1689,09/08,,,,1750.0,124.0,25.4,-88.7,1380.0,3600.0,2367.0
4,2442,新美齊,15.95,-0.3,-1.85,3136,09/08,,,,1733.0,1275.0,5400.0,,-34.5,,
5,6620,漢達,124.0,11.0,9.73,5936,09/08,203.0,459.0,1179.0,1527.0,2457.0,842.0,,,,
6,1522,堤維西,26.8,-0.25,-0.92,231,09/08,0.0,-3.23,2900.0,1400.0,900.0,500.0,66.7,30.4,-77.3,3.45
7,5225,東科-KY,54.7,-1.7,-3.01,364,09/08,0.0,-11.1,1340.0,1340.0,-38.5,3500.0,555.0,1100.0,-19.1,80.0
8,009829,大華韓國KOSPI50,11.18,0.21,1.91,39087,09/08,109.0,127.0,118.0,1288.0,2120.0,,,,,
9,1591,駿吉-KY,39.1,3.55,9.99,892,09/08,1200.0,1200.0,1200.0,1200.0,1200.0,550.0,-35.0,0.0,-48.0,225.0
10,5392,能率,41.15,-1.05,-2.49,1321,09/08,0.0,0.0,80.0,800.0,,-88.6,-94.2,-71.9,-89.3,-95.5
11,2023,燁輝,13.95,0.0,0.0,1092,09/08,0.0,500.0,500.0,700.0,700.0,-55.6,1100.0,500.0,-20.0,2300.0
12,3093,港建*,45.0,-0.6,-1.32,155,09/08,0.0,0.0,600.0,600.0,0.0,0.0,-70.8,-81.6,,
13,8021,尖點,450.0,-12.0,-2.6,15127,09/08,382.0,582.0,133.0,556.0,599.0,433.0,108.0,191.0,-67.4,-71.0
14,3709,鑫聯大投控,62.0,-4.0,-6.06,1698,09/08,433.0,433.0,433.0,540.0,540.0,,23.1,-64.0,3.23,0.0
15,00951,台新日本半導體,17.83,0.04,0.22,2431,09/08,50.0,50.0,50.0,500.0,100.0,20.0,200.0,-25.0,-33.3,500.0
16,2838,聯邦銀,21.3,0.35,1.67,2715,09/08,0.0,500.0,500.0,500.0,500.0,500.0,-50.0,50.0,-33.3,-53.8
17,3040,遠見,35.8,0.1,0.28,119,09/08,0.0,0.0,0.0,500.0,500.0,500.0,20.0,-64.7,-99.8,-95.2
18,3066,李洲,23.95,-0.05,-0.21,569,09/08,0.0,-14.3,500.0,500.0,500.0,100.0,200.0,,,
19,3622,洋華,49.6,-0.7,-1.39,357,09/08,,,,500.0,200.0,200.0,,500.0,100.0,200.0
20,8431,匯鑽科,63.3,-4.0,-5.94,3596,09/08,-15.2,-27.6,84.6,500.0,1100.0,784.0,700.0,78.7,425.0,-58.6
21,3312,弘憶股,50.1,-1.2,-2.34,870,09/08,,,,483.0,-12.5,-27.1,-5.41,45.8,25.0,218.0
22,3354,律勝,28.3,1.9,7.2,4404,09/08,52.9,365.0,386.0,463.0,10600.0,1429.0,,269.0,,-52.9
23,3229,晟鈦,55.2,4.6,9.09,2773,09/08,,1000.0,,450.0,57.1,,,,,
24,2882,國泰金,113.5,-1.0,-0.87,19991,09/08,0.58,362.0,385.0,445.0,562.0,541.0,473.0,364.0,29.6,64.0
25,2441,超豐,114.5,-3.5,-2.97,4808,09/08,,,900.0,400.0,,-86.7,-99.3,-41.2,,-87.5
26,1597,直得,143.0,-9.0,-5.92,2378,09/08,-23.5,-25.0,-15.2,388.0,875.0,-20.4,-58.5,333.0,18.2,200.0
27,3078,僑威,45.2,0.25,0.56,662,09/08,-4.12,6.45,7.32,383.0,4300.0,7820.0,4300.0,2229.0,1984.0,2375.0
28,8064,東捷,134.5,12.0,9.8,7726,09/08,79.6,85.6,254.0,361.0,205.0,229.0,56.2,125.0,14.1,9.59
29,9105,泰金寶-DR,8.68,-0.17,-1.92,24982,09/08,-6.15,8.87,413.0,360.0,,35.2,-97.0,-39.0,807.0,393.0
30,4923,力士,55.0,4.1,8.06,782,09/08,380.0,500.0,350.0,350.0,454.0,555.0,-77.8,,,
31,5432,新門,162.0,-2.5,-1.52,177,09/08,-10.0,200.0,200.0,350.0,,,,200.0,28.6,-88.0
32,3693,營邦,669.0,-13.0,-1.91,3782,09/08,-2.0,58.1,123.0,345.0,,88.5,444.0,58.1,48.5,206.0
33,8210,勤誠,907.0,-30.0,-3.2,2470,09/08,-3.92,250.0,390.0,345.0,250.0,-69.9,40.0,-46.7,-81.6,-82.4
34,8042,金山電,113.0,-8.5,-7.0,10903,09/08,-52.4,-16.0,68.9,311.0,187.0,67.0,127.0,35.7,,-62.1
35,6834,天二科技,98.7,1.7,1.75,7654,09/08,63.5,124.0,233.0,305.0,110.0,33.9,,,,
36,1319,東陽,79.0,-2.7,-3.3,2842,09/08,300.0,300.0,200.0,300.0,9.09,-40.0,-96.7,-91.1,-92.7,-82.6
37,9921,巨大,95.6,-1.7,-1.75,1773,09/08,33.3,23.1,60.0,300.0,300.0,-93.2,-60.0,-83.3,-71.4,-91.8
