鉅額交易個股最新行情
資料日期:115/09/04
"交易型態","交割期別","代號","名稱","成交價格(元)","成交股數","成交值(元)","成交時間"
"配對交易-單一型","T+2日交割","3529","力旺            ","2401.23","13,530","32,488,641","13:35"
"配對交易-單一型","T+2日交割","3529","力旺            ","2401.22","19,470","46,751,753","13:36"
"配對交易-單一型","T+2日交割","5274","信驊            ","17482.58","1,000","17,482,580","14:22"
"配對交易-單一型","T+2日交割","5274","信驊            ","17502.50","2,000","35,005,000","12:11"
"配對交易-單一型","T+2日交割","6187","萬潤            ","1302.50","15,000","19,537,500","12:14"
"共5筆"

"ETF證券代號第六碼為K、C者，表示該ETF以外幣交易，其一交易單位(張)應為100受益權或其整倍數，請詳其公開說明書。"
