項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),265146,229380,3570,9070712,9102908
融券(交易單位),22737,16815,241,203610,197447
融資金額(仟元),24526351,19567841,227634,587166811,591897687
