排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
82,6792,詠業,60.2,0.1,0.17,45,09/07,7.0,9.56,16.7,18.5,19.3,19.8,-10.3,-21.5,-44.7,15.9
83,4979,華星光,590.0,-39.0,-6.2,15731,09/07,11.2,20.2,16.5,11.3,11.5,3.83,13.8,22.2,-33.0,-20.4
84,6498,久禾光,73.6,-1.8,-2.39,266,09/07,7.79,12.8,16.2,19.2,18.3,17.3,16.9,1385.0,,1422.0
85,00676R,富邦臺灣加權反1,5.35,-0.09,-1.65,11685,09/07,15.5,16.4,16.1,15.7,15.8,40.4,26.6,74.4,20.8,95.5
86,6240,松崗,22.85,-2.35,-9.33,250,09/07,1.61,-4.65,15.7,23.7,45.5,87.3,57.1,20.7,-7.18,-9.49
87,2911,麗嬰房,6.39,-0.03,-0.47,177,09/07,4.9,10.3,15.7,19.6,23.0,0.94,100.0,,,
88,00993A,主動安聯台灣,13.54,0.2,1.5,5960,09/07,-7.43,-13.0,15.3,7.86,3.84,-34.1,-50.4,-88.2,,
89,7711,永擎,660.0,28.0,4.43,2867,09/07,8.96,17.3,15.0,35.9,46.3,210.0,317.0,,,
90,8105,凌巨,15.2,0.2,1.33,2556,09/07,0.86,3.95,15.0,38.7,66.1,36.1,32.5,83.7,5.5,12.3
91,3021,鴻名,25.45,1.15,4.73,3026,09/07,-4.6,5.24,14.7,13.5,11.2,12.6,-17.8,-16.3,-25.3,-25.3
92,00404A,主動聯博動能50,10.03,0.17,1.72,17453,09/07,22.3,11.5,14.6,34.6,20.3,-31.2,,,,
93,2617,台航,32.9,0.45,1.39,3612,09/07,1.42,3.91,14.5,16.4,19.1,16.1,-1.69,28.2,22.4,13.6
94,6168,宏齊,29.4,0.35,1.2,9407,09/07,6.91,9.73,14.1,10.3,14.7,21.2,3.37,145.0,40.8,137.0
95,4526,東台,32.35,0.35,1.09,5082,09/07,2.0,1.53,14.1,15.1,16.4,12.5,-22.6,-22.2,-57.7,-29.0
96,2434,統懋,64.8,-2.5,-3.71,730,09/07,-0.7,5.98,13.9,27.7,28.3,75.0,485.0,1925.0,8000.0,2000.0
97,8240,華宏,56.0,4.5,8.74,4923,09/07,19.6,17.4,13.8,19.8,43.8,40.9,4.77,51.1,11.5,25.9
98,6147,頎邦,191.0,8.5,4.66,47809,09/07,1.6,10.8,13.7,16.2,33.0,25.0,-18.7,1055.0,930.0,944.0
99,009803,玉山市值動能50,22.4,0.26,1.17,4987,09/07,0.34,3.82,13.7,14.3,27.2,23.0,69.4,61.6,1712.0,550.0
100,8147,正淩,142.0,7.0,5.19,941,09/07,2.93,11.2,13.7,10.5,21.0,27.6,32.4,40.7,48.5,78.9
101,4754,國碳科,38.8,0.3,0.78,5,09/07,-1.32,5.63,13.6,17.2,15.4,-21.9,-27.9,-29.9,-55.4,-35.3
102,2025,千興,12.45,-0.25,-1.97,481,09/07,4.9,10.6,13.6,15.0,603.0,,,,,
103,00960,野村全球航運龍頭,21.74,0.47,2.21,620,09/07,51.2,16.6,13.5,-3.35,-38.5,251.0,94.0,-41.7,-84.6,-69.2
104,6907,雅特力-KY,199.5,18.0,9.92,4105,09/07,10.4,12.5,13.4,20.5,15.6,213.0,,,,
105,4107,邦特,113.0,0.0,0.0,25,09/07,47.8,54.5,13.3,-2.86,-10.5,-55.8,-83.4,-89.8,-86.2,-85.0
106,4767,誠泰科技,29.05,-0.45,-1.53,10,09/07,-5.56,21.4,13.3,112.0,240.0,240.0,183.0,-26.1,13.3,30.8
107,2327,國巨*,589.0,27.0,4.8,71287,09/07,12.9,16.0,13.1,15.5,27.7,41.4,-14.3,39.1,67.2,11.7
108,2816,旺旺保,38.8,-1.2,-3.0,689,09/07,6.98,10.4,13.1,7.5,0.73,86.8,106.0,208.0,138.0,186.0
