項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),358141,338862,6134,9249177,9262322
融券(交易單位),16205,35568,423,197348,216288
融資金額(仟元),27660732,23854375,577637,586168547,589397267
