項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),371507,389746,8653,8929878,8902986
融券(交易單位),17635,27546,1383,214315,222843
融資金額(仟元),31682547,37994930,623595,585675285,578739307
