排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 (萬元),2日 增減 (萬元),3日 增減 (萬元),5日 增減 (萬元),10日 增減 (萬元),1個月 增減 (萬元),3個月 增減 (萬元),半年 增減 (萬元),1年 增減 (萬元),今年 增減 (萬元)
1,6669,緯穎,2490.0,-75.0,-2.92,09/07,155654.0,336681.0,490811.0,758312,879401.0,751102.0,335929.0,1791606.0,3622753.0,2565895.0
2,6488,環球晶,971.0,-10.0,-1.02,09/07,59713.0,132015.0,221229.0,492989,878354.0,1224293.0,777309.0,-32463.0,-290739.0,339756.0
3,8996,高力,1240.0,-60.0,-4.62,09/07,88352.0,162162.0,232128.0,294876,565882.0,727840.0,745725.0,753907.0,583476.0,732554.0
4,8299,群聯,2095.0,80.0,3.97,09/07,31107.0,47535.0,69273.0,292080,1018748.0,1861099.0,1753553.0,3538719.0,3954802.0,3943263.0
5,2449,京元電子,273.0,11.0,4.2,09/07,16792.0,69196.0,193328.0,255287,411606.0,871636.0,558787.0,1379185.0,1447615.0,1347077.0
6,8046,南電,1050.0,-5.0,-0.47,09/07,-17446.0,24978.0,126226.0,213430,319971.0,661145.0,501964.0,489787.0,168206.0,418069.0
7,3443,創意,5935.0,125.0,2.15,09/07,64470.0,101064.0,134008.0,202636,277968.0,148413.0,475529.0,444005.0,149049.0,441329.0
8,2327,國巨*,589.0,27.0,4.8,09/07,-31570.0,-35490.0,-33482.0,185979,326519.0,727713.0,814553.0,1032688.0,601248.0,641926.0
9,2454,聯發科,4760.0,345.0,7.81,09/07,10398.0,-18255.0,18818.0,173219,293887.0,1120427.0,1285405.0,933388.0,685907.0,436629.0
10,2481,強茂,158.0,2.0,1.28,09/07,7214.0,102977.0,113731.0,151417,118999.0,174129.0,97492.0,98628.0,27745.0,-103229.0
11,2881,富邦金,149.5,-1.0,-0.66,09/07,50596.0,69880.0,76415.0,143405,159774.0,207100.0,-314997.0,-1463076.0,-1943429.0,-1525752.0
12,3036,文曄,192.5,0.0,0.0,09/07,11095.0,28962.0,77082.0,139991,323025.0,392259.0,484855.0,1191483.0,1563438.0,1330083.0
13,6510,精測,3470.0,120.0,3.58,09/07,43692.0,99373.0,122282.0,139200,133030.0,140977.0,141218.0,-11079.0,-98740.0,-121695.0
14,2887,台新新光金,41.1,-0.4,-0.96,09/07,46576.0,83001.0,122473.0,120194,163236.0,237449.0,520262.0,889004.0,994328.0,688033.0
15,5289,宜鼎,1405.0,45.0,3.31,09/07,24668.0,52379.0,78402.0,114435,86246.0,62011.0,-190648.0,261958.0,199372.0,186505.0
16,8039,台虹,327.0,29.5,9.92,09/07,386.0,28950.0,59412.0,113376,144632.0,281231.0,268627.0,302577.0,234009.0,276195.0
17,2376,技嘉,364.5,3.5,0.97,09/07,30380.0,68833.0,107152.0,106280,26469.0,-93415.0,52167.0,-161721.0,779661.0,470366.0
18,3231,緯創,197.0,-1.0,-0.51,09/07,43411.0,54867.0,107122.0,92236,528660.0,715632.0,1757053.0,893658.0,2568002.0,1861109.0
19,6257,矽格,213.0,1.0,0.47,09/07,7586.0,26798.0,39002.0,85739,117185.0,133189.0,-30783.0,-80457.0,4199.0,-41451.0
20,3081,聯亞,3070.0,-100.0,-3.15,09/07,-42161.0,-31096.0,73291.0,83563,-253465.0,66709.0,454479.0,511596.0,416152.0,413597.0
21,2379,瑞昱,729.0,16.0,2.24,09/07,32481.0,44412.0,33479.0,74644,-136216.0,-375264.0,-544272.0,-380159.0,764691.0,368714.0
22,8021,尖點,462.0,42.0,10.0,09/07,-2625.0,22360.0,65487.0,73634,90852.0,106629.0,224928.0,113574.0,39829.0,61943.0
23,6446,藥華藥,1325.0,15.0,1.15,09/07,15516.0,59047.0,74539.0,73439,206208.0,142429.0,261392.0,169010.0,-379758.0,-304704.0
24,2368,金像電,1120.0,75.0,7.18,09/07,-94681.0,-19093.0,42040.0,71947,256281.0,331756.0,265646.0,-534714.0,-506986.0,-618834.0
25,2330,台積電,2460.0,50.0,2.07,09/07,-6119.0,-14778.0,-12149.0,71942,31617.0,-139517.0,113094.0,3094804.0,214266.0,3087621.0
26,2308,台達電,1850.0,25.0,1.37,09/07,-1297.0,-31095.0,-25693.0,70732,-167393.0,-478071.0,-10148.0,887597.0,593484.0,1001831.0
27,6451,訊芯-KY,448.5,-0.5,-0.11,09/07,8551.0,19321.0,58419.0,70513,65387.0,90787.0,86426.0,56099.0,44660.0,45700.0
28,00918,大華優利高填息30,35.78,-0.1,-0.28,09/07,8557.0,8189.0,11523.0,61009,70569.0,63769.0,-24832.0,21600.0,13804.0,-66313.0
29,3105,穩懋,450.5,1.0,0.22,09/07,-21837.0,-5427.0,41354.0,59187,-17391.0,218106.0,300309.0,674343.0,553528.0,597659.0
30,3491,昇達科,1510.0,5.0,0.33,09/07,24247.0,34034.0,38766.0,57172,164083.0,192493.0,598176.0,551727.0,262820.0,509895.0
31,2891,中信金,67.4,-1.0,-1.46,09/07,23276.0,22859.0,29965.0,56498,46078.0,152720.0,-523787.0,659198.0,354347.0,581422.0
32,00919,群益台灣精選高息,32.91,-0.11,-0.33,09/07,26473.0,24119.0,31726.0,54472,26040.0,2396.0,-166986.0,-108741.0,-103471.0,-170397.0
33,2356,英業達,66.1,-1.4,-2.07,09/07,46640.0,61274.0,60661.0,54081,49366.0,-174032.0,-47303.0,-514093.0,-441438.0,-353674.0
34,4991,環宇-KY,494.0,-3.0,-0.6,09/07,-1003.0,-1941.0,33585.0,51582,86166.0,157498.0,128877.0,199241.0,134320.0,185743.0
35,3661,世芯-KY,4040.0,-180.0,-4.27,09/07,55507.0,55945.0,41697.0,49329,-68272.0,-663186.0,-739906.0,-1985316.0,-803753.0,-848982.0
36,2303,聯電,143.0,13.0,10.0,09/07,-1464.0,16538.0,12861.0,48881,148687.0,47922.0,-3224866.0,-6218326.0,-9314252.0,-7068980.0
37,6139,亞翔,739.0,3.0,0.41,09/07,-45906.0,-38362.0,-15813.0,45498,131119.0,213893.0,580701.0,561414.0,443254.0,562874.0
38,2426,鼎元,99.1,-5.4,-5.17,09/07,1949.0,7991.0,34313.0,43886,7189.0,23889.0,5244.0,97073.0,103256.0,102379.0
39,00685L,群益臺灣加權正2,12.52,0.39,3.22,09/07,-31.2,569.0,5085.0,41026,50359.0,82574.0,391684.0,428322.0,448992.0,432673.0
40,2882,國泰金,114.5,-0.5,-0.43,09/07,27776.0,-8483.0,14991.0,40821,55115.0,39774.0,-712852.0,-632314.0,-2746625.0,-1129654.0
41,3026,禾伸堂,771.0,70.0,9.99,09/07,-28282.0,-20389.0,-199.0,38582,98997.0,313009.0,476010.0,456626.0,466606.0,435279.0
42,5904,寶雅*,71.7,-0.4,-0.55,09/07,3988.0,7367.0,22305.0,38291,69305.0,170557.0,139733.0,122401.0,127369.0,123898.0
43,6197,佳必琪,308.0,-7.0,-2.22,09/07,4193.0,14843.0,26659.0,38248,33175.0,26085.0,89587.0,107829.0,145228.0,94946.0
44,3006,晶豪科,297.0,18.5,6.64,09/07,-2856.0,21687.0,30968.0,37583,38334.0,29499.0,-2106.0,13718.0,-73876.0,-40329.0
45,2313,華通,240.0,-9.5,-3.81,09/07,55823.0,64243.0,65146.0,37049,47864.0,79441.0,781769.0,718950.0,868698.0,790780.0
46,3715,定穎投控,119.5,1.5,1.27,09/07,3446.0,12357.0,17036.0,34934,38353.0,47433.0,48704.0,-6403.0,167689.0,67927.0
47,2618,長榮航,42.1,-0.4,-0.94,09/07,8251.0,11991.0,17246.0,34484,51407.0,44123.0,-957443.0,-254222.0,-229021.0,-603098.0
48,6182,合晶,111.5,0.5,0.45,09/07,1199.0,2349.0,13905.0,34067,86546.0,333184.0,374978.0,296670.0,381075.0,299765.0
49,2301,光寶科,299.0,-9.0,-2.92,09/07,43185.0,32533.0,18816.0,33728,56286.0,-415051.0,-706388.0,-908688.0,-627332.0,-425986.0
50,6515,穎崴,7000.0,-75.0,-1.06,09/07,-3584.0,7885.0,5724.0,33520,20086.0,-30070.0,80693.0,-230057.0,-479803.0,-410956.0
51,2634,漢翔,66.3,1.3,2.0,09/07,5355.0,8921.0,16566.0,32852,34777.0,-21891.0,-59851.0,-7223.0,-25763.0,-72959.0
52,2344,華邦電,180.0,6.0,3.45,09/07,-124771.0,-65299.0,80266.0,31699,900450.0,209437.0,-471278.0,605510.0,528886.0,820335.0
53,6442,光聖,1700.0,-55.0,-3.13,09/07,4002.0,7517.0,28303.0,30426,60491.0,150764.0,246360.0,380833.0,144927.0,179028.0
54,4749,新應材,787.0,11.0,1.42,09/07,4489.0,15855.0,20050.0,29771,66785.0,88548.0,365741.0,273700.0,474272.0,276796.0
