股票代號,股票名稱,法人持股,上榜區塊
00400A,主動國泰動能高息,5.25,5日
00403A,主動統一升級50,4.77,5日
0050,元大台灣50,7.570316076031704,"60日,20日,120日"
0057,富邦摩台,6.96,120日
00631L,元大台灣50正2,1.1357223877751381,"20日,5日"
00634R,富邦上証反1,8.71,"60日,20日,120日"
00636,國泰中國A50,1.6002629601803156,5日
00640L,富邦日本正2,1.89,5日
00642U,期元大S&P石油,2.94,5日
00643,群益深証中小,16.53,"20日,120日"
00647L,元大S&P500正2,5.544389027431421,"60日,20日"
00650L,復華香港正2,1.36,5日
00651R,復華香港反1,2.34,20日
00652,富邦印度,1.91,"20日,5日"
00657,國泰日經225,8.94,"60日,120日,20日,5日"
00661,元大日經225,6.768537886872998,"60日,20日,120日"
00663L,國泰臺灣加權正2,1.78,20日
00674R,期元大S&P黃金反1,6.91,"60日,120日"
00675L,富邦臺灣加權正2,1.17,5日
00678,群益那斯達克生技,4.11,60日
00681R,元大美債20反1,17.55,"60日,120日"
00683L,期元大美元指正2,20.04,"60日,120日,20日,5日"
00689R,國泰20年美債反1,36.28,"60日,120日,5日"
00700,富邦恒生國企,4.83,"20日,5日"
00714,群益道瓊美國地產,5.23,"60日,120日,20日,5日"
00715L,期街口布蘭特正2,1.84,20日
00731,復華富時高息低波,6.1252488687782805,"60日,120日"
00733,富邦臺灣中小,6.70721696854712,"60日,120日,5日"
00735,國泰臺韓科技,5.590299180444092,5日
00736,國泰新興市場,23.39,"60日,120日,20日,5日"
00737,國泰AI機器人,1.53,5日
00739,元大MSCI A股,3.81,"60日,120日,20日,5日"
00753L,中信中國50正2,1.67,"20日,5日"
00763U,期街口道瓊銅,3.02,120日
00783,富邦中証500,8.01,"120日,20日,5日"
00830,國泰費城半導體,5.229038176771607,"60日,20日,5日"
00861,元大全球未來通訊,1.9,5日
00865B,國泰US短期公債,6.08,"60日,120日,20日,5日"
00875,國泰網路資安,6.25,"20日,120日"
00891,中信關鍵半導體,0.9416057806894966,5日
00896,中信綠能及電動車,1.8,20日
00908,富邦入息REITs+,1.86,5日
00909,國泰數位支付服務,3.17,60日
00910,第一金太空衛星,7.83,"60日,120日,20日,5日"
00922,國泰台灣領袖50,21.095752500016857,"60日,20日,120日"
00926,凱基全球菁英55,2.32,"20日,5日"
00932,兆豐永續高息等權,2.89,60日
00938,凱基優選30,1.85,5日
00943,兆豐電子高息等權,28.22,"60日,120日"
00947,台新臺灣IC設計,5.6744863961178265,"60日,120日"
00951,台新日本半導體,2.04,5日
00954,中信日本半導體,2.62,"20日,5日"
00961,FT臺灣永續高息,0.73,5日
00963,中信全球高股息,2.88,5日
00964,中信亞太高股息,1.71,5日
00980A,主動野村臺灣優選,3.36,"60日,120日"
00981A,主動統一台股增長,4.288812051888381,"60日,120日,5日"
00982A,主動群益台灣強棒,3.4806532167775135,60日
00982D,主動富邦動態入息,4.15,5日
00983A,主動中信ARK創新,8.37,"60日,120日,20日,5日"
00983D,主動富邦複合收益,3.19,20日
00984A,主動安聯台灣高息,1.4051517561136733,5日
00985A,主動野村台灣50,1.91,5日
00986A,主動台新龍頭成長,2.15,5日
00987A,主動台新優勢成長,4.17,"60日,5日"
00988A,主動統一全球創新,5.597895330429185,"60日,20日,5日"
00989A,主動摩根美國科技,7.44,"60日,120日,20日,5日"
00990A,主動元大AI新經濟,4.62,"120日,20日,5日"
00991A,主動復華未來50,3.1484333097113955,"120日,5日"
00992A,主動群益科技創新,6.078319411874907,60日
00994A,主動第一金台股優,7.36,"60日,5日"
00995A,主動中信台灣卓越,3.66,60日
00996A,主動兆豐台灣豐收,7.75,"60日,20日,5日"
00997A,主動群益美國增長,6.46372903341442,"20日,5日"
1210,大成,12.723669627070894,"20日,5日"
1227,佳格,6.83403665840627,20日
1233,天仁,5.69,60日
1301,台塑,31.74574426904236,"60日,120日,20日,5日"
1303,南亞,37.14662491891545,"60日,120日,20日,5日"
1310,台苯,5.605654614459032,20日
1314,中石化,10.52662427745851,"60日,20日,5日"
1326,台化,38.31797683692835,"60日,120日"
1342,八貫,32.24794677579498,"60日,20日,120日"
1402,遠東新,14.809802384924899,20日
1410,南染,18.87,120日
1513,中興電,15.68912554610175,"20日,5日"
1515,力山,4.59,5日
1516,川飛,5.79,120日
1560,中砂,41.55237013215301,"60日,120日,20日,5日"
1590,亞德客-KY,81.77827601458276,120日
1597,直得,7.878917201359722,"60日,120日,20日,5日"
1609,大亞,11.878210756231427,5日
