項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),270795,262634,10711,9282262,9279712
融券(交易單位),19887,12187,3351,213059,202008
融資金額(仟元),30073340,20479799,857972,606367833,615103402
