股票代號,股票名稱,法人持股,上榜區塊
00400A,主動國泰動能高息,2.93,5日
00401A,主動摩根台灣鑫收,1.63,5日
00403A,主動統一升級50,3.02,5日
00405A,主動富邦台灣龍耀,1.77,5日
00406A,主動中信台灣收益,3.14,"20日,5日"
00407A,主動凱基台灣,3.03,"20日,5日"
0050,元大台灣50,6.246055763345801,120日
0052,富邦科技,3.033961823139852,5日
00631L,元大台灣50正2,1.0592306785978185,5日
00632R,元大台灣50反1,3.2392019927511866,"60日,120日"
00640L,富邦日本正2,1.11,5日
00642U,期元大S&P石油,3.08,20日
00643,群益深証中小,16.28,120日
00645,富邦日本,2.8729206688838755,"60日,120日"
00651R,復華香港反1,3.12,120日
00652,富邦印度,2.4103842057835667,"60日,5日"
00656R,國泰中國A50反1,3.88,"20日,60日,120日"
00657,國泰日經225,8.57,5日
00661,元大日經225,7.898537886872998,120日
00663L,國泰臺灣加權正2,5.31,"20日,60日,5日,120日"
00673R,期元大S&P原油反1,0.54,5日
00674R,期元大S&P黃金反1,5.5,120日
00675L,富邦臺灣加權正2,3.54,"20日,5日"
00678,群益那斯達克生技,4.06,120日
00681R,元大美債20反1,20.41,"60日,5日,120日"
00683L,期元大美元指正2,15.73,120日
00685L,群益臺灣加權正2,0.39,5日
00689R,國泰20年美債反1,35.91,120日
00693U,期街口S&P黃豆,2.47,5日
00701,國泰股利精選30,3.8896216397572565,5日
00708L,期元大S&P黃金正2,2.167276258887341,"20日,5日"
00709,富邦歐洲,8.128132780082987,"20日,60日,5日,120日"
00714,群益道瓊美國地產,2.12,5日
00715L,期街口布蘭特正2,10.4,"20日,60日,5日"
00728,第一金工業30,1.53,20日
00733,富邦臺灣中小,4.596762655160553,"20日,5日"
00735,國泰臺韓科技,4.56,"20日,5日"
00736,國泰新興市場,24.23,"60日,120日"
00738U,期元大道瓊白銀,2.55,5日
00757,統一FANG+,-0.5562349996647971,5日
00762,元大全球AI,1.6780867630700778,5日
00763U,期街口道瓊銅,1.16,5日
00875,國泰網路資安,6.74,120日
00881,國泰台灣科技龍頭,1.6107307602164562,"20日,5日"
00891,中信關鍵半導體,2.208259199933215,"20日,60日,5日"
00892,富邦台灣半導體,1.6746647230320701,5日
00894,中信小資高價30,1.13,"20日,5日"
00895,富邦未來車,0.5811759637566358,5日
00898,國泰基因免疫革命,2.01,5日
00900,富邦特選高股息30,2.231279200012987,"20日,5日"
00907,永豐優息存股,0.66,5日
00909,國泰數位支付服務,5.2,"20日,60日,5日,120日"
00913,兆豐台灣晶圓製造,5.22,"20日,60日,5日,120日"
