股票代號,股票名稱,法人持股,上榜區塊,累積衰退
00926,凱基全球菁英55,4.777352705841025,"20日衰退,5日衰退,10日衰退,30日衰退",-2.195046529842978
00927,群益半導體收益,-45.633572443922844,"30日衰退,10日衰退",-0.8183463328437455
00929,復華台灣科技優息,63.451494607801834,"20日衰退,5日衰退,10日衰退,30日衰退",-1.2112343893467852
00934,中信成長高股息,34.37581111903402,30日衰退,-3.952628150670826
00935,野村臺灣新科技50,-39.38557205787167,10日衰退,-1.6654686092817883
00938,凱基優選30,12.55193465687682,"20日衰退,5日衰退,10日衰退,30日衰退",-3.176727101193652
00941,中信上游半導體,42.93905683343148,30日衰退,-2.2586884115149033
00945B,凱基美國非投等債,-11.220708703017916,"20日衰退,5日衰退,10日衰退,30日衰退",-2.2035301674691823
00947,台新臺灣IC設計,-47.86225646191377,"30日衰退,10日衰退",-4.21465991456607
00951,台新日本半導體,23.189272368573754,"30日衰退,20日衰退",-2.7574299500430755
00953B,群益優選非投等債,-12.14950816117355,"20日衰退,5日衰退,10日衰退",-0.873897762188907
00954,中信日本半導體,-35.89299295220585,"30日衰退,20日衰退",-2.0072502952566538
00961,FT臺灣永續高息,-25.061547978537458,"20日衰退,5日衰退,10日衰退,30日衰退",-17.536188135200707
00962,台新AI優息動能,9.537172500902201,"20日衰退,5日衰退,10日衰退,30日衰退",-4.7679610302550675
00963,中信全球高股息,-27.09441987562033,"20日衰退,5日衰退,10日衰退,30日衰退",-3.4981471970337985
009801,中信美國創新科技,28.26451481236227,"20日衰退,5日衰退,10日衰退",-1.8446930600636158
009803,玉山市值動能50,-19.04760024996293,30日衰退,-5.285827367465695
009804,聯邦台精彩50,-29.681187656657627,30日衰退,-17.564885410661216
009811,統一美國50,41.55618883585806,10日衰退,-0.8585330144158263
009816,凱基台灣TOP50,-27.581533856952728,"30日衰退,20日衰退",-2.017983407203573
009819,中信數據及電力,-46.51054146386726,"5日衰退,10日衰退",-1.1229755890863231
00981A,主動統一台股增長,-57.08116379325874,10日衰退,-3.0881306078748523
00981T,平衡凱基雙核收息,0.05790965986627372,"20日衰退,5日衰退,10日衰退,30日衰退",-3.4237318888376396
009821,野村稀土關鍵資源,-54.79043312387792,30日衰退,-2.13103177593743
009824,群益美國科技巨頭,-6.226198339052777,5日衰退,-0.6125733232442077
009826,貝萊德世界股票,-37.97694555786344,5日衰退,-10.319505361306387
00982A,主動群益台灣強棒,-49.328725164301446,"30日衰退,10日衰退",-2.9770527224907894
00982D,主動富邦動態入息,102.48985609151373,"20日衰退,5日衰退,10日衰退,30日衰退",-6.008221309515918
00983D,主動富邦複合收益,50.518532601748326,"5日衰退,10日衰退",-1.799492118744901
00984A,主動安聯台灣高息,-72.69483746274645,30日衰退,-5.85122200903912
