排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 賣出 佔 成交,2日 賣出 佔 成交,3日 賣出 佔 成交,5日 賣出 佔 成交,10日 賣出 佔 成交,1個月 賣出 佔 成交,3個月 賣出 佔 成交,半年 賣出 佔 成交,1年 賣出 佔 成交,3年 賣出 佔 成交,10年 賣出 佔 成交,今年 賣出 佔 成交
224,3014,聯陽,140.5,-2.5,-1.75,09/24,0.1,0.74,0.51,0.33,0.3,0.39,0.95,0.65,2.08,6.33,1.79,1.13
225,4919,新唐,136.0,2.0,1.49,09/24,0.0,0.0,0.0,0.33,0.3,0.27,1.04,0.53,0.37,2.04,1.59,0.38
226,1519,華城,699.0,-5.0,-0.71,09/24,0.15,0.38,0.48,0.32,1.48,0.43,1.14,1.51,1.36,1.59,1.1,1.71
227,6189,豐藝,49.2,0.1,0.2,09/24,1.36,0.29,0.23,0.31,0.24,0.57,0.39,0.64,0.41,1.24,0.94,0.46
228,6213,聯茂,595.0,54.0,9.98,09/24,0.0,0.0,0.15,0.31,0.15,1.14,0.71,0.5,0.5,0.83,2.18,0.43
229,6271,同欣電,229.0,0.5,0.22,09/24,2.03,1.03,0.58,0.31,0.12,0.64,1.05,1.06,0.78,0.92,3.45,0.85
230,2855,統一證,57.8,0.1,0.17,09/24,0.38,0.55,0.49,0.31,1.32,1.14,0.93,0.59,0.69,3.1,1.74,0.69
231,2324,仁寶,36.5,-0.3,-0.82,09/24,0.0,0.03,0.12,0.3,0.27,0.25,1.64,4.32,4.59,5.06,3.84,4.2
232,3218,大學光,134.5,1.0,0.75,09/24,0.35,0.26,0.2,0.3,0.16,0.34,0.26,0.47,0.27,1.21,0.79,0.36
233,00679B,元大美債20年,25.28,-0.4,-1.56,09/24,0.0,0.57,0.45,0.3,0.12,0.06,0.01,0.01,0.01,0.09,,0.0
234,2027,大成鋼,47.6,1.0,2.15,09/24,0.13,0.28,0.32,0.29,0.17,1.43,3.91,5.18,3.24,4.89,2.68,3.83
235,6488,環球晶,948.0,-2.0,-0.21,09/24,0.11,0.05,0.11,0.29,0.39,2.29,3.91,3.39,3.5,3.88,2.17,3.32
236,3592,瑞鼎,224.5,1.5,0.67,09/24,0.66,0.37,0.33,0.28,0.18,0.31,3.89,2.24,7.51,5.97,,2.37
237,3163,波若威,653.0,-10.0,-1.51,09/24,0.0,0.18,0.45,0.28,0.14,0.04,0.42,2.85,0.96,0.43,0.33,1.93
238,6526,達發,840.0,0.0,0.0,09/24,0.22,0.12,0.38,0.28,1.32,1.09,1.6,1.51,1.81,,,1.4
239,5222,全訊,105.0,-1.0,-0.94,09/24,0.0,0.0,0.56,0.27,0.16,0.06,0.39,0.35,1.06,0.7,,0.92
240,8299,群聯,2125.0,-90.0,-4.06,09/24,0.32,0.25,0.24,0.24,1.94,1.22,2.18,3.01,1.31,0.75,0.34,2.0
