排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
165,3092,鴻碩,21.6,-0.9,-4.0,09/15,3,-64,-289,-290,-285,-447.0,-10.0,1084.0,1719.0,936.0
166,4414,如興,8.1,0.01,0.12,09/15,0,7,-291,-290,-286,-645.0,-712.0,386.0,1207.0,457.0
167,0050,元大台灣50,106.25,-0.65,-0.61,09/15,-80,3860,4100,-285,-109,-19488.0,37612.0,-23111.0,53390.0,70184.0
168,1313,聯成,11.8,0.05,0.43,09/15,33,8,44,-284,-1557,-3015.0,-14087.0,-14948.0,4221.0,4705.0
169,6168,宏齊,29.25,-0.7,-2.34,09/15,-601,-634,-723,-284,-832,-1482.0,-2472.0,-1021.0,-716.0,-390.0
170,2597,潤弘,169.5,2.5,1.5,09/15,-19,-62,-297,-282,-499,-1441.0,-1812.0,6844.0,6236.0,6983.0
171,4968,立積,88.0,-1.0,-1.12,09/15,15,24,-53,-274,-384,-113.0,-278.0,2008.0,2286.0,3516.0
172,1310,台苯,8.45,-0.2,-2.31,09/15,-361,-670,-1019,-272,-1523,-890.0,371.0,12114.0,14142.0,14775.0
173,6438,迅得,142.5,-1.5,-1.04,09/15,-9,-131,-287,-271,-380,-1220.0,-1408.0,-1973.0,-298.0,-1042.0
174,1442,名軒,29.9,0.05,0.17,09/15,-62,-50,-43,-267,-400,-893.0,-1406.0,1791.0,-7413.0,-1694.0
175,4906,正文,35.1,-0.4,-1.13,09/15,459,297,-203,-267,1710,3825.0,7094.0,19818.0,24466.0,22780.0
176,3653,健策,5310.0,-510.0,-8.76,09/15,37,14,-142,-264,-674,-1876.0,-1491.0,-1952.0,118.0,-3011.0
177,8103,瀚荃,114.0,1.0,0.88,09/15,-74,-191,-348,-262,-280,619.0,424.0,1090.0,1538.0,1837.0
178,1227,佳格,28.15,-0.15,-0.53,09/15,52,-32,-11,-260,207,-393.0,-5149.0,-5709.0,209.0,-3141.0
