股票代號,股票名稱,法人持股,上榜區塊,累積衰退
00400A,主動國泰動能高息,-57.93459338751347,"5日衰退,20日衰退,10日衰退,30日衰退",-2.272099651858305
00401A,主動摩根台灣鑫收,-15.49355886901239,"5日衰退,20日衰退,10日衰退,30日衰退",-4.1894341501238035
00403A,主動統一升級50,-39.207280759139785,"5日衰退,20日衰退",-1.736121909272562
00404A,主動聯博動能50,-42.76798110742639,"5日衰退,20日衰退,10日衰退,30日衰退",-10.777883307570335
00405A,主動富邦台灣龍耀,-57.77754524279965,"5日衰退,20日衰退",-1.7966741658367127
00406A,主動中信台灣收益,-75.45931783154336,"5日衰退,20日衰退,10日衰退,30日衰退",-5.52319846672772
00407A,主動凱基台灣,-63.2527728552496,"5日衰退,20日衰退,10日衰退",-1.8327433185078377
00409A,主動復華全球50,-3.076792537273553,"5日衰退,10日衰退",-1.7614354917954
00410A,主動永豐科技趨勢,91.62046155807727,"5日衰退,20日衰退,10日衰退",-3.973651386409827
0050,元大台灣50,-9.360531002743205,"5日衰退,20日衰退,10日衰退,30日衰退",-0.917144925445232
0051,元大中型100,-5.729716,5日衰退,-0.47882212244897904
0052,富邦科技,-62.47248539502059,"5日衰退,20日衰退",-1.1549949653330955
0053,元大電子,-19.513588863463003,"5日衰退,20日衰退,10日衰退,30日衰退",-7.82248153466845
0055,元大MSCI金融,-10.866555210498051,"5日衰退,20日衰退,10日衰退,30日衰退",-2.222527521316204
0057,富邦摩台,-11.752396856581534,"5日衰退,20日衰退,10日衰退,30日衰退",-2.162213490504257
006203,元大MSCI台灣,77.72877666862401,5日衰退,-0.44482286161674267
006207,復華滬深,9.61797242963814,"5日衰退,20日衰退,10日衰退,30日衰退",-0.7496917480375256
00631L,元大台灣50正2,-53.233637124479955,5日衰退,-2.952996733034823
00632R,元大台灣50反1,-20.407581067915153,"20日衰退,30日衰退",-2.2400241534959413
00633L,富邦上証正2,47.55372195307462,"5日衰退,20日衰退,10日衰退,30日衰退",-2.5675173047213846
00635U,期元大S&P黃金,-60.14062566744549,"5日衰退,20日衰退,10日衰退,30日衰退",-0.8173397873881783
