排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 (萬元),2日 增減 (萬元),3日 增減 (萬元),5日 增減 (萬元),10日 增減 (萬元),1個月 增減 (萬元),3個月 增減 (萬元),半年 增減 (萬元),1年 增減 (萬元),今年 增減 (萬元)
1,2344,華邦電,174.0,5.0,2.96,09/04,59472.0,205037.0,-240947.0,658331,1091333.0,70735.0,-375312.0,763031.0,644203.0,945106.0
2,6669,緯穎,2565.0,90.0,3.64,09/04,181027.0,335156.0,482139.0,632745,736371.0,547303.0,76278.0,1654246.0,3531570.0,2410240.0
3,8299,群聯,2015.0,15.0,0.75,09/04,16428.0,38166.0,91872.0,527918,1050311.0,1899207.0,1732259.0,3508097.0,3896394.0,3912156.0
4,6488,環球晶,981.0,54.0,5.83,09/04,72302.0,161516.0,228883.0,453876,857944.0,1109551.0,721338.0,-104536.0,-349489.0,280043.0
5,2327,國巨*,562.0,51.0,9.98,09/04,-3920.0,-1912.0,197541.0,308671,327039.0,802771.0,853396.0,1085647.0,633834.0,673496.0
6,2449,京元電子,262.0,1.0,0.38,09/04,52404.0,176536.0,226859.0,273632,399562.0,866573.0,559853.0,1376117.0,1410623.0,1330285.0
7,8996,高力,1300.0,115.0,9.7,09/04,73810.0,143775.0,173314.0,262735,501538.0,643164.0,670273.0,665555.0,470168.0,644202.0
8,2368,金像電,1045.0,-55.0,-5.0,09/04,75588.0,136721.0,157289.0,255720,360939.0,462363.0,348152.0,-380384.0,-412572.0,-524152.0
9,8046,南電,1055.0,-25.0,-2.31,09/04,42424.0,143671.0,153471.0,250592,323283.0,677095.0,527814.0,507232.0,194058.0,435515.0
10,3231,緯創,198.0,9.5,5.04,09/04,11457.0,63711.0,90748.0,248627,491347.0,570665.0,1730116.0,819964.0,2533374.0,1817699.0
11,2454,聯發科,4415.0,75.0,1.73,09/04,-28654.0,8420.0,158074.0,214559,393405.0,996780.0,1200627.0,1022565.0,672844.0,426230.0
12,6446,藥華藥,1310.0,-40.0,-2.96,09/04,43531.0,59024.0,60729.0,188855,205743.0,111697.0,246437.0,160626.0,-388566.0,-320220.0
13,2881,富邦金,150.5,3.5,2.38,09/04,19284.0,25819.0,40291.0,153827,100767.0,157494.0,-350440.0,-1475630.0,-2008472.0,-1576349.0
14,3443,創意,5810.0,10.0,0.17,09/04,36594.0,69539.0,65378.0,144566,277428.0,90820.0,314083.0,395759.0,86584.0,376859.0
15,3036,文曄,192.5,2.0,1.05,09/04,17867.0,65987.0,120157.0,139313,376945.0,444558.0,493258.0,1214033.0,1561505.0,1318988.0
16,3026,禾伸堂,701.0,63.0,9.87,09/04,7893.0,28084.0,50877.0,131014,188491.0,335157.0,503077.0,485522.0,494905.0,463561.0
17,3081,聯亞,3170.0,50.0,1.6,09/04,11065.0,115452.0,162850.0,116853,-178317.0,205590.0,519188.0,569891.0,458560.0,455758.0
18,2481,強茂,156.0,0.0,0.0,09/04,95763.0,106517.0,141560.0,116034,104457.0,170270.0,92233.0,91165.0,22448.0,-110443.0
19,8039,台虹,297.5,4.5,1.54,09/04,28564.0,59026.0,94864.0,114796,177545.0,234718.0,279586.0,299047.0,237737.0,275809.0
20,3105,穩懋,449.5,3.0,0.67,09/04,16410.0,63191.0,74462.0,111021,8651.0,289969.0,381968.0,689159.0,574633.0,619497.0
21,2887,台新新光金,41.5,0.05,0.12,09/04,36425.0,75897.0,39595.0,109922,151394.0,119492.0,484367.0,851490.0,942438.0,641457.0
22,6139,亞翔,736.0,24.0,3.37,09/04,7544.0,30093.0,94030.0,108743,185156.0,273687.0,626388.0,608639.0,488801.0,608780.0
23,6257,矽格,212.0,3.0,1.44,09/04,19212.0,31416.0,64234.0,99422,111916.0,129770.0,-42780.0,-84979.0,-5086.0,-49036.0
24,6510,精測,3350.0,0.0,0.0,09/04,55681.0,78591.0,93690.0,98030,90945.0,98947.0,96844.0,-53755.0,-140777.0,-165387.0
25,5289,宜鼎,1360.0,15.0,1.12,09/04,27711.0,53734.0,86719.0,89912,83204.0,51422.0,-209466.0,243009.0,176635.0,161837.0
26,8021,尖點,420.0,6.5,1.57,09/04,24985.0,68112.0,73427.0,87033,93476.0,163150.0,228165.0,115839.0,41941.0,64567.0
27,2303,聯電,130.0,5.0,4.0,09/04,18002.0,14325.0,24734.0,83405,165494.0,25190.0,-3681852.0,-6102303.0,-9313560.0,-7067516.0
28,2330,台積電,2410.0,20.0,0.84,09/04,-8659.0,-6030.0,-2915.0,81749,-26533.0,-30165.0,128819.0,3234404.0,218387.0,3093740.0
29,2376,技嘉,361.0,10.5,3.0,09/04,38453.0,76772.0,80224.0,79582,5440.0,-254272.0,26036.0,-226917.0,753249.0,439986.0
30,3491,昇達科,1505.0,100.0,7.12,09/04,9787.0,14519.0,25900.0,69340,144308.0,194660.0,573929.0,527480.0,237876.0,485648.0
31,5483,中美晶,183.5,7.5,4.26,09/04,-9578.0,-30793.0,-28943.0,63602,158364.0,299155.0,635684.0,579165.0,639324.0,561899.0
32,8069,元太,148.5,1.5,1.02,09/04,-9944.0,-14685.0,-11554.0,61944,89509.0,513947.0,957395.0,912146.0,1154255.0,1041465.0
33,6451,訊芯-KY,449.0,-1.0,-0.22,09/04,10771.0,49868.0,56663.0,60858,57041.0,98702.0,70348.0,45545.0,36727.0,37149.0
34,4991,環宇-KY,497.0,12.5,2.58,09/04,-938.0,34588.0,51732.0,60181,118208.0,158277.0,132295.0,200244.0,134999.0,186746.0
35,00918,大華優利高填息30,35.88,0.42,1.18,09/04,-368.0,2967.0,23984.0,57196,62692.0,52630.0,-29586.0,15330.0,5248.0,-74869.0
36,00685L,群益臺灣加權正2,12.13,0.44,3.76,09/04,600.0,5116.0,41057.0,52627,50862.0,62717.0,394640.0,430625.0,449023.0,432704.0
37,2891,中信金,68.4,0.9,1.33,09/04,-417.0,6688.0,13710.0,46813,1583.0,120823.0,-516514.0,675033.0,346000.0,558146.0
38,3363,上詮,735.0,-39.0,-5.04,09/04,38805.0,44505.0,34689.0,43973,26782.0,5871.0,17105.0,359878.0,327498.0,332048.0
39,5439,高技,261.5,0.5,0.19,09/04,1169.0,3166.0,12481.0,42401,39210.0,58226.0,59887.0,-41170.0,-14477.0,-87415.0
40,6182,合晶,111.0,6.5,6.22,09/04,1149.0,12706.0,31828.0,41738,109550.0,339760.0,374980.0,295631.0,378934.0,298565.0
41,3006,晶豪科,278.5,1.5,0.54,09/04,24543.0,33824.0,37506.0,40297,40776.0,30724.0,-976.0,16547.0,-70310.0,-37473.0
42,6442,光聖,1755.0,-15.0,-0.85,09/04,3514.0,24300.0,32127.0,39989,58732.0,197553.0,223601.0,351694.0,132981.0,175025.0
43,4749,新應材,776.0,17.0,2.24,09/04,11366.0,15561.0,23770.0,39735,64413.0,86106.0,368858.0,259852.0,479990.0,272307.0
44,5904,寶雅*,72.1,1.5,2.12,09/04,3379.0,18317.0,21335.0,38962,73825.0,,136034.0,117914.0,123519.0,119910.0
45,2404,漢唐,1070.0,35.0,3.38,09/04,1987.0,1987.0,34256.0,38598,40416.0,2225.0,-458010.0,-245864.0,-154230.0,-293618.0
46,3715,定穎投控,118.0,0.0,0.0,09/04,8911.0,13590.0,27680.0,37871,37469.0,43907.0,55863.0,16160.0,159117.0,64481.0
47,6515,穎崴,7075.0,75.0,1.07,09/04,11469.0,9308.0,26986.0,37104,32413.0,-25694.0,122093.0,-198326.0,-477601.0,-407372.0
48,6197,佳必琪,315.0,16.0,5.35,09/04,10650.0,22466.0,37388.0,36571,28953.0,25523.0,85362.0,103044.0,157277.0,90753.0
49,2618,長榮航,42.5,-0.3,-0.7,09/04,3740.0,8995.0,17558.0,34008,46525.0,37276.0,-954690.0,-242825.0,-240707.0,-611349.0
50,2426,鼎元,104.5,9.5,10.0,09/04,6042.0,32364.0,40583.0,32844,6286.0,20737.0,2886.0,96598.0,101319.0,100430.0
