契約,到期月份 (週別),契約到期日,履約價,買賣權,開盤價,最高價,最低價,最後 成交價,結算價,漲跌價,漲跌%,*盤後交易時段成交量,*一般交易時段成交量,*合計成交量,*未沖銷 契約量,最後 最佳買價,最後 最佳賣價,歷史 最高價,歷史 最低價
TXO,202609F4,20260929.0,40900.0,Call,-,-,-,-,7010.0,-,-,0,0,0,0,6980,7030,7070,7070
TXO,202609F4,20260929.0,40900.0,Put,0.2,0.5,0.1,0.3,0.1,0,0%,5,31,36,99,-,0.5,43,0.1
TXO,202609F4,20260929.0,41000.0,Call,-,-,-,-,6910.0,-,-,0,0,0,0,6880,6930,6970,6970
TXO,202609F4,20260929.0,41000.0,Put,-,-,-,-,0.1,-,-,0,0,0,12,-,0.6,38,0.3
TXO,202609F4,20260929.0,41100.0,Call,-,-,-,-,6810.0,-,-,0,0,0,0,6780,6830,-,-
TXO,202609F4,20260929.0,41100.0,Put,0.3,0.3,0.3,0.3,0.1,0,0%,0,2,2,5,-,0.6,26,0.3
TXO,202609F4,20260929.0,41200.0,Call,-,-,-,-,6710.0,-,-,0,0,0,0,-,6730,-,-
TXO,202609F4,20260929.0,41200.0,Put,-,-,-,-,0.1,-,-,1,0,1,7,-,0.6,65,0.4
TXO,202609F4,20260929.0,41300.0,Call,-,-,-,-,6610.0,-,-,0,0,0,0,-,6630,-,-
TXO,202609F4,20260929.0,41300.0,Put,0.3,0.3,0.3,0.3,0.1,▼-0.1,▼-25.00%,0,1,1,8,-,0.6,41,0.3
TXO,202609F4,20260929.0,41400.0,Call,-,-,-,-,6510.0,-,-,0,0,0,0,-,6530,-,-
TXO,202609F4,20260929.0,41400.0,Put,-,-,-,-,0.1,-,-,0,0,0,6,-,0.6,67,0.7
TXO,202609F4,20260929.0,41500.0,Call,-,-,-,-,6410.0,-,-,0,0,0,0,-,6430,-,-
TXO,202609F4,20260929.0,41500.0,Put,1,1,0.3,0.3,0.1,▼-0.2,▼-40.00%,10,11,21,982,0.1,0.3,106,0.3
TXO,202609F4,20260929.0,41600.0,Call,-,-,-,-,6310.0,-,-,0,0,0,0,-,6330,-,-
TXO,202609F4,20260929.0,41600.0,Put,-,-,-,-,0.1,-,-,2,0,2,5,-,0.6,8,0.2
TXO,202609F4,20260929.0,41700.0,Call,-,-,-,-,6210.0,-,-,0,0,0,0,-,6230,-,-
TXO,202609F4,20260929.0,41700.0,Put,-,-,-,-,0.1,-,-,0,0,0,6,0.1,0.6,100,1.2
TXO,202609F4,20260929.0,41800.0,Call,-,-,-,-,6110.0,-,-,0,0,0,0,-,6130,-,-
TXO,202609F4,20260929.0,41800.0,Put,-,-,-,-,0.2,-,-,0,0,0,5,0.1,0.6,11.5,0.9
TXO,202609F4,20260929.0,41900.0,Call,-,-,-,-,6010.0,-,-,0,0,0,0,-,6030,-,-
TXO,202609F4,20260929.0,41900.0,Put,0.2,0.2,0.2,0.2,0.2,▼-0.3,▼-60.00%,0,5,5,10,0.1,0.6,30,0.2
TXO,202609F4,20260929.0,42000.0,Call,-,-,-,-,5910.0,-,-,0,0,0,0,-,5930,-,-
TXO,202609F4,20260929.0,42000.0,Put,0.3,0.9,0.3,0.9,0.3,▲+0.4,▲+80.00%,21,17,38,78,0.1,0.4,112,0.3
TXO,202609F4,20260929.0,42100.0,Call,-,-,-,-,5810.0,-,-,0,0,0,0,-,5830,-,-
TXO,202609F4,20260929.0,42100.0,Put,0.3,0.3,0.3,0.3,0.3,▼-0.2,▼-40.00%,0,5,5,11,-,0.5,150,0.3
TXO,202609F4,20260929.0,42200.0,Call,-,-,-,-,5710.0,-,-,0,0,0,0,-,5730,-,-
TXO,202609F4,20260929.0,42200.0,Put,0.2,0.2,0.2,0.2,0.3,▼-0.3,▼-60.00%,3,5,8,35,-,0.5,210,0.2
TXO,202609F4,20260929.0,42300.0,Call,-,-,-,-,5610.0,-,-,0,0,0,0,-,5630,-,-
TXO,202609F4,20260929.0,42300.0,Put,0.3,0.3,0.3,0.3,0.3,▼-0.2,▼-40.00%,0,5,5,15,-,0.5,142,0.3
TXO,202609F4,20260929.0,42400.0,Call,-,-,-,-,5510.0,-,-,0,0,0,0,5490,5530,-,-
TXO,202609F4,20260929.0,42400.0,Put,0.3,0.3,0.3,0.3,0.3,▼-0.2,▼-40.00%,5,5,10,20,-,0.5,158,0.3
TXO,202609F4,20260929.0,42500.0,Call,-,-,-,-,5410.0,-,-,0,0,0,0,5390,5430,-,-
TXO,202609F4,20260929.0,42500.0,Put,0.3,0.3,0.3,0.3,0.3,▼-0.3,▼-50.00%,6,5,11,297,0.3,0.5,161,0.3
TXO,202609F4,20260929.0,42600.0,Call,-,-,-,-,5310.0,-,-,0,0,0,0,5290,5330,-,-
TXO,202609F4,20260929.0,42600.0,Put,0.3,0.3,0.3,0.3,0.3,▼-0.4,▼-57.14%,7,5,12,13,-,0.5,136,0.3
TXO,202609F4,20260929.0,42700.0,Call,-,-,-,-,5210.0,-,-,0,0,0,0,5190,5230,-,-
TXO,202609F4,20260929.0,42700.0,Put,0.3,0.4,0.3,0.4,0.4,▼-0.3,▼-42.86%,0,46,46,237,-,0.6,180,0.3
TXO,202609F4,20260929.0,42800.0,Call,-,-,-,-,5110.0,-,-,0,0,0,0,5090,5130,3670,3670
TXO,202609F4,20260929.0,42800.0,Put,0.5,0.5,0.5,0.5,0.4,▼-0.3,▼-37.50%,0,5,5,25,-,0.6,150,0.5
TXO,202609F4,20260929.0,42900.0,Call,-,-,-,-,5010.0,-,-,0,0,0,0,4990,5030,-,-
TXO,202609F4,20260929.0,42900.0,Put,0.5,0.5,0.4,0.4,0.4,▼-0.4,▼-50.00%,0,15,15,71,0.3,0.6,198,0.4
TXO,202609F4,20260929.0,43000.0,Call,-,-,-,-,4910.0,-,-,0,0,0,0,4890,4930,-,-
TXO,202609F4,20260929.0,43000.0,Put,0.4,0.5,0.4,0.4,0.5,▼-0.5,▼-55.56%,125,163,288,1552,0.1,0.4,298,0.4
TXO,202609F4,20260929.0,43100.0,Call,-,-,-,-,4810.0,-,-,0,0,0,0,4790,4830,-,-
TXO,202609F4,20260929.0,43100.0,Put,0.8,0.8,0.8,0.8,0.5,▼-0.2,▼-20.00%,5,5,10,12,0.1,0.5,246,0.8
TXO,202609F4,20260929.0,43200.0,Call,-,-,-,-,4710.0,-,-,0,0,0,0,4690,4730,-,-
TXO,202609F4,20260929.0,43200.0,Put,0.6,0.8,0.2,0.2,0.7,▼-0.9,▼-81.82%,36,9,45,33,0.2,1,256,0.2
TXO,202609F4,20260929.0,43300.0,Call,-,-,-,-,4610.0,-,-,0,0,0,0,4590,4630,-,-
TXO,202609F4,20260929.0,43300.0,Put,0.6,0.8,0.2,0.2,0.7,▼-1.1,▼-84.62%,188,9,197,192,0.3,1,182,0.2
TXO,202609F4,20260929.0,43400.0,Call,-,-,-,-,4510.0,-,-,0,0,0,0,4490,4520,-,-
