項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),342329,304105,5332,8896988,8929880
融券(交易單位),27274,21519,765,220835,214315
融資金額(仟元),35783448,27987724,235897,578115458,585675285
