單位名稱,買進金額,賣出金額,買賣差額
自營商(自行買賣),"7,994,739,619","11,619,915,312","-3,625,175,693"
自營商(避險),"24,525,606,530","33,874,369,720","-9,348,763,190"
投信,"25,671,219,031","16,097,439,207","9,573,779,824"
外資及陸資(不含外資自營商),"258,230,812,992","276,211,292,312","-17,980,479,320"
外資自營商,0,0,0
合計,"316,422,378,172","337,803,016,551","-21,380,638,379"
