項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),374091,345691,10378,9261793,9279815
融券(交易單位),21423,29932,1832,216288,222965
融資金額(仟元),32104190,26974215,487762,589397267,594039480
