排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 (萬元),2日 增減 (萬元),3日 增減 (萬元),5日 增減 (萬元),10日 增減 (萬元),1個月 增減 (萬元),3個月 增減 (萬元),半年 增減 (萬元),1年 增減 (萬元),今年 增減 (萬元)
1,2344,華邦電,171.5,-8.0,-4.46,09/11,-78446.0,-441412.0,-785981.0,-1168795,-510464.0,-317467.0,-1474703.0,-461255.0,-396424.0,-223689.0
2,2408,南亞科,493.0,-22.0,-4.27,09/11,-147651.0,-231981.0,-417462.0,-605984,-1215039.0,-2039690.0,-487731.0,-825209.0,-811657.0,-740939.0
3,2454,聯發科,4585.0,-135.0,-2.86,09/11,-1379.0,-102464.0,-334966.0,-314113,-99553.0,944512.0,1076062.0,476465.0,370390.0,112118.0
4,2409,友達,30.2,-1.0,-3.21,09/11,-178125.0,-255043.0,-289523.0,-287881,-290303.0,-282179.0,-286482.0,-243277.0,537418.0,524140.0
5,3008,大立光,6660.0,-60.0,-0.89,09/11,-362544.0,-268465.0,-250794.0,-283492,-1476846.0,-1805646.0,-387742.0,-1607599.0,-222748.0,-790572.0
6,3711,日月光投控,618.0,-32.0,-4.92,09/11,38822.0,-22218.0,-246631.0,-280847,-433587.0,-175401.0,-1999292.0,-869171.0,-2704889.0,-856603.0
7,3653,健策,5765.0,-25.0,-0.43,09/11,-89706.0,-109940.0,-160097.0,-262866,-323247.0,-1129570.0,-879253.0,-1062145.0,-592587.0,-1416750.0
8,3036,文曄,191.0,-1.5,-0.78,09/11,-218682.0,-224016.0,-270948.0,-259701,-120388.0,101256.0,-69203.0,811860.0,1285107.0,1059287.0
9,3017,奇鋐,3370.0,-90.0,-2.6,09/11,-13731.0,-88166.0,-125331.0,-227101,-348230.0,-984312.0,-1332283.0,-38129.0,-574647.0,-231432.0
10,8299,群聯,1990.0,-75.0,-3.63,09/11,-26685.0,-146911.0,-249321.0,-201130,326788.0,1586964.0,1697193.0,3294456.0,3718888.0,3711025.0
11,4958,臻鼎-KY,495.0,0.5,0.1,09/11,-104314.0,-74652.0,-170504.0,-197434,-305007.0,565941.0,186852.0,225515.0,-569210.0,238109.0
12,3443,創意,6120.0,-105.0,-1.69,09/11,-145164.0,-150066.0,-142904.0,-181694,-37128.0,-115914.0,187542.0,224245.0,-62745.0,195165.0
13,2368,金像電,1030.0,-15.0,-1.44,09/11,-7037.0,5734.0,18151.0,-161386,94335.0,222661.0,209186.0,-686815.0,-576216.0,-685538.0
14,3081,聯亞,2810.0,-20.0,-0.71,09/11,-21408.0,-18838.0,40873.0,-160597,-43744.0,-74216.0,333187.0,421435.0,250539.0,295160.0
15,2327,國巨*,544.0,-28.0,-4.9,09/11,-1554.0,11307.0,-2613.0,-139080,169592.0,568865.0,636641.0,940845.0,463799.0,534416.0
16,8046,南電,1080.0,10.0,0.93,09/11,-39612.0,-57151.0,-52415.0,-138368,112224.0,407121.0,422953.0,365383.0,31533.0,297146.0
17,6805,富世達,2150.0,-40.0,-1.83,09/11,-124216.0,-129974.0,-122273.0,-124137,-255429.0,74632.0,180236.0,191823.0,254923.0,226067.0
18,3260,威剛,402.5,-4.5,-1.11,09/11,-28488.0,-65414.0,-91278.0,-120714,-175023.0,-410380.0,-410115.0,377761.0,558759.0,320943.0
19,6770,力積電,70.7,-2.8,-3.81,09/11,-8549.0,-23809.0,-105078.0,-120653,-183002.0,-594111.0,-1901389.0,-252219.0,-454921.0,-244459.0
20,2884,玉山金,46.3,1.35,3.0,09/11,18480.0,43730.0,78034.0,-112450,-542511.0,-387156.0,-540396.0,-630313.0,157820.0,-456249.0
21,2317,鴻海,248.0,-3.0,-1.2,09/11,-92509.0,-138291.0,-137812.0,-100590,-154484.0,-58510.0,-345876.0,-759075.0,-1050271.0,-293515.0
