股票代號,股票名稱,法人持股,上榜區塊
00407A,主動凱基台灣,0.42,5日
0050,元大台灣50,6.157700266036063,120日
00633L,富邦上証正2,0.81,5日
00634R,富邦上証反1,7.86,"60日,120日"
00637L,元大滬深300正2,0.89,5日
00640L,富邦日本正2,2.31,20日
00642U,期元大S&P石油,3.17,5日
00643,群益深証中小,15.93,120日
00645,富邦日本,1.6015364277996182,5日
00646,元大S&P500,2.759055482224184,20日
00647L,元大S&P500正2,6.9943890274314215,"20日,5日,60日,120日"
00650L,復華香港正2,1.8,"20日,5日"
00652,富邦印度,1.925693034787325,5日
00653L,富邦印度正2,2.54,5日
00655L,國泰中國A50正2,-0.4528486145139583,5日
00656R,國泰中國A50反1,2.91,"20日,5日,60日,120日"
00657,國泰日經225,10.36,"20日,5日,60日,120日"
00661,元大日經225,7.588537886872999,"20日,60日,120日"
00663L,國泰臺灣加權正2,3.79,"20日,5日"
00665L,富邦恒生國企正2,1.94,5日
00674R,期元大S&P黃金反1,8.07,"20日,5日,60日,120日"
00675L,富邦臺灣加權正2,2.05,20日
00678,群益那斯達克生技,7.66,"20日,5日,60日,120日"
00680L,元大美債20正2,1.37,5日
00681R,元大美債20反1,19.44,"20日,5日,60日,120日"
00683L,期元大美元指正2,20.48,"60日,120日"
00688L,國泰20年美債正2,1.03,5日
00689R,國泰20年美債反1,47.27,"20日,5日,60日,120日"
00693U,期街口S&P黃豆,4.42,"20日,60日,120日"
00700,富邦恒生國企,7.88,"20日,5日,60日,120日"
00709,富邦歐洲,2.7527554980595084,"20日,5日,60日,120日"
00714,群益道瓊美國地產,9.64,"20日,5日,60日,120日"
00717,富邦美國特別股,0.58,5日
00736,國泰新興市場,24.23,"20日,60日,120日"
00737,國泰AI機器人,2.26,"20日,5日"
00739,元大MSCI A股,2.79,120日
00752,中信中國50,3.678298875693706,"20日,5日,60日"
00753L,中信中國50正2,2.99,20日
00757,統一FANG+,-0.5267241924454216,5日
00763U,期街口道瓊銅,4.73,"20日,60日,120日"
00830,國泰費城半導體,4.4644463865462285,"60日,120日"
00865B,國泰US短期公債,2.06,5日
00875,國泰網路資安,8.07,"5日,60日,120日"
00885,富邦越南,1.06,5日
00897,富邦基因免疫生技,5.21,"20日,5日,60日,120日"
00898,國泰基因免疫革命,3.18,"20日,5日,60日"
00903,富邦元宇宙,1.73,5日
00908,富邦入息REITs+,4.43,"20日,60日"
00909,國泰數位支付服務,2.69,5日
00910,第一金太空衛星,7.25,"5日,60日,120日"
00912,中信臺灣智慧50,1.67,5日
00916,國泰全球品牌50,1.82,5日
00917,中信特選金融,5.19,"20日,5日,60日,120日"
00922,國泰台灣領袖50,19.910964710543848,"60日,120日"
00926,凱基全球菁英55,2.94,60日
00941,中信上游半導體,0.67,5日
00943,兆豐電子高息等權,21.2,120日
00945B,凱基美國非投等債,4.476212789429415,5日
00947,台新臺灣IC設計,5.4806296880892855,"60日,120日"
00956,中信日經高股息,3.39,60日
00961,FT臺灣永續高息,0.87,5日
00962,台新AI優息動能,1.98,5日
00963,中信全球高股息,3.23,5日
00964,中信亞太高股息,2.48,"20日,5日"
00971,野村美國研發龍頭,2.15,"20日,5日"
00972,野村日本動能高息,19.54,"20日,60日"
00985B,群益ESG投等債0-5,0.63,5日
00986A,主動台新龍頭成長,2.92,20日
00988A,主動統一全球創新,4.525393476915303,"60日,120日"
00991A,主動復華未來50,1.7867219464658786,20日
00992A,主動群益科技創新,3.0809794910445656,5日
00994A,主動第一金台股優,5.71,60日
00997A,主動群益美國增長,7.755129355047773,"20日,60日"
1101,台泥,16.00768691989151,5日
1102,亞泥,11.123614484880186,5日
1217,愛之味,8.51,5日
1233,天仁,5.68,60日
1301,台塑,32.197857956175234,120日
1303,南亞,36.812886096421806,"60日,120日"
1313,聯成,6.711277382855206,20日
1326,台化,38.11359900055257,"5日,120日"
1342,八貫,33.51743245789645,"60日,120日"
1402,遠東新,16.641967784086738,"20日,5日"
1476,儒鴻,31.275956326594844,20日
1515,力山,5.17758143751016,"20日,5日"
1516,川飛,5.85,120日
1526,日馳,2.21,5日
1528,恩德,2.058954691085083,"20日,5日"
1536,和大,4.632675063531531,20日
1560,中砂,40.91284524508768,120日
1563,巧新,3.61,60日
1568,倉佑,3.71,"20日,60日,120日"
1590,亞德客-KY,82.37689401596894,120日
1597,直得,7.82,120日
1609,大亞,12.445663835404202,20日
1623,大東電,2.1,"20日,60日"
1709,和益,7.48,"20日,5日,60日,120日"
1711,永光,5.53,5日
1714,和桐,19.1336738322843,5日
1718,中纖,8.637209822278647,"20日,5日,60日,120日"
1723,中碳,9.158911595086764,120日
1732,毛寶,3.53,5日
1733,五鼎,3.8350024916410366,20日
1809,中釉,2.02,5日
1810,和成,4.901157579209272,20日
1909,榮成,8.086263111179774,20日
2002,中鋼,12.279782581773004,5日
2006,東和鋼鐵,20.923593479382774,"20日,5日,60日,120日"
2014,中鴻,6.566065704858016,"60日,120日"
2027,大成鋼,24.82406928697089,"20日,5日,60日,120日"
2030,彰源,5.46,"60日,120日"
2031,新光鋼,9.062667958686161,"20日,5日"
2032,新鋼,3.4,60日
2049,上銀,36.81668689850292,"60日,120日"
2059,川湖,25.463821139016737,5日
2101,南港,7.029715233600609,"20日,60日"
2103,台橡,24.452700958471404,"20日,60日,120日"
2105,正新,7.595079991940905,20日
2206,三陽工業,7.190245168904149,60日
2228,劍麟,5.027871123894537,5日
2233,宇隆,9.142436121669075,120日
2241,艾姆勒,10.92,60日
2243,宏旭-KY,28.977571768371355,120日
2248,華勝-KY,50.97,5日
2301,光寶科,34.362150453424306,120日
2312,金寶,7.568978969568243,20日
2313,華通,22.683715195824146,5日
2316,楠梓電,36.79028073420995,"5日,60日,120日"
2317,鴻海,40.208160256326316,"60日,120日"
2324,仁寶,25.181281583750348,"20日,5日"
2327,國巨*,55.23654329452491,120日
2338,光罩,4.891081643406577,60日
2344,華邦電,27.49918157235288,"60日,120日"
2347,聯強,28.78987844558377,120日
2348,海悅,2.3514668835583636,20日
2349,錸德,13.99,60日
2351,順德,23.897549270507476,"20日,5日,60日,120日"
2355,敬鵬,16.594507162371833,"20日,5日,120日"
2356,英業達,19.562936227861158,"20日,5日,60日,120日"
2357,華碩,42.01924490200257,"20日,5日"
2359,所羅門,4.6413379578495855,20日
2363,矽統,7.103423614004206,5日
2364,倫飛,16.557656910710886,20日
2365,昆盈,3.02,"5日,60日,120日"
2375,凱美,15.431236832269592,"20日,5日,60日,120日"
2376,技嘉,25.213527090700232,"60日,120日"
2377,微星,16.18480987267988,"20日,5日,60日,120日"
2379,瑞昱,49.381492374248104,"60日,120日"
2382,廣達,27.47965140814026,120日
2388,威盛,16.047464836939007,"5日,120日"
2392,正崴,6.454834277502566,"5日,60日"
2395,研華,36.01962637698411,120日
2397,友通,14.257193613348765,"20日,5日"
2401,凌陽,18.45205805636315,"60日,120日"
