排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
145,6139,亞翔,753.0,17.0,2.31,09/24,190,21,172,494,1301,2479.0,8579.0,8273.0,7614.0,8228.0
146,00646,元大S&P500,77.15,-0.45,-0.58,09/24,-500,-398,53,492,-435,3734.0,6795.0,11541.0,15197.0,15403.0
147,6830,汎銓,540.0,-5.0,-0.92,09/24,194,317,346,492,548,766.0,1290.0,1148.0,450.0,1026.0
148,3055,蔚華科,199.0,-4.5,-2.21,09/24,59,280,444,486,512,1386.0,390.0,1325.0,-297.0,1061.0
149,1536,和大,47.0,0.7,1.51,09/24,24,152,301,477,902,1057.0,-74.0,-912.0,-355.0,-457.0
150,2887I,台新新光辛特,9.53,0.0,0.0,09/24,0,9,278,470,599,2529.0,1125.0,1912.0,3076.0,2226.0
151,2912,統一超,212.5,-0.5,-0.23,09/24,-252,-239,-167,467,325,-3065.0,-12707.0,6952.0,9521.0,3995.0
152,9802,鈺齊-KY,63.7,-0.5,-0.78,09/24,113,149,330,460,1239,1610.0,30.0,-5712.0,6055.0,-3915.0
153,3346,麗清,23.6,-0.05,-0.21,09/24,101,278,420,456,679,113.0,556.0,422.0,1786.0,1587.0
154,1907,永豐餘,28.25,-0.2,-0.7,09/24,44,243,300,447,-84,836.0,-7958.0,-8379.0,-3960.0,-2562.0
155,2851,中再保,47.5,-0.45,-0.94,09/24,30,181,208,437,716,1067.0,310.0,331.0,-10104.0,-3584.0
156,3605,宏致,183.5,3.5,1.94,09/24,-323,-134,68,435,1909,4915.0,1552.0,26.0,1101.0,574.0
157,3227,原相,183.5,-2.0,-1.08,09/24,-167,-86,50,433,1169,1722.0,1062.0,-1159.0,-1776.0,1958.0
158,6217,中探針,170.0,2.5,1.49,09/24,49,4,124,430,262,445.0,-103.0,6528.0,2233.0,1646.0
159,2359,所羅門,127.5,-0.5,-0.39,09/24,69,175,288,428,845,3006.0,389.0,-652.0,-855.0,-2462.0
160,3551,世禾,182.5,-1.0,-0.54,09/24,35,146,251,417,504,387.0,1.0,723.0,497.0,923.0
161,4908,前鼎,210.0,0.0,0.0,09/24,-38,10,155,417,759,1117.0,170.0,-93.0,-184.0,-243.0
162,9938,百和,38.05,-0.3,-0.78,09/24,75,87,115,408,614,1089.0,6104.0,11669.0,19262.0,16998.0
163,3138,耀登,99.4,2.3,2.37,09/24,110,186,240,407,448,454.0,33.0,606.0,1044.0,780.0
164,6592,和潤企業,57.6,-0.4,-0.69,09/24,120,222,287,400,452,-277.0,-2025.0,-3599.0,-713.0,-391.0
165,3533,嘉澤,1690.0,0.0,0.0,09/24,60,246,293,395,775,583.0,2024.0,-1031.0,-1240.0,-319.0
166,8932,智通*,92.6,-0.6,-0.64,09/24,13,-188,-86,391,2408,6196.0,12156.0,17228.0,16667.0,15794.0
167,2451,創見,284.5,0.0,0.0,09/24,191,277,331,390,1635,-3101.0,2208.0,10729.0,12144.0,9345.0
168,6584,南俊國際,544.0,2.0,0.37,09/24,47,89,184,390,463,573.0,578.0,850.0,569.0,765.0
169,6177,達麗,46.2,-0.3,-0.65,09/24,95,254,258,388,469,-1145.0,3049.0,5591.0,-1212.0,3822.0
170,4967,十銓,272.5,0.5,0.18,09/24,85,-30,79,380,632,996.0,-668.0,1395.0,1273.0,2484.0
171,6234,高僑,37.85,-0.35,-0.92,09/24,19,163,289,376,366,-40.0,-559.0,-43.0,-96.0,-369.0
172,8996,高力,1530.0,-10.0,-0.65,09/24,-24,-28,358,375,320,4765.0,6885.0,6543.0,3450.0,6585.0
173,3529,力旺,3230.0,-75.0,-2.27,09/24,97,322,316,367,340,-2211.0,-206.0,-3822.0,522.0,-1931.0
174,5522,遠雄,60.7,-0.2,-0.33,09/24,148,75,253,367,1026,927.0,-105.0,3231.0,-6753.0,-1394.0
175,6885,全福生技,31.15,0.9,2.98,09/24,66,152,247,366,165,413.0,738.0,939.0,751.0,1043.0
176,2458,義隆,137.5,8.5,6.59,09/24,-280,-78,22,364,1534,2702.0,14826.0,10054.0,8580.0,6767.0
177,8033,雷虎,168.5,0.0,0.0,09/24,48,143,173,359,1413,3939.0,312.0,2867.0,5699.0,3439.0
178,3293,鈊象,761.0,32.0,4.39,09/24,-18,-173,-134,352,-228,-18056.0,-17559.0,-10823.0,-5377.0,-15510.0
179,5536,聖暉*,902.0,9.0,1.01,09/24,5,314,379,348,168,261.0,-2447.0,-4332.0,665.0,-2650.0
180,5864,致和證,36.8,-0.3,-0.81,09/24,233,277,329,346,385,561.0,7259.0,6826.0,8856.0,9152.0
181,8027,鈦昇,184.0,7.5,4.25,09/24,-62,67,152,343,435,2194.0,1064.0,3195.0,1766.0,3414.0
182,8431,匯鑽科,63.3,0.1,0.16,09/24,31,97,180,343,209,261.0,151.0,765.0,912.0,212.0
183,3317,尼克森,68.3,1.8,2.71,09/24,296,365,377,333,396,661.0,421.0,1412.0,1965.0,774.0
184,4739,康普,79.5,-0.6,-0.75,09/24,65,115,224,330,192,874.0,2665.0,2921.0,2452.0,2624.0
185,6104,創惟,90.0,-0.3,-0.33,09/24,92,157,237,328,342,-460.0,-22.0,-3202.0,-224.0,-2360.0
186,3141,晶宏,83.9,-2.5,-2.89,09/24,52,115,149,324,264,-536.0,-953.0,468.0,1722.0,523.0
187,6510,精測,3310.0,-165.0,-4.75,09/24,70,134,278,322,239,801.0,777.0,647.0,6.0,141.0
188,5289,宜鼎,1305.0,0.0,0.0,09/24,85,153,183,315,473,1848.0,839.0,4272.0,3103.0,2924.0
189,00406A,主動中信台灣收益,10.0,0.08,0.81,09/24,-4360,-2920,-20,310,19801,28270.0,47848.0,,,
190,2374,佳能,66.3,0.2,0.3,09/24,-6,94,166,308,682,3302.0,2559.0,8176.0,21175.0,3745.0
191,6202,盛群,58.2,-0.8,-1.36,09/24,-3,119,135,302,393,-826.0,-1157.0,-2395.0,-303.0,-2417.0
192,6805,富世達,2530.0,-70.0,-2.69,09/24,151,211,254,299,-977,-1289.0,408.0,667.0,1149.0,865.0
