排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 發行 張數,2日 買賣超 佔 發行 張數,3日 買賣超 佔 發行 張數,5日 買賣超 佔 發行 張數,10日 買賣超 佔 發行 張數,1個月 買賣超 佔 發行 張數,3個月 買賣超 佔 發行 張數,半年 買賣超 佔 發行 張數,1年 買賣超 佔 發行 張數,3年 買賣超 佔 發行 張數,10年 買賣超 佔 發行 張數,今年 買賣超 佔 發行 張數
1,00714,群益道瓊美國地產,21.26,-0.08,-0.37,09/15,0.0,6.41,7.08,8.9,9.08,6.51,11.2,25.3,34.1,33.4,,31.8
2,8227,巨有科技,249.5,8.5,3.53,09/15,0.99,3.95,6.72,8.25,8.27,7.79,5.63,7.04,6.85,6.64,,5.84
3,6179,亞通,34.85,0.45,1.31,09/15,-0.28,-1.03,-0.47,4.04,4.07,5.95,7.94,8.15,5.29,8.06,8.02,6.64
4,6147,頎邦,200.0,11.0,5.82,09/15,2.61,3.59,2.8,2.83,1.0,0.11,6.65,2.43,6.01,0.46,-14.0,3.39
5,3229,晟鈦,60.3,-6.6,-9.87,09/15,1.2,-0.32,1.16,2.68,2.99,0.73,1.83,2.72,3.01,3.17,3.93,2.65
6,8096,擎亞,86.0,0.0,0.0,09/15,0.16,1.45,1.46,2.52,2.62,2.46,-6.47,5.71,1.23,2.37,2.38,12.4
7,6510,精測,3255.0,-120.0,-3.56,09/15,0.56,1.17,2.35,2.43,-4.0,-5.38,-4.84,-2.06,-5.06,9.53,5.54,-3.9
8,6227,茂綸,132.5,5.5,4.33,09/15,0.96,0.81,2.14,2.34,2.31,-0.02,0.61,5.64,6.19,4.51,4.64,5.95
9,6683,雍智科技,1450.0,115.0,8.61,09/15,1.66,1.81,1.99,2.24,0.49,1.11,-0.99,-3.1,6.13,0.96,,2.92
10,3234,光環,163.5,-10.5,-6.03,09/15,0.51,1.06,1.77,2.22,1.8,4.67,7.23,11.1,10.7,11.9,9.68,10.5
11,00678,群益那斯達克生技,42.66,0.55,1.31,09/15,-0.04,2.79,2.09,2.09,-1.41,4.44,4.84,8.96,20.0,20.7,,5.99
12,6449,鈺邦,209.5,-5.0,-2.33,09/15,0.66,1.15,1.09,2.03,1.81,-0.19,0.29,4.0,2.04,4.3,7.21,4.52
13,2472,立隆電,208.0,-2.5,-1.19,09/15,0.43,0.77,1.23,1.94,2.82,3.32,7.08,2.51,2.83,9.61,8.75,3.8
14,6168,宏齊,29.25,-0.7,-2.34,09/15,0.09,0.9,1.35,1.67,0.13,1.03,2.8,0.71,1.23,-3.18,-2.25,0.23
15,6805,富世達,2025.0,-140.0,-6.47,09/15,0.59,0.99,1.42,1.67,2.25,2.92,-2.31,0.63,-6.68,,,-0.8
16,00989A,主動摩根美國科技,16.78,0.22,1.33,09/15,0.03,1.42,1.41,1.58,1.6,2.25,6.72,56.5,,,,73.0
17,6224,聚鼎,86.0,1.0,1.18,09/15,0.31,0.29,0.67,1.51,1.41,3.27,4.28,4.26,3.26,4.39,0.81,4.85
18,4908,前鼎,224.0,-1.5,-0.67,09/15,-0.31,0.28,0.43,1.27,2.39,-0.51,0.68,3.9,4.07,1.14,3.57,3.93
19,6716,應廣,115.0,-5.5,-4.56,09/15,-0.33,0.47,0.48,1.24,-0.71,1.11,4.78,5.25,6.36,6.51,,6.58
20,00983A,主動中信ARK創新,12.36,0.33,2.74,09/15,0.06,1.23,1.17,1.23,1.63,7.88,27.1,99.8,91.1,,,100.0
21,6245,立端,83.7,-1.8,-2.11,09/15,-0.19,0.57,0.62,1.22,0.91,-0.1,0.79,5.75,4.91,-1.37,3.02,5.35
