排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
1,00673R,期元大S&P原油反1,10.04,-0.02,-0.2,53916,09/14,20901,34380,37054,28564,73608,85586.0,63373.0,111170.0,129159.0,141735.0
2,00953B,群益優選非投等債,9.53,0.02,0.21,34242,09/14,19240,24217,24244,24438,30110,22656.0,54541.0,52147.0,92261.0,76169.0
3,00685L,群益臺灣加權正2,11.68,-0.16,-1.35,214693,09/14,1767,5857,13988,17858,7394,-2419.0,160626.0,162044.0,162528.0,162407.0
4,00631L,元大台灣50正2,35.4,-0.58,-1.61,169334,09/14,1346,15473,20398,14421,-9914,-27353.0,19343.0,192071.0,193393.0,193264.0
5,2409,友達,28.7,-1.5,-4.97,311780,09/14,4702,19482,22231,14236,34365,34786.0,36079.0,82714.0,188975.0,132777.0
6,2303,聯電,142.5,2.0,1.42,132513,09/14,-1685,-8872,-7286,13830,24790,28970.0,-42844.0,119152.0,152895.0,169885.0
7,00981A,主動統一台股增長,29.32,-0.12,-0.41,129532,09/14,-6825,-1692,-1503,8120,26532,-7795.0,13072.0,110292.0,151665.0,85760.0
8,009829,大華韓國KOSPI50,10.51,-0.34,-3.13,19319,09/14,875,3807,3156,5638,6591,,,,,
9,6949,沛爾生醫*-創,55.8,2.8,5.28,7805,09/14,73,863,1983,5521,105517,105555.0,105214.0,106565.0,109044.0,107399.0
10,00406A,主動中信台灣收益,9.39,-0.05,-0.53,193985,09/14,2215,5172,7034,5064,12097,32147.0,47567.0,,,
11,00738U,期元大道瓊白銀,50.65,0.1,0.2,1987,09/14,-13,902,4936,4706,5515,6159.0,6484.0,4210.0,11634.0,2701.0
12,6173,信昌電,293.5,3.5,1.21,25710,09/14,132,1695,3603,4228,3780,3992.0,4482.0,6266.0,10721.0,7036.0
13,00680L,元大美債20正2,6.2,0.01,0.16,11627,09/14,474,2769,3905,4053,6746,3356.0,-1569.0,-44803.0,-219948.0,-161886.0
14,00919,群益台灣精選高息,32.89,0.41,1.26,135074,09/14,1050,1714,1810,3820,8506,8863.0,-4289.0,2924.0,-4306.0,9632.0
15,00918,大華優利高填息30,35.51,0.17,0.48,76987,09/14,1277,1761,1875,3211,13419,13990.0,4242.0,14308.0,12343.0,13689.0
16,2884,玉山金,46.35,0.05,0.11,42522,09/14,430,1560,1409,3074,3652,3371.0,2944.0,5213.0,7023.0,421.0
17,2883,凱基金,38.8,0.95,2.51,43391,09/14,1785,2590,2036,3045,894,3891.0,-3484.0,-2902.0,-12639.0,-5160.0
18,6620,漢達,127.0,3.0,2.42,1397,09/14,202,333,778,3013,5201,5704.0,,,,
19,00712,復華富時不動產,8.32,-0.06,-0.72,75779,09/14,-82,1294,1918,3001,4227,5443.0,2727.0,3641.0,2370.0,5741.0
20,6179,亞通,34.4,-1.35,-3.78,13239,09/14,-271,-188,581,2825,3410,4267.0,4552.0,8471.0,4334.0,10215.0
21,3624,光頡,124.0,-0.5,-0.4,44895,09/14,898,953,1044,2801,3194,4882.0,345.0,5628.0,9129.0,5185.0
22,2305,全友,45.15,4.1,9.99,33465,09/14,1437,1714,2309,2763,3097,3449.0,1255.0,7375.0,7919.0,7857.0
23,009828,中信台日韓PCB,9.35,-0.1,-1.06,49100,09/14,-1033,-4545,-2269,2537,19753,,,,,
24,00404A,主動聯博動能50,9.8,-0.02,-0.2,21546,09/14,118,859,1522,2211,2565,2481.0,2024.0,,,
25,2344,華邦電,160.0,-11.5,-6.71,123412,09/14,1126,1998,1872,2195,5622,-10842.0,-12316.0,-8217.0,41900.0,-34184.0
26,3605,宏致,126.5,4.0,3.27,8387,09/14,-1397,-2289,-794,2163,-566,3379.0,12886.0,12081.0,8882.0,12511.0
27,00664R,國泰臺灣加權反1,1.62,0.02,1.25,22661,09/14,-304,810,1738,2093,-209,4016.0,-18943.0,-27517.0,-53927.0,-24003.0
28,3016,嘉晶,112.5,3.0,2.74,21536,09/14,1683,1906,1876,2072,2432,2059.0,674.0,5358.0,5283.0,5809.0
29,8932,智通*,90.6,0.0,0.0,1617,09/14,237,776,1374,2070,2748,-928.0,1728.0,17019.0,42967.0,41775.0
30,2492,華新科,305.5,-6.0,-1.93,28422,09/14,77,222,2084,2033,2074,2469.0,6155.0,8393.0,12531.0,5366.0
31,8358,金居,518.0,33.0,6.8,34056,09/14,1887,1752,2093,1890,2325,4885.0,12352.0,6989.0,-14914.0,4711.0
32,8064,東捷,113.5,-1.5,-1.3,5199,09/14,71,-1898,-1533,1785,4824,4407.0,2331.0,3954.0,3798.0,3037.0
33,2851,中再保,47.5,0.35,0.74,4269,09/14,827,1121,1491,1762,1825,4075.0,4087.0,4022.0,4002.0,4083.0
34,3702,大聯大,107.0,0.5,0.47,5927,09/14,356,461,306,1745,2296,3745.0,6600.0,8029.0,9929.0,6465.0
35,2330,台積電,2380.0,-30.0,-1.24,21521,09/14,313,740,1235,1697,1151,1154.0,1621.0,2965.0,15608.0,7448.0
36,00929,復華台灣科技優息,28.6,-0.02,-0.07,42525,09/14,184,941,829,1665,2215,4089.0,5861.0,7484.0,3281.0,5029.0
37,6112,邁達特,50.6,4.55,9.88,10922,09/14,1705,1634,1625,1625,1770,1635.0,846.0,1050.0,-813.0,757.0
38,3715,定穎投控,120.5,-2.5,-2.03,2750,09/14,-181,-318,263,1489,2267,4476.0,-1647.0,-17472.0,-3131.0,-12279.0
39,4924,欣厚-KY,12.3,-0.2,-1.6,1559,09/14,1286,1335,1328,1412,1489,1405.0,1599.0,2726.0,2726.0,2726.0
40,4915,致伸,64.6,1.8,2.87,13116,09/14,1387,1508,1492,1381,1509,1736.0,2908.0,3564.0,3899.0,4091.0
41,8227,巨有科技,241.0,2.0,0.84,19944,09/14,202,288,461,1330,1424,1574.0,1067.0,1248.0,521.0,1063.0
42,00935,野村臺灣新科技50,58.0,-0.55,-0.94,9626,09/14,125,318,507,1307,1886,2549.0,2048.0,5153.0,7295.0,7338.0
43,2892,第一金,39.85,0.95,2.44,37037,09/14,1077,1292,1289,1270,8976,8375.0,193.0,2197.0,8385.0,1635.0
44,3029,零壹,116.5,0.0,0.0,17817,09/14,412,1255,1216,1266,1260,1123.0,171.0,1110.0,-412.0,494.0
45,2254,巨鎧精密-創,70.8,5.0,7.6,1166,09/14,73,392,698,1262,1703,2213.0,2210.0,1751.0,-242.0,-333.0
46,00961,FT臺灣永續高息,13.4,0.04,0.3,29229,09/14,82,490,925,1251,2757,4406.0,7464.0,7863.0,6575.0,8495.0
47,6834,天二科技,98.2,-9.8,-9.07,7659,09/14,-527,249,765,1232,1137,1361.0,423.0,4578.0,3646.0,3882.0
48,3149,正達,60.9,-1.4,-2.25,4092,09/14,15,711,910,1227,880,684.0,945.0,-4158.0,7903.0,890.0
49,3229,晟鈦,66.9,-0.6,-0.89,16339,09/14,-7,241,175,1226,1756,3006.0,3006.0,3006.0,3006.0,3006.0
50,3026,禾伸堂,731.0,-13.0,-1.75,8267,09/14,13,-898,581,1224,726,-578.0,1328.0,8703.0,10622.0,7733.0
51,009803,玉山市值動能50,21.64,-0.12,-0.55,29715,09/14,514,787,901,1213,1288,1347.0,1201.0,1441.0,1659.0,1719.0
52,2338,光罩,48.0,0.25,0.52,55396,09/14,-121,528,610,1209,1253,1415.0,-1436.0,-700.0,-534.0,284.0
53,5880,合庫金,27.45,0.25,0.92,22724,09/14,81,529,520,1194,429,-74.0,284.0,1402.0,1330.0,1808.0
54,5314,世紀*,37.95,-4.2,-9.96,14412,09/14,-1097,-180,719,1188,930,-2443.0,-5205.0,-5956.0,-8652.0,-9438.0
55,1409,新纖,24.35,-0.1,-0.41,9955,09/14,-491,-733,-432,1161,1762,664.0,1158.0,10135.0,4336.0,10095.0
56,8111,立碁,70.7,-1.0,-1.39,4522,09/14,140,30,892,1125,1469,2205.0,1901.0,812.0,2788.0,-260.0
57,6290,良維,260.0,2.0,0.78,1491,09/14,52,307,562,1110,1743,1828.0,-2035.0,-4743.0,2413.0,-1021.0
58,2887,台新新光金,43.55,0.9,2.11,41756,09/14,457,482,415,1083,1807,3498.0,-3908.0,-10619.0,-74033.0,-40515.0
59,00637L,元大滬深300正2,19.35,-0.07,-0.36,11838,09/14,25,154,-287,1056,505,4312.0,12181.0,-26200.0,-67029.0,-20529.0
60,2069,運錩,23.9,-0.75,-3.04,2164,09/14,-20,656,730,1056,1099,1242.0,1244.0,997.0,822.0,901.0
61,00665L,富邦恒生國企正2,9.02,0.07,0.78,7874,09/14,-14,-57,281,1047,751,-373.0,-29625.0,-25627.0,-34100.0,-31220.0
62,6116,彩晶,13.85,-0.25,-1.77,24282,09/14,-379,1110,1055,971,2813,2004.0,10979.0,2631.0,8461.0,11235.0
63,1528,恩德,23.3,2.1,9.91,15628,09/14,-221,616,659,956,1006,797.0,-1000.0,-3433.0,-3624.0,-3685.0
64,2308,台達電,1620.0,0.0,0.0,9470,09/14,-30,61,700,937,1412,2034.0,3911.0,4097.0,5926.0,1552.0
65,2413,環科,50.6,0.4,0.8,5381,09/14,119,52,393,917,1223,1244.0,573.0,-894.0,2708.0,-458.0
66,3006,晶豪科,270.5,-20.0,-6.88,13744,09/14,-112,454,617,916,747,1597.0,-2799.0,-4644.0,7755.0,5543.0
67,9105,泰金寶-DR,8.38,-0.21,-2.44,16196,09/14,326,225,679,916,1525,1592.0,-2271.0,-2889.0,-1811.0,-7255.0
68,00981D,主動中信非投等債,10.24,0.04,0.39,1867,09/14,0,863,872,898,1398,2154.0,1111.0,-11605.0,5052.0,-1070.0
69,9904,寶成,24.05,-0.15,-0.62,7377,09/14,129,32,460,891,144,-196.0,9688.0,16254.0,7776.0,10243.0
70,2388,威盛,72.3,-2.9,-3.86,2929,09/14,35,98,129,873,1021,1433.0,-2280.0,-3664.0,-1567.0,-2832.0
71,00676R,富邦臺灣加權反1,5.5,0.03,0.55,6489,09/14,-616,546,692,849,4557,4707.0,7367.0,9950.0,5082.0,14227.0
72,6274,台燿,1410.0,45.0,3.3,7441,09/14,66,131,383,845,725,900.0,2978.0,723.0,-7051.0,4215.0
73,00984D,主動聯博全球非投,9.82,0.03,0.31,11448,09/14,-2,209,179,814,3187,4424.0,15087.0,19650.0,,
74,00982A,主動群益台灣強棒,22.17,-0.2,-0.89,16036,09/14,237,306,341,800,-21,866.0,3747.0,3257.0,1692.0,-1240.0
75,2609,陽明,59.3,-0.1,-0.17,30195,09/14,1228,1514,1824,773,-3049,3492.0,-3412.0,-164.0,1534.0,1372.0
76,8996,高力,1235.0,-95.0,-7.14,6221,09/14,532,439,927,730,2173,2662.0,3701.0,2825.0,2204.0,1782.0
77,3264,欣銓,227.5,-3.0,-1.3,5270,09/14,-46,320,256,700,618,-28.0,-688.0,-3041.0,-2020.0,-10104.0
78,2323,中環,10.5,-0.2,-1.87,3634,09/14,242,88,524,685,990,241.0,1801.0,3207.0,8837.0,3783.0
79,00642U,期元大S&P石油,33.62,0.13,0.39,2912,09/14,27,166,313,658,-204,-1089.0,-5720.0,-9878.0,294.0,-1516.0
80,6269,台郡,64.7,-1.4,-2.12,3566,09/14,-23,-33,110,629,-1180,1230.0,1505.0,6403.0,5341.0,6761.0
81,8042,金山電,111.0,-2.0,-1.77,3269,09/14,-546,-1680,163,627,1225,2174.0,1471.0,3542.0,6014.0,3186.0
82,2908,特力,22.0,0.05,0.23,230,09/14,147,270,387,608,1189,2293.0,2574.0,4117.0,5679.0,6086.0
83,4714,永捷,11.4,-0.3,-2.56,2087,09/14,222,582,432,607,716,2236.0,1396.0,801.0,-3872.0,442.0
84,4556,旭然,90.4,-4.2,-4.44,2428,09/14,327,538,584,600,625,591.0,777.0,728.0,640.0,750.0
85,6505,台塑化,82.8,-0.8,-0.96,26088,09/14,-312,309,-2521,596,418,-398.0,1672.0,-1744.0,4170.0,6852.0
86,4763,材料*-KY,49.35,0.5,1.02,7099,09/14,164,208,435,594,1015,204.0,-4666.0,-5118.0,-4315.0,-3211.0
87,00896,中信綠能及電動車,27.83,-0.09,-0.32,18880,09/14,160,511,620,579,729,871.0,-915.0,1466.0,2426.0,1182.0
88,00985A,主動野村台灣50,22.55,-0.15,-0.66,2557,09/14,199,318,562,573,833,1210.0,1266.0,1543.0,1060.0,1527.0
89,0050,元大台灣50,106.9,-0.8,-0.74,91951,09/14,247,541,1200,562,-358,-951.0,7147.0,3646.0,11898.0,9774.0
90,00753L,中信中國50正2,8.89,0.04,0.45,4317,09/14,-367,-867,141,562,43,-127.0,-26348.0,-20926.0,3106.0,-24399.0
91,7799,禾榮科,418.0,3.5,0.84,418,09/14,22,161,529,559,609,650.0,1315.0,,,
92,2890,永豐金,44.8,1.1,2.52,31277,09/14,157,422,412,553,341,-108.0,-1046.0,463.0,-4554.0,-256.0
93,1713,國化,42.5,-0.05,-0.12,814,09/14,-113,-43,12,552,59,187.0,270.0,56.0,201.0,-619.0
94,2617,台航,33.05,-0.6,-1.78,1927,09/14,2,284,434,543,895,896.0,529.0,880.0,919.0,842.0
95,5340,建榮,84.3,-1.6,-1.86,5699,09/14,188,71,188,536,217,-49.0,-1554.0,-2401.0,1365.0,-658.0
96,009826,貝萊德世界股票,9.98,0.01,0.1,10888,09/14,26,37,32,530,388,4498.0,,,,
97,1569,濱川,49.0,-1.6,-3.16,929,09/14,12,518,514,516,773,402.0,-1751.0,-2519.0,-6774.0,-3594.0
98,3055,蔚華科,159.5,5.0,3.24,1767,09/14,-1,-21,371,512,1235,2200.0,1277.0,2966.0,2148.0,2082.0
99,2369,菱生,29.2,-0.3,-1.02,2075,09/14,-91,-103,83,500,328,1045.0,1003.0,654.0,7626.0,5004.0
100,3376,新日興,181.0,-2.0,-1.09,8310,09/14,154,-100,85,500,661,1251.0,246.0,-984.0,3746.0,-1316.0
101,5321,美而快,71.8,-3.7,-4.9,764,09/14,345,521,482,499,1402,3331.0,3522.0,3689.0,3384.0,3689.0
102,6227,茂綸,127.0,-0.5,-0.39,4911,09/14,-149,443,458,499,495,727.0,249.0,-807.0,-987.0,-810.0
103,1709,和益,36.05,-0.15,-0.41,10315,09/14,221,1369,1472,498,1324,5638.0,29654.0,29472.0,29404.0,29089.0
104,2351,順德,257.0,23.0,9.83,13792,09/14,728,264,300,478,1884,4688.0,-11637.0,11369.0,8645.0,9947.0
105,3045,台灣大,121.5,0.5,0.41,4599,09/14,699,649,668,469,532,-1213.0,530.0,87.0,-148.0,77.0
