股票代號,股票名稱,法人持股,上榜區塊
00407A,主動凱基台灣,2.5,20日
00410A,主動永豐科技趨勢,10.49,20日
0050,元大台灣50,7.195885312996221,"5日,120日"
00632R,元大台灣50反1,6.408993198871219,"60日,120日,20日"
00634R,富邦上証反1,6.8,120日
00635U,期元大S&P黃金,12.75,"60日,20日"
00637L,元大滬深300正2,0.46,5日
00642U,期元大S&P石油,3.01,5日
00645,富邦日本,2.9570958438960857,"60日,20日"
00651R,復華香港反1,3.2,20日
00652,富邦印度,2.0152445318260015,60日
00656R,國泰中國A50反1,4.02,"5日,120日,20日,60日"
00661,元大日經225,8.008537886872999,"60日,120日"
00663L,國泰臺灣加權正2,2.49,"5日,20日,60日"
00674R,期元大S&P黃金反1,5.49,120日
00675L,富邦臺灣加權正2,2.81,"5日,20日"
00678,群益那斯達克生技,9.47,"120日,20日"
00681R,元大美債20反1,19.47,"120日,20日"
00683L,期元大美元指正2,16.04,"5日,120日"
00689R,國泰20年美債反1,35.89,120日
00709,富邦歐洲,7.314438502673798,"5日,120日,20日,60日"
00715L,期街口布蘭特正2,3.61,20日
00728,第一金工業30,1.62,"5日,20日"
00735,國泰臺韓科技,4.26,"5日,20日"
00736,國泰新興市場,24.24,"60日,120日"
00737,國泰AI機器人,2.4,5日
00753L,中信中國50正2,0.8,5日
00865B,國泰US短期公債,1.31,5日
00875,國泰網路資安,6.74,"60日,120日"
00894,中信小資高價30,0.5,5日
00898,國泰基因免疫革命,1.79,5日
00909,國泰數位支付服務,3.55,"5日,120日,20日"
00910,第一金太空衛星,4.2,120日
00913,兆豐台灣晶圓製造,2.78,"5日,120日"
00920,富邦ESG綠色電力,6.4,"60日,120日"
00921,兆豐龍頭等權重,2.59,20日
00922,國泰台灣領袖50,20.527537676088922,"5日,120日,60日"
00943,兆豐電子高息等權,12.95,120日
00964,中信亞太高股息,3.34,20日
00972,野村日本動能高息,21.07,"60日,120日,20日"
00980A,主動野村臺灣優選,12.476189017262806,"60日,120日,20日"
00983D,主動富邦複合收益,0.63,5日
00985B,群益ESG投等債0-5,0.5,5日
00991B,貝萊德A級公司債,94.71,5日
00992A,主動群益科技創新,2.86033645293191,120日
00994A,主動第一金台股優,5.01,120日
1101,台泥,16.993486635878217,20日
1102,亞泥,12.242429325938687,"5日,20日"
1216,統一,37.974647296007404,"5日,120日,20日,60日"
1301,台塑,32.587576696932736,"5日,120日,20日,60日"
1303,南亞,36.09357344503113,"5日,120日"
1304,台聚,28.76,"5日,20日"
1305,華夏,4.370164809910651,"5日,20日"
1308,亞聚,5.28,"5日,20日"
1309,台達化,2.98,5日
1310,台苯,5.635654614459032,5日
1312,國喬,4.25,"5日,20日"
1313,聯成,7.201277382855206,"5日,20日,60日"
1314,中石化,9.946978214854704,5日
1319,東陽,10.03759481792792,"60日,20日"
1326,台化,38.33392724852908,"5日,120日"
1342,八貫,32.687180917471956,"60日,120日,20日"
1402,遠東新,19.212824199808306,"60日,20日"
1434,福懋,8.31925504196952,5日
1504,東元,2.5530085823088866,20日
1513,中興電,17.861897712085337,"60日,20日"
1526,日馳,3.32,5日
1536,和大,5.512675063531531,20日
1560,中砂,41.03874303189708,"60日,120日"
1568,倉佑,4.13,"60日,120日"
1582,信錦,4.988009365641329,5日
1605,華新,18.405111593009554,"5日,120日,20日,60日"
1608,華榮,5.9789970543109305,"5日,20日,60日"
1612,宏泰,16.27739611172502,20日
1617,榮星,20.78,60日
1618,合機,2.14,5日
1708,東鹼,9.313532256579293,5日
1709,和益,8.21,"60日,120日"
1710,東聯,4.799460109557783,"5日,20日"
1711,永光,5.97,5日
1714,和桐,17.882132768350758,5日
1717,長興,15.049532791977725,"5日,20日,60日"
1718,中纖,6.235904885744369,5日
1721,三晃,1.74,5日
1723,中碳,9.868911595086763,"60日,120日,20日"
1727,中華化,9.898437738720848,"5日,20日,60日"
1736,喬山,5.838757798560414,60日
1802,台玻,6.18181081358409,"5日,20日"
1809,中釉,2.17,5日
1904,正隆,11.812710515111887,"60日,120日,20日"
1909,榮成,9.416263111179774,"60日,20日"
2006,東和鋼鐵,23.257446525176547,"60日,120日,20日"
2009,第一銅,3.2183778020189604,"60日,20日"
2010,春源,8.712933658901536,20日
2014,中鴻,7.256316132492633,120日
2027,大成鋼,28.1641469237614,"60日,120日,20日"
2030,彰源,9.33,"5日,120日,20日,60日"
2031,新光鋼,10.759939182181123,"60日,120日,20日"
2032,新鋼,3.86,120日
2033,佳大,1.8,20日
2034,允強,5.1,20日
2049,上銀,39.242648756795795,"60日,120日,20日"
2059,川湖,26.222438876191287,5日
2069,運錩,3.604207063592459,20日
2102,泰豐,3.65,5日
2103,台橡,26.582700958471403,"5日,120日,20日,60日"
2104,國際中橡,5.570816571080326,"5日,20日"
2108,南帝,6.721680487885362,"60日,20日"
2206,三陽工業,7.61737193409035,60日
2233,宇隆,10.214381536459051,"60日,120日"
2243,宏旭-KY,28.066130297757667,120日
2301,光寶科,38.281930961482644,"60日,120日,20日"
2302,麗正,2.1691254983129244,"5日,20日"
2305,全友,3.597118966267699,5日
2313,華通,26.227002473177244,"5日,20日"
2316,楠梓電,35.9165451129026,120日
2317,鴻海,40.38982750592416,120日
2323,中環,11.167880124675786,20日
2324,仁寶,27.995392528493426,20日
2328,廣宇,9.214690201906377,5日
2337,旺宏,25.85280741484813,5日
2340,台亞,9.888632082196649,"5日,20日"
2342,茂矽,4.08,5日
2344,華邦電,29.322680161720605,"5日,120日,20日"
2347,聯強,29.473237647253544,120日
2349,錸德,13.92,120日
2351,順德,27.091536440306502,"5日,120日,20日,60日"
2353,宏碁,12.65330385395372,20日
2354,鴻準,12.655160061597874,"5日,20日,60日"
2355,敬鵬,17.314507162371832,"5日,60日"
2356,英業達,21.31642579860094,"60日,120日,20日"
2357,華碩,45.129595956854345,"5日,120日,20日,60日"
2359,所羅門,7.771337957849585,"60日,120日,20日"
2362,藍天,10.562818454576279,20日
2364,倫飛,19.757656910710885,"60日,120日,20日"
2367,燿華,13.643916129651382,"60日,20日"
2368,金像電,31.576328297696,5日
2374,佳能,5.3346090895553475,5日
2376,技嘉,28.30022174901406,"60日,120日,20日"
2377,微星,18.533350841022827,"5日,120日,20日,60日"
2379,瑞昱,48.64669755787812,120日
2382,廣達,30.67275567155673,"5日,120日,20日,60日"
2385,群光,18.58593117337116,"5日,20日,60日"
2388,威盛,15.819971874645143,"60日,120日"
2392,正崴,9.087176531845076,"5日,120日,20日,60日"
2393,億光,15.653608256940661,"5日,20日"
2395,研華,36.46267048928018,120日
2397,友通,15.047193613348766,"60日,20日"
2399,映泰,6.9983155530600785,"5日,120日,20日"
2401,凌陽,17.321754343013207,"60日,120日"
2402,毅嘉,4.823743948430348,"5日,20日"
2408,南亞科,23.017126474709258,"5日,120日,20日,60日"
2409,友達,11.307383923057952,"5日,20日"
2417,圓剛,2.79,5日
2421,建準,38.511360521078444,"5日,20日,60日"
2425,承啟,5.691401524646449,5日
2426,鼎元,12.525072445801518,"60日,120日,20日"
2434,統懋,2.99,60日
2451,創見,5.19821749748621,20日
2455,全新,50.04401266302358,"5日,120日,20日,60日"
2458,義隆,23.94700524830177,120日
2461,光群雷,10.7,"5日,120日,20日,60日"
2464,盟立,13.555349274775775,"60日,120日,20日"
2465,麗臺,8.1,"60日,120日,20日"
2467,志聖,23.080633060212904,"5日,20日"
2471,資通,4.89,"5日,20日"
2472,立隆電,17.067620779712588,"60日,120日"
2476,鉅祥,9.223897684572268,5日
2478,大毅,14.707150268332693,120日
2480,敦陽科,11.736822186956973,"60日,20日"
2481,強茂,27.582083244395214,5日
2483,百容,4.96,"60日,120日"
2485,兆赫,5.62,60日
2486,一詮,14.503015760323967,5日
2489,瑞軒,8.50411180327869,"5日,60日"
2491,吉祥全,9.856812018339674,"5日,120日,20日,60日"
2492,華新科,20.73337170783897,"5日,120日"
2493,揚博,7.7741599854362065,"5日,120日,60日"
2495,普安,8.300918994430951,"120日,20日"
2501,國建,11.9274309163309,120日
2542,興富發,14.42039293981152,"60日,120日,20日"
2597,潤弘,6.337846007286397,"60日,120日"
2603,長榮,29.18986846437668,"5日,120日,20日,60日"
2605,新興,48.83671972296075,120日
2606,裕民,20.668621889866596,"5日,120日,20日,60日"
2609,陽明,16.410855497736897,"60日,120日,20日"
2610,華航,15.315277785501555,60日
2612,中航,5.54,"5日,20日,60日"
2615,萬海,43.49854873968255,"60日,120日,20日"
2617,台航,10.290389007727294,"5日,20日,60日"
2618,長榮航,35.044518929283626,"60日,120日,20日"
2636,台驊控股,11.54236069205091,"60日,120日,20日"
2637,慧洋-KY,23.42501327130616,"60日,120日,20日"
2705,六福,3.2610454081934805,60日
2723,美食-KY,46.742222222222225,5日
2727,王品,34.98870020764019,"60日,120日,20日"
2753,八方雲集,7.217039879903001,60日
2801,彰銀,18.322057698161014,60日
2845,遠東銀,11.648248938107216,"60日,120日"
2851,中再保,10.415025370484031,"5日,120日,20日"
2852,第一保,6.153662360411835,"60日,20日"
2855,統一證,12.791279470098559,5日
2880,華南金,18.896234614347204,5日
2883,凱基金,31.55579657960137,"5日,20日"
2886,兆豐金,23.510960444068044,"5日,120日,20日,60日"
2887,台新新光金,30.28138741530099,"5日,60日"
2889,國票金,10.334519581876323,"5日,60日"
