股票代號,股票名稱,法人持股,上榜區塊,累積衰退
00400A,主動國泰動能高息,-54.413868555849305,"30日衰退,5日衰退,20日衰退,10日衰退",-0.7387590337822658
00401A,主動摩根台灣鑫收,-3.9707923182322373,"30日衰退,5日衰退,20日衰退,10日衰退",-2.1626117368052507
00402A,主動安聯美國科技,3.963109908380304,5日衰退,-0.821364987408121
00403A,主動統一升級50,-38.01956469433441,"5日衰退,10日衰退",-1.4959725782858797
00406A,主動中信台灣收益,-65.39330435001028,"30日衰退,5日衰退,20日衰退,10日衰退",-1.3650900126909704
00410A,主動永豐科技趨勢,112.22530787526428,"5日衰退,10日衰退",-12.37927262841427
0050,元大台灣50,-7.456264121488639,30日衰退,-2.113701185493337
0052,富邦科技,-61.97124014740108,"5日衰退,20日衰退,10日衰退",-2.1097468242129622
0055,元大MSCI金融,-4.5568696104141555,5日衰退,-0.565501130715012
0057,富邦摩台,-11.823372626064177,"30日衰退,5日衰退,20日衰退,10日衰退",-2.1043745907007185
00632R,元大台灣50反1,-20.619909311382877,"30日衰退,5日衰退,20日衰退",-2.9267152288587646
00633L,富邦上証正2,51.456712153080595,"5日衰退,10日衰退",-2.46496845805072
00634R,富邦上証反1,13.13678969033586,"5日衰退,20日衰退,10日衰退",-0.8130745568530973
00635U,期元大S&P黃金,-47.62235746332453,"5日衰退,10日衰退",-10.59340830841382
00637L,元大滬深300正2,69.87753105351527,"5日衰退,10日衰退",-1.584802624235465
00640L,富邦日本正2,75.43944851222932,10日衰退,-1.3215516435581947
00641R,富邦日本反1,-23.151558672418652,"20日衰退,30日衰退",-5.974690003060822
00646,元大S&P500,-21.594623045611275,"30日衰退,5日衰退,20日衰退,10日衰退",-1.2809292762160318
00647L,元大S&P500正2,28.893865336658358,"5日衰退,20日衰退,10日衰退",-1.2717331670822922
00652,富邦印度,10.556378307528467,"5日衰退,10日衰退",-1.3972430352618925
00653L,富邦印度正2,31.164777183600716,"5日衰退,10日衰退",-1.9338253680668238
00655L,國泰中國A50正2,56.264483246488844,"20日衰退,10日衰退",-1.1741271265399007
00656R,國泰中國A50反1,8.603199882104434,"30日衰退,5日衰退,20日衰退,10日衰退",-4.748547428403008
00662,富邦NASDAQ,-30.87132201622748,"30日衰退,5日衰退,20日衰退",-0.6114696156934265
00663L,國泰臺灣加權正2,-83.29074012653187,"5日衰退,10日衰退",-1.7342529675685796
00664R,國泰臺灣加權反1,-10.318530000288327,"30日衰退,5日衰退,20日衰退,10日衰退",-3.620055904636928
00666R,富邦恒生國企反1,-3.8154562737642586,"30日衰退,5日衰退,20日衰退,10日衰退",-10.141293147171226
00668,國泰美國道瓊,-12.465513831351062,"20日衰退,10日衰退",-0.8434571695843918
00670L,富邦NASDAQ正2,-18.622468727720527,"5日衰退,30日衰退,10日衰退",-0.8863834337935046
00673R,期元大S&P原油反1,-48.36241228354902,"20日衰退,30日衰退,10日衰退",-6.324186192670247
00676R,富邦臺灣加權反1,-31.709727024383888,"30日衰退,5日衰退,20日衰退",-1.294377098369477
00685L,群益臺灣加權正2,-54.93671706755927,30日衰退,-3.3581498820814346
00686R,群益臺灣加權反1,-41.03767330243995,"30日衰退,5日衰退,20日衰退,10日衰退",-4.9659200535557275
00693U,期街口S&P黃豆,-4.670656315775087,"5日衰退,20日衰退",-0.9941986715140914
00700,富邦恒生國企,31.72687709095457,20日衰退,-3.2856221229493237
00701,國泰股利精選30,29.040349842421254,20日衰退,-1.528081613887153
00708L,期元大S&P黃金正2,-66.31925311424077,"30日衰退,5日衰退,20日衰退,10日衰退",-1.7371054148768366
00712,復華富時不動產,-21.70830772812333,"30日衰退,5日衰退,20日衰退,10日衰退",-1.488572463530005
00714,群益道瓊美國地產,5.492349628743709,"30日衰退,5日衰退,20日衰退,10日衰退",-5.2899928974821435
00728,第一金工業30,24.2909533351702,"5日衰退,30日衰退,10日衰退",-0.7501041372753967
00738U,期元大道瓊白銀,-57.21358756200402,"5日衰退,10日衰退",-3.21143505621572
00739,元大MSCI A股,14.24668236032643,"5日衰退,10日衰退",-1.544702124820562
00753L,中信中國50正2,1.8875260476277824,"5日衰退,10日衰退",-0.604459473272398
00757,統一FANG+,13.975412233545425,5日衰退,-0.5091885325231971
00762,元大全球AI,-0.9087156669804056,"5日衰退,10日衰退",-1.109022695547047
00763U,期街口道瓊銅,-25.765659320589315,"5日衰退,20日衰退,10日衰退",-3.8488733940470574
00770,國泰北美科技,-10.131205485737592,"5日衰退,20日衰退,10日衰退",-1.337401944614463
00771,元大US高息特別股,-4.318892794376098,"20日衰退,10日衰退",-0.9327732864674863
00830,國泰費城半導體,-28.61003401832405,"30日衰退,5日衰退,20日衰退,10日衰退",-2.1811650190383673
00865B,國泰US短期公債,-67.33927050081114,"30日衰退,5日衰退,20日衰退,10日衰退",-0.8503621488309818
00875,國泰網路資安,-1.2491993594875899,"30日衰退,5日衰退,20日衰退,10日衰退",-0.8494436996311583
00876,元大全球5G,14.724926755346019,"5日衰退,30日衰退,10日衰退",-0.6085525690817857
00878,國泰永續高股息,8.037575304948668,"20日衰退,30日衰退,10日衰退",-1.130556767694026
