代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,外資 連續 買賣 日數,外資 連續 買賣 張數,外資 連續 買賣 佔 成交 (%),外資 連續 買賣 佔發 行量 (%),投信 連續 買賣 日數,投信 連續 買賣 張數,投信 連續 買賣 佔 成交 (%),投信 連續 買賣 佔發 行量 (%),自營 商 連續 買賣 日數,自營 商 連續 買賣 張數,自營 商 連續 買賣 佔 成交 (%),自營 商 連續 買賣 佔發 行量 (%),三大 法人 連續 買賣 日數,三大 法人 連續 買賣 張數,三大 法人 連續 買賣 佔 成交 (%),三大 法人 連續 買賣 佔發 行量 (%)
2049,上銀,370.5,20.5,5.86,09/09,1,4129,48.2,1.17,2,251,2.18,0.07,1,136,1.59,0.04,1,4366,51.0,1.23
2368,金像電,1100.0,25.0,2.33,09/09,-2,-1832,-17.0,-0.35,2,661,6.12,0.13,-2,-63,-0.58,-0.01,-2,-1234,-11.4,-0.24
2489,瑞軒,39.45,0.3,0.77,09/09,-1,-1308,-7.73,-0.21,2,17,0.05,0.0,-2,-359,-1.13,-0.06,-1,-1490,-8.81,-0.24
2606,裕民,79.7,1.9,2.44,09/09,2,2037,28.6,0.24,2,206,2.89,0.02,1,76,1.61,0.01,2,2163,30.3,0.26
2855,統一證,52.1,-0.1,-0.19,09/09,-2,-2383,-22.2,-0.15,2,3657,34.1,0.23,0,0,0.0,0.0,3,3210,19.5,0.2
3443,創意,5925.0,-35.0,-0.59,09/09,1,5,0.54,0.0,2,164,6.31,0.12,-5,-157,-1.98,-0.12,1,49,4.96,0.04
4763,材料*-KY,48.3,-0.85,-1.73,09/09,-3,-5187,-28.9,-0.52,2,9,0.08,0.0,1,145,2.39,0.01,-3,-5103,-28.4,-0.52
4979,華星光,610.0,5.0,0.83,09/09,-1,-1856,-11.5,-1.3,2,1777,6.14,1.24,-4,-552,-0.87,-0.39,-1,-1291,-8.01,-0.9
5234,達興材料,296.5,0.5,0.17,09/09,-2,-120,-35.6,-0.12,2,2,0.59,0.0,-2,-10,-3.04,-0.01,-2,-128,-38.1,-0.12
6196,帆宣,534.0,31.0,6.16,09/09,1,885,24.0,0.4,2,5,0.1,0.0,1,15,0.4,0.01,1,902,24.5,0.41
6223,旺矽,5615.0,-180.0,-3.11,09/09,-2,-344,-9.96,-0.35,2,615,17.8,0.63,-6,-85,-1.1,-0.09,4,556,10.7,0.57
6719,力智,182.5,-1.0,-0.54,09/09,4,461,19.6,0.44,2,21,1.32,0.02,1,3,0.34,0.0,4,467,19.8,0.44
7749,意騰-KY,355.5,0.5,0.14,09/09,-2,-92,-23.0,-0.2,2,6,1.51,0.01,0,0,0.0,0.0,-2,-87,-21.8,-0.19
8016,矽創,284.0,6.0,2.16,09/09,1,138,19.5,0.11,2,74,3.46,0.06,1,2,0.35,0.0,1,210,29.7,0.17
8112,至上,86.5,-3.0,-3.35,09/09,-12,-36913,-37.6,-6.53,2,2086,7.77,0.37,1,59,0.27,0.01,-12,-35350,-36.0,-6.25
8454,富邦媒,238.5,-1.0,-0.42,09/09,2,59,12.0,0.02,2,1,0.22,0.0,-2,-21,-4.32,-0.01,2,39,7.88,0.01
