排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 成交,2日 買賣超 佔 成交,3日 買賣超 佔 成交,5日 買賣超 佔 成交,10日 買賣超 佔 成交,1個月 買賣超 佔 成交,3個月 買賣超 佔 成交,半年 買賣超 佔 成交,1年 買賣超 佔 成交,3年 買賣超 佔 成交,10年 買賣超 佔 成交,今年 買賣超 佔 成交
1,6446,藥華藥,1160.0,10.0,0.87,09/22,-1.54,-0.79,45.3,35.0,20.1,7.71,3.76,1.97,1.13,0.5,0.19,1.56
2,9910,豐泰,68.6,0.2,0.29,09/22,10.3,7.67,19.0,29.3,19.1,10.1,-4.33,10.3,6.25,3.02,1.08,6.83
3,00694B,富邦美債1-3,41.47,-0.09,-0.22,09/22,0.0,0.0,28.4,25.6,21.0,23.8,11.4,4.57,2.67,-0.46,,3.08
4,2718,全心投控,41.1,0.0,0.0,09/22,52.5,34.8,31.0,24.6,12.1,2.66,4.28,1.95,0.93,0.22,0.16,1.48
5,00740B,富邦全球投等債,37.07,-0.07,-0.19,09/22,0.0,0.0,17.8,24.0,32.3,20.7,9.13,3.71,1.46,0.3,,2.29
6,6805,富世達,2500.0,85.0,3.52,09/22,22.5,27.3,28.7,23.8,12.7,6.64,7.97,1.3,1.47,,,0.36
7,2618,長榮航,42.5,0.55,1.31,09/22,21.8,18.9,23.7,21.6,13.1,8.83,1.69,5.31,0.91,2.8,0.82,2.13
8,8938,明安,52.9,0.5,0.95,09/22,42.9,35.6,22.9,21.1,15.7,10.3,8.13,2.4,1.13,0.24,0.04,1.58
9,2382,廣達,342.0,-2.5,-0.73,09/22,14.1,16.7,20.4,20.4,11.2,7.01,5.11,10.6,5.89,1.06,1.02,8.16
10,6703,軒郁,101.0,0.0,0.0,09/22,22.0,25.9,25.0,20.1,7.53,5.07,4.3,1.77,0.88,0.16,,1.14
11,2387,精元,37.4,0.35,0.94,09/22,42.0,32.0,24.5,19.5,12.7,5.35,6.38,2.09,0.74,0.19,0.04,1.12
12,8028,昇陽半導體,263.5,6.0,2.33,09/22,22.4,23.1,16.1,19.0,16.5,10.8,1.41,0.9,0.52,0.14,,0.7
13,8442,威宏-KY,46.2,0.0,0.0,09/22,43.4,29.1,25.6,18.3,11.7,2.39,3.32,1.6,0.93,0.17,,1.2
14,00947,台新臺灣IC設計,40.53,0.83,2.09,09/22,18.1,27.0,19.5,16.8,11.5,5.36,-0.82,0.67,0.4,,,0.44
15,9904,寶成,24.6,-0.25,-1.01,09/22,2.78,1.35,8.98,15.4,8.94,4.16,-5.46,-4.98,-3.3,-1.11,-0.5,-5.28
16,2890,永豐金,45.4,-0.3,-0.66,09/22,3.03,1.53,-0.6,14.8,13.9,8.32,15.8,7.38,6.08,0.94,1.72,6.3
17,2542,興富發,45.45,-1.0,-2.15,09/22,7.03,5.3,9.52,14.7,13.1,16.2,16.2,11.4,7.26,1.71,0.76,9.4
18,2610,華航,20.5,0.25,1.23,09/22,25.5,23.0,15.9,13.3,7.38,4.19,3.11,0.86,-0.1,1.61,0.33,-0.48
19,2247,汎德永業,232.0,0.5,0.22,09/22,43.3,30.8,22.9,12.9,5.57,2.63,5.28,-0.34,-0.45,-2.73,,-0.73
20,5274,信驊,20905.0,1085.0,5.47,09/22,4.24,7.23,10.4,12.8,3.57,3.94,3.04,1.67,2.42,0.24,-0.1,2.31
21,2633,台灣高鐵,25.6,-0.1,-0.39,09/22,11.6,9.31,6.75,12.2,14.4,14.1,19.4,10.5,7.18,3.2,,8.28
22,1513,中興電,166.0,-0.5,-0.3,09/22,0.0,9.51,12.0,12.2,7.11,1.59,1.66,2.08,1.43,0.26,0.13,0.92
23,2474,可成,210.0,-1.0,-0.47,09/22,1.69,-0.96,2.45,11.8,8.14,4.41,7.58,-3.86,-7.02,-0.04,0.69,-5.92
24,8924,大田,49.95,0.2,0.4,09/22,40.1,27.0,16.7,11.8,9.07,6.9,6.3,2.24,1.2,0.36,0.01,1.66
25,2204,中華,52.7,0.0,0.0,09/22,31.5,24.4,17.4,11.7,5.24,1.77,-2.08,-0.41,-1.12,-0.44,0.12,-1.3
26,2801,彰銀,28.35,-0.1,-0.35,09/22,-0.95,-0.9,-0.46,11.7,12.3,10.3,13.0,7.71,3.49,1.07,0.92,3.55
27,6670,復盛應用,271.0,-1.5,-0.55,09/22,15.5,18.9,14.5,11.6,4.68,6.12,4.92,4.63,-3.94,2.84,,2.85
28,9907,統一實,14.9,-0.05,-0.33,09/22,33.2,29.6,18.8,11.6,5.48,1.8,-11.0,-7.92,-4.04,-1.65,-0.55,-5.57
29,00965,元大航太防衛科技,25.51,0.25,0.99,09/22,25.8,15.7,12.4,11.4,6.42,0.59,-3.3,-4.15,-5.82,,,-3.92
30,1712,興農,39.9,0.0,0.0,09/22,29.3,26.7,17.4,11.3,6.8,1.41,3.28,1.95,0.88,-0.08,0.04,1.27
31,2603,長榮,242.5,0.5,0.21,09/22,15.4,8.76,4.68,11.3,15.2,4.11,0.62,4.25,1.53,1.95,0.22,1.91
32,3679,新至陞,109.0,0.5,0.46,09/22,14.8,13.2,12.8,11.3,8.22,3.64,4.86,1.87,0.91,0.19,0.04,1.34
33,2528,皇普,20.45,-0.05,-0.24,09/22,41.9,18.7,11.4,10.9,9.13,5.68,5.22,1.63,0.81,0.26,0.17,1.26
34,3005,神基,118.5,-0.5,-0.42,09/22,18.4,9.72,11.0,10.7,6.78,2.99,-3.81,-5.98,-5.13,0.21,-0.31,-5.2
35,2912,統一超,214.0,-1.0,-0.47,09/22,0.0,-0.14,2.44,10.4,6.27,-1.05,5.62,13.8,5.48,6.04,2.27,6.47
36,4736,泰博,132.5,-1.0,-0.75,09/22,0.0,12.5,14.2,10.1,8.63,6.92,3.85,2.18,0.64,-0.18,-0.03,0.78
37,2530,華建,20.4,0.2,0.99,09/22,35.5,19.3,11.6,9.91,6.44,2.6,5.21,1.74,1.53,0.49,0.23,2.39
38,9935,慶豐富,18.35,0.15,0.82,09/22,26.0,23.4,12.1,9.76,3.24,1.85,2.47,1.48,0.86,0.14,0.04,1.11
