排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 成交,2日 買賣超 佔 成交,3日 買賣超 佔 成交,5日 買賣超 佔 成交,10日 買賣超 佔 成交,1個月 買賣超 佔 成交,3個月 買賣超 佔 成交,半年 買賣超 佔 成交,1年 買賣超 佔 成交,3年 買賣超 佔 成交,10年 買賣超 佔 成交,今年 買賣超 佔 成交
1,00740B,富邦全球投等債,37.2,0.15,0.4,09/18,39.2,47.7,38.0,44.8,33.1,21.7,8.94,3.69,1.46,0.29,,2.3
2,00694B,富邦美債1-3,41.66,-0.07,-0.17,09/18,67.9,62.4,54.0,42.8,39.9,27.8,12.4,4.72,2.71,-0.46,,3.17
3,6446,藥華藥,1180.0,-15.0,-1.26,09/18,67.2,55.4,47.1,32.8,18.6,7.91,3.92,2.0,0.48,0.5,0.2,1.59
4,9910,豐泰,68.4,-0.7,-1.01,09/18,30.4,36.2,37.1,31.3,15.6,9.56,-4.82,10.2,6.19,3.0,1.06,6.83
5,00645,富邦日本,57.95,0.4,0.7,09/18,43.7,32.8,19.9,23.4,21.9,16.0,10.8,3.85,1.29,0.2,0.1,2.21
6,2855,統一證,53.3,0.8,1.52,09/18,9.35,10.4,18.8,21.2,23.2,21.5,11.0,11.1,7.28,3.92,1.85,8.12
7,2542,興富發,47.8,0.95,2.03,09/18,16.2,19.1,22.4,18.7,17.6,16.6,16.0,11.6,7.28,1.72,0.75,9.5
8,2603,長榮,240.5,-2.0,-0.82,09/18,-0.1,11.3,12.3,18.4,14.6,3.39,0.45,4.33,1.48,1.96,0.22,1.88
9,9941,裕融,79.8,-0.9,-1.12,09/18,-7.37,-4.47,15.3,17.8,6.98,6.85,1.68,9.02,8.12,3.35,1.55,8.85
10,2382,廣達,343.0,-1.0,-0.29,09/18,23.8,21.6,21.8,17.8,8.17,6.3,5.06,10.5,5.8,1.04,1.01,8.12
11,2618,長榮航,41.75,-0.3,-0.71,09/18,27.6,23.6,22.8,17.3,11.6,7.03,1.28,5.25,0.76,2.77,0.81,2.06
12,2890,永豐金,45.25,-0.7,-1.52,09/18,-1.94,8.02,18.3,17.3,12.8,8.32,17.0,7.4,6.11,0.94,1.72,6.32
13,2376,技嘉,356.0,1.0,0.28,09/18,3.53,14.4,17.7,17.0,12.2,4.32,3.56,2.4,1.46,-0.08,0.05,1.95
14,9904,寶成,24.7,-0.1,-0.4,09/18,15.7,18.0,20.4,16.1,9.4,3.67,-5.92,-5.0,-3.29,-1.12,-0.5,-5.32
15,2633,台灣高鐵,25.75,-0.3,-1.15,09/18,5.6,9.07,13.5,15.0,17.5,13.8,22.5,10.4,7.07,3.18,,8.27
16,8028,昇陽半導體,257.0,13.0,5.33,09/18,0.0,9.59,14.6,14.6,11.0,5.61,-0.25,0.41,0.24,0.06,,0.35
17,2801,彰銀,28.95,-0.65,-2.2,09/18,-0.09,9.29,15.2,13.4,15.0,10.6,13.0,7.71,3.5,1.07,0.92,3.59
18,2474,可成,209.5,1.0,0.48,09/18,5.83,8.79,17.5,13.1,9.82,4.56,6.82,-3.86,-7.14,-0.04,0.68,-5.94
19,5274,信驊,19290.0,1015.0,5.55,09/18,14.5,14.0,16.5,11.8,3.33,3.31,2.91,1.61,2.4,0.22,-0.1,2.25
20,2912,統一超,216.5,-1.0,-0.46,09/18,4.44,10.3,14.6,11.3,5.85,-0.89,6.17,13.6,5.42,6.04,2.27,6.5
21,6472,保瑞,444.5,19.5,4.59,09/18,23.6,15.8,13.6,11.3,6.86,8.78,3.22,1.29,0.13,0.02,,0.51
