股票代號,股票名稱,法人持股,上榜區塊
00400A,主動國泰動能高息,5.89,"60日,5日,20日"
00401A,主動摩根台灣鑫收,3.65,5日
00403A,主動統一升級50,4.68,"60日,5日,20日"
00404A,主動聯博動能50,2.9,"5日,20日"
00405A,主動富邦台灣龍耀,3.78,"5日,20日"
00406A,主動中信台灣收益,0.92,5日
00407A,主動凱基台灣,4.01,"5日,20日"
00410A,主動永豐科技趨勢,13.83,5日
0050,元大台灣50,7.144893159521569,"60日,120日"
0052,富邦科技,3.926271637816245,"5日,20日"
0055,元大MSCI金融,2.916018771370218,"60日,20日,120日"
00631L,元大台灣50正2,1.5463092801340736,20日
00632R,元大台灣50反1,7.188977659628646,"60日,20日,120日"
00634R,富邦上証反1,11.07,"60日,20日,120日"
00635U,期元大S&P黃金,19.05,"60日,120日,5日,20日"
00638R,元大滬深300反1,2.63,5日
00643,群益深証中小,16.34,120日
00645,富邦日本,2.688461985719934,20日
00647L,元大S&P500正2,5.804389027431421,"60日,120日"
00651R,復華香港反1,3.1,20日
00652,富邦印度,3.3279083713120654,"60日,20日,120日"
00653L,富邦印度正2,4.71,"60日,20日,120日"
00656R,國泰中國A50反1,3.31,"60日,20日,120日"
00657,國泰日經225,9.37,"60日,20日,120日"
00661,元大日經225,7.9285378868729985,"60日,120日"
00663L,國泰臺灣加權正2,2.66,60日
00666R,富邦恒生國企反1,10.17,"60日,120日,5日,20日"
00674R,期元大S&P黃金反1,8.47,120日
00678,群益那斯達克生技,5.78,"20日,120日"
00681R,元大美債20反1,20.8,"20日,120日"
00683L,期元大美元指正2,15.34,120日
00689R,國泰20年美債反1,35.89,"60日,120日"
00700,富邦恒生國企,5.25,"60日,120日"
00709,富邦歐洲,6.184705882352941,"60日,120日,5日,20日"
00714,群益道瓊美國地產,8.44,"60日,20日,120日"
00715L,期街口布蘭特正2,4.94,"60日,5日"
00735,國泰臺韓科技,3.76,"5日,20日"
00736,國泰新興市場,24.23,"60日,120日"
00739,元大MSCI A股,2.99,60日
00875,國泰網路資安,7.5,60日
00892,富邦台灣半導體,2.234245890184252,5日
00896,中信綠能及電動車,1.44,"5日,20日"
00897,富邦基因免疫生技,7.76,"60日,120日,5日,20日"
00902,中信電池及儲能,0.91,5日
00904,台新臺灣半導體30,2.7690315597864856,"5日,20日"
00909,國泰數位支付服務,3.13,"20日,120日"
00910,第一金太空衛星,7.46,"60日,120日"
00912,中信臺灣智慧50,3.35,"120日,5日,20日"
00916,國泰全球品牌50,2.06,5日
00920,富邦ESG綠色電力,6.75,"60日,20日"
00921,兆豐龍頭等權重,2.3,5日
00922,國泰台灣領袖50,20.410386484096882,"60日,120日"
00941,中信上游半導體,1.57,"5日,20日"
00943,兆豐電子高息等權,12.89,120日
00947,台新臺灣IC設計,5.091393799851986,5日
00951,台新日本半導體,1.59,"5日,20日"
00952,凱基台灣AI50,3.57,"60日,20日"
00954,中信日本半導體,2.31,"60日,5日,20日"
00956,中信日經高股息,4.24,120日
00960,野村全球航運龍頭,2.69,"60日,5日,20日"
00964,中信亞太高股息,3.73,"60日,20日"
00972,野村日本動能高息,21.16,"60日,5日,20日"
00980A,主動野村臺灣優選,13.722860671996884,"60日,120日,5日,20日"
00981A,主動統一台股增長,5.193956107344192,"60日,120日,5日,20日"
00982A,主動群益台灣強棒,1.69,5日
00983A,主動中信ARK創新,3.43,"60日,20日,120日"
00984A,主動安聯台灣高息,2.3841459220363608,5日
00986A,主動台新龍頭成長,4.08,5日
00987A,主動台新優勢成長,4.88,"60日,5日,20日"
00988A,主動統一全球創新,4.121473047047096,60日
00989A,主動摩根美國科技,6.8,"60日,20日"
