日期,成交股數,成交金額,成交筆數,發行量加權股價指數,漲跌點數
115/09/01,"13,000,849,196","1,187,571,567,117","5,301,801","46,948.72",820.25
115/09/02,"10,824,863,832","976,499,979,054","5,093,402","46,164.72",-784.00
