排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 (萬元),2日 增減 (萬元),3日 增減 (萬元),5日 增減 (萬元),10日 增減 (萬元),1個月 增減 (萬元),3個月 增減 (萬元),半年 增減 (萬元),1年 增減 (萬元),今年 增減 (萬元)
208,5386,青雲,260.0,-18.0,-6.47,09/02,1178.0,1164.0,1387.0,2529,2783.0,4799.0,-2632.0,11694.0,10357.0,7294.0
209,6188,廣明,65.6,-2.3,-3.39,09/02,1181.0,1652.0,1754.0,2528,3408.0,-7502.0,-34800.0,-99988.0,9852.0,-10722.0
210,6016,康和證,21.4,0.45,2.15,09/02,-928.0,-294.0,316.0,2522,314.0,5937.0,54409.0,57857.0,55977.0,58197.0
211,3498,陽程,192.0,-9.5,-4.71,09/02,1313.0,1292.0,2389.0,2490,-6548.0,-11888.0,-4341.0,-12935.0,-15029.0,-10705.0
212,3236,千如,42.0,-1.8,-4.11,09/02,293.0,666.0,1932.0,2461,817.0,1376.0,7663.0,7182.0,9892.0,3552.0
213,3691,碩禾,97.6,-3.9,-3.84,09/02,604.0,1493.0,1732.0,2455,117.0,-207.0,8138.0,29522.0,32057.0,34954.0
214,6191,精成科,81.4,-2.1,-2.51,09/02,264.0,-882.0,-228.0,2429,11525.0,4976.0,41068.0,191672.0,342606.0,167832.0
215,6739,竹陞科技,1075.0,-45.0,-4.02,09/02,110.0,569.0,1395.0,2424,3278.0,3951.0,278.0,19674.0,25598.0,12077.0
216,2072,世紀風電,138.0,-1.0,-0.72,09/03,1652.0,1652.0,2615.0,2401,3788.0,4275.0,,,,
217,8109,博大,131.0,-5.0,-3.68,09/02,1067.0,1724.0,1816.0,2323,5863.0,11636.0,13507.0,12315.0,13665.0,12568.0
218,5340,建榮,79.1,-3.0,-3.65,09/02,3068.0,5960.0,4686.0,2302,2521.0,11228.0,3618.0,16761.0,5476.0,11467.0
219,4303,信立,35.5,-0.8,-2.2,09/02,585.0,1364.0,2422.0,2296,2527.0,-2100.0,-5665.0,-4310.0,23660.0,-4216.0
220,7610,聯友金屬-創,1655.0,135.0,8.88,09/03,1324.0,83.6,872.0,2222,-7947.0,9765.0,11155.0,,,
221,6538,倉和,273.0,24.5,9.86,09/02,0.0,-1118.0,-1208.0,2195,6514.0,3763.0,13134.0,13277.0,11373.0,12985.0
222,5309,系統電,50.7,-1.8,-3.43,09/02,816.0,1275.0,1426.0,2174,3331.0,4858.0,47342.0,30062.0,49277.0,37289.0
223,6719,力智,187.0,-6.0,-3.11,09/02,-152.0,-133.0,-55.8,2170,5297.0,5006.0,5276.0,55460.0,60325.0,66119.0
224,009805,台新美國電力基建,14.78,0.08,0.54,09/02,-1479.0,-1479.0,916.0,2165,4450.0,4027.0,-4567.0,-15387.0,6218.0,-597.0
225,9938,百和,41.25,-0.35,-0.84,09/02,484.0,795.0,1370.0,2122,-1385.0,3808.0,20587.0,64998.0,85633.0,73612.0
226,4147,中裕,63.2,-0.2,-0.32,09/02,147.0,643.0,1054.0,2122,-5772.0,-9253.0,-5821.0,-2785.0,14233.0,11834.0
227,4746,台耀,46.0,-1.7,-3.56,09/02,932.0,1478.0,1829.0,2113,1998.0,-511.0,-2663.0,5468.0,6156.0,6895.0
228,00985B,群益ESG投等債0-5,10.13,-0.01,-0.1,09/02,0.0,0.0,1899.0,2108,2929.0,4015.0,3768.0,4533.0,,9130.0
229,4526,東台,31.4,0.15,0.48,09/02,1277.0,1615.0,1820.0,2108,2370.0,6532.0,-4426.0,-13151.0,-23574.0,-19791.0
230,3594,磐儀,47.3,-1.6,-3.27,09/02,701.0,998.0,1753.0,2103,1762.0,766.0,3848.0,4296.0,5828.0,6511.0
231,00984D,主動聯博全球非投,9.91,0.0,0.0,09/02,-3466.0,-3466.0,-3466.0,2087,-1406.0,16938.0,23219.0,32830.0,,
232,3587,閎康,249.5,-15.5,-5.85,09/02,2067.0,5977.0,3150.0,2071,3668.0,5081.0,11567.0,23919.0,-2049.0,21759.0
233,7795,長廣,489.0,-26.0,-5.05,09/03,-254.0,852.0,1117.0,2058,2887.0,8130.0,,,,
234,6499,益安,71.7,-3.3,-4.4,09/02,262.0,577.0,1019.0,2047,2964.0,835.0,2561.0,4407.0,6336.0,677.0
235,2851,中再保,47.3,1.15,2.49,09/02,-467.0,-728.0,167.0,2030,1061.0,990.0,-1529.0,-1012.0,-32970.0,-11743.0
236,3689,湧德,114.5,-4.0,-3.38,09/02,3419.0,445.0,1585.0,2017,1186.0,522.0,2687.0,9148.0,-6642.0,-6962.0
237,6525,捷敏-KY,135.5,-1.5,-1.09,09/02,1111.0,1961.0,1100.0,2015,2408.0,18487.0,28247.0,29009.0,29047.0,30051.0
238,6834,天二科技,87.2,-5.0,-5.42,09/02,-136.0,-22.9,505.0,2001,2781.0,4149.0,9581.0,8583.0,9282.0,8149.0
239,4542,科嶠,279.0,-18.5,-6.22,09/02,523.0,642.0,1857.0,1992,2199.0,7810.0,12618.0,11531.0,13479.0,13895.0
240,7734,印能科技,2710.0,-85.0,-3.04,09/02,281.0,562.0,1421.0,1991,12405.0,19469.0,33556.0,1466.0,13690.0,8281.0
241,4973,廣穎,146.5,-5.0,-3.3,09/02,1964.0,1583.0,1583.0,1985,3705.0,9966.0,15396.0,11742.0,11613.0,10149.0
242,6166,凌華,114.0,-3.0,-2.56,09/02,1335.0,2691.0,1905.0,1940,2725.0,3254.0,-917.0,-3250.0,-7325.0,-1737.0
243,00919,群益台灣精選高息,32.52,0.17,0.53,09/02,7607.0,20715.0,30353.0,1921,1356.0,-19148.0,-161601.0,-100672.0,-141770.0,-194516.0
244,6588,東典光電,103.0,-4.5,-4.19,09/02,468.0,302.0,969.0,1898,5012.0,5863.0,6034.0,14246.0,,13181.0
245,6425,易發,61.5,-3.5,-5.38,09/02,265.0,1030.0,1678.0,1851,1387.0,1529.0,236.0,1719.0,-3821.0,-2718.0
246,3577,泓格,109.5,-3.5,-3.1,09/02,480.0,720.0,941.0,1823,2233.0,1081.0,8164.0,7533.0,5625.0,7109.0
247,4916,事欣科,96.7,-3.8,-3.78,09/02,1104.0,-139.0,773.0,1798,4531.0,21175.0,30735.0,6607.0,10802.0,-2879.0
248,4540,全球傳動,59.5,0.0,0.0,09/02,788.0,1066.0,1196.0,1795,15.7,375.0,5971.0,13084.0,6839.0,11915.0
249,3312,弘憶股,52.0,-4.0,-7.14,09/02,1198.0,1767.0,1704.0,1792,2048.0,4503.0,9318.0,-8583.0,-4982.0,5127.0
250,00720B,元大投資級公司債,31.79,0.08,0.25,09/02,499.0,926.0,1161.0,1791,4624.0,7359.0,7449.0,6912.0,-3931.0,1477.0
251,4137,麗豐-KY,79.9,-1.4,-1.72,09/02,490.0,760.0,987.0,1748,2307.0,2219.0,4975.0,8792.0,6165.0,8624.0
252,2536,宏普,18.8,-1.55,-7.62,09/02,856.0,1422.0,1580.0,1748,340.0,394.0,2341.0,2595.0,3050.0,3912.0
253,3004,豐達科,123.0,3.0,2.5,09/02,639.0,687.0,1057.0,1748,2419.0,-1430.0,-12561.0,-7058.0,-4003.0,-6446.0
254,3701,大眾控,40.45,-2.8,-6.47,09/02,1396.0,1449.0,1487.0,1741,1255.0,646.0,-2236.0,6001.0,4436.0,3340.0
255,3045,台灣大,118.0,2.0,1.72,09/02,16864.0,1804.0,-770.0,1727,-444.0,46788.0,-294222.0,-455870.0,-10232.0,-417687.0
256,1227,佳格,28.55,-0.05,-0.17,09/02,254.0,405.0,1041.0,1708,-318.0,-569.0,-28552.0,-16200.0,2244.0,-9259.0
257,3479,安勤,122.0,-2.0,-1.61,09/02,98.3,-114.0,416.0,1685,4372.0,5342.0,15565.0,17396.0,25417.0,23464.0
258,6469,大樹,67.2,-0.7,-1.03,09/02,155.0,169.0,555.0,1684,4367.0,13215.0,5924.0,108.0,32231.0,23971.0
259,00675L,富邦臺灣加權正2,310.0,-5.35,-1.7,09/02,1191.0,2430.0,1424.0,1671,1639.0,-27377.0,11851.0,-44493.0,19786.0,-36985.0
260,6205,詮欣,65.4,-2.9,-4.25,09/02,448.0,524.0,1375.0,1620,1154.0,1732.0,-1399.0,10019.0,13231.0,13189.0
261,6579,研揚,142.5,-6.0,-4.04,09/02,647.0,826.0,915.0,1618,3125.0,5385.0,12018.0,7210.0,10749.0,9636.0
262,6693,廣閎科,178.5,5.5,3.18,09/02,381.0,1450.0,1668.0,1613,2374.0,5780.0,2533.0,1816.0,2020.0,1268.0
263,7786,東方風能,116.5,0.0,0.0,09/03,118.0,281.0,493.0,1607,2607.0,3127.0,5526.0,,,
264,8240,華宏,47.8,-2.9,-5.72,09/02,588.0,1071.0,1286.0,1580,1624.0,1185.0,-598.0,2600.0,3033.0,4814.0
265,8383,千附,64.2,-1.6,-2.43,09/02,307.0,797.0,1118.0,1564,3014.0,7016.0,7151.0,7078.0,4607.0,3554.0
266,1537,廣隆,116.5,-1.0,-0.85,09/02,501.0,782.0,1241.0,1562,1886.0,2545.0,-106.0,-1317.0,-6424.0,-6328.0
267,3227,原相,191.5,-4.0,-2.05,09/02,2126.0,1969.0,397.0,1543,13006.0,-26010.0,-23841.0,-80055.0,-22776.0,-7040.0
268,5243,乙盛-KY,88.3,-3.5,-3.81,09/02,-1000.0,-1083.0,-1019.0,1533,251.0,-9589.0,9585.0,18816.0,26191.0,18568.0
269,2338,光罩,38.05,-1.1,-2.81,09/02,229.0,170.0,23.1,1510,401.0,1764.0,19347.0,14479.0,-6825.0,9570.0
