股票代號,股票名稱,法人持股,上榜區塊
00400A,主動國泰動能高息,4.56,"20日,5日"
00401A,主動摩根台灣鑫收,7.83,"20日,5日"
00403A,主動統一升級50,5.03,"20日,5日"
0050,元大台灣50,7.7456167417140325,"20日,5日,120日,60日"
0055,元大MSCI金融,1.68,5日
00631L,元大台灣50正2,1.5693236669017439,5日
00634R,富邦上証反1,8.71,"20日,60日"
00642U,期元大S&P石油,4.59,120日
00643,群益深証中小,15.57,120日
00647L,元大S&P500正2,5.734389027431422,20日
00651R,復華香港反1,2.41,"20日,5日"
00657,國泰日經225,8.04,"20日,5日"
00661,元大日經225,6.718537886872999,"20日,5日,120日,60日"
00663L,國泰臺灣加權正2,1.51,5日
00674R,期元大S&P黃金反1,7.85,"120日,60日"
00681R,元大美債20反1,18.65,"120日,60日"
00683L,期元大美元指正2,18.99,"120日,60日"
00688L,國泰20年美債正2,2.29,5日
00689R,國泰20年美債反1,34.75,"20日,120日,60日"
00693U,期街口S&P黃豆,2.27,20日
00700,富邦恒生國企,4.59,5日
00714,群益道瓊美國地產,7.21,"20日,5日,120日,60日"
00715L,期街口布蘭特正2,4.55,"5日,120日"
00730,富邦臺灣優質高息,4.768004970017827,"20日,120日,60日"
00731,復華富時高息低波,10.50149377593361,"5日,120日,60日"
00733,富邦臺灣中小,7.452008912099452,"20日,5日,120日,60日"
00735,國泰臺韓科技,7.402515152399576,"120日,60日"
00736,國泰新興市場,17.71,20日
00739,元大MSCI A股,1.44,5日
00763U,期街口道瓊銅,4.23,120日
00830,國泰費城半導體,6.790896041974938,"20日,5日,120日,60日"
00861,元大全球未來通訊,1.64,5日
00875,國泰網路資安,7.7,"5日,120日,60日"
00876,元大全球5G,1.48,5日
00893,國泰智能電動車,1.5239252165097443,5日
00895,富邦未來車,1.3639528054263366,5日
00897,富邦基因免疫生技,4.16,"20日,60日"
00898,國泰基因免疫革命,4.11,"20日,5日,120日,60日"
00900,富邦特選高股息30,3.0737482755115377,60日
00903,富邦元宇宙,3.46,"20日,5日,60日"
00907,永豐優息存股,5.78,"20日,5日,120日,60日"
00908,富邦入息REITs+,6.45,"20日,5日,120日,60日"
00909,國泰數位支付服務,4.85,"20日,5日"
