項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),265138,225467,3993,9130041,9165719
融券(交易單位),19156,22963,247,197926,201486
融資金額(仟元),17369933,20816864,546640,587871180,583877609
