項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),301443,273367,6023,9048661,9070714
融券(交易單位),16116,15532,4420,208614,203610
融資金額(仟元),26925829,25728750,297244,586266976,587166811
