排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 賣出 佔 成交,2日 賣出 佔 成交,3日 賣出 佔 成交,5日 賣出 佔 成交,10日 賣出 佔 成交,1個月 賣出 佔 成交,3個月 賣出 佔 成交,半年 賣出 佔 成交,1年 賣出 佔 成交,3年 賣出 佔 成交,10年 賣出 佔 成交,今年 賣出 佔 成交
140,7750,新代,1960.0,10.0,0.51,09/21,41.7,57.7,59.0,62.0,57.8,44.4,46.4,41.1,24.4,,,29.9
141,1504,東元,69.1,-0.4,-0.58,09/21,58.0,63.5,58.8,56.2,48.0,39.8,37.9,41.1,36.6,35.6,38.9,39.6
142,5274,信驊,19820.0,530.0,2.75,09/21,48.3,57.4,58.8,59.3,56.0,51.0,55.2,56.9,58.0,50.1,40.2,57.2
143,3048,益登,51.1,0.1,0.2,09/21,29.4,28.9,58.8,53.9,43.6,40.0,38.8,30.8,27.0,23.8,20.5,28.8
144,1444,力麗,6.93,0.12,1.76,09/21,28.3,78.0,58.7,57.0,50.0,45.8,23.9,23.4,23.6,25.8,14.1,22.8
145,9904,寶成,24.85,0.15,0.61,09/21,41.9,68.4,58.6,57.7,62.5,61.7,51.2,55.3,36.5,12.5,5.54,48.0
146,4743,合一,44.75,0.75,1.7,09/21,19.9,62.3,58.6,56.1,46.1,43.4,32.8,32.4,31.2,27.4,20.6,31.3
147,1227,佳格,28.2,-0.25,-0.88,09/21,59.9,66.3,58.6,63.1,54.8,64.7,45.8,37.9,38.1,34.6,43.1,38.2
148,2887I,台新新光辛特,9.51,-0.01,-0.11,09/21,39.6,66.3,58.5,40.0,30.8,33.7,32.7,22.7,19.8,,,19.9
149,6104,創惟,91.3,0.9,1.0,09/21,27.5,60.0,58.5,57.3,46.5,32.5,35.2,29.9,31.3,23.9,14.7,29.7
150,6719,力智,183.0,-1.5,-0.81,09/21,32.4,62.7,58.5,52.5,37.8,36.9,30.6,28.8,30.2,28.3,,29.9
151,6895,宏碩系統,140.0,-3.0,-2.1,09/21,62.2,62.1,58.4,42.6,41.2,30.5,30.8,29.2,8.87,1.75,,24.5
152,2357,華碩,946.0,-14.0,-1.46,09/21,62.0,58.9,58.3,59.6,60.8,50.0,39.8,42.3,51.0,50.1,53.6,46.4
153,8917,欣泰,54.0,1.8,3.45,09/21,25.0,58.3,58.3,28.6,1.51,1.93,4.63,7.9,3.11,1.58,0.78,3.43
154,5234,達興材料,292.5,-3.5,-1.18,09/21,46.8,54.1,58.1,54.3,56.1,55.4,50.5,41.9,36.0,30.2,24.5,37.8
155,2301,光寶科,288.5,6.5,2.3,09/21,37.4,60.0,58.1,55.6,49.7,43.2,40.8,41.4,40.2,41.9,47.0,41.4
156,5009,榮剛,32.05,0.05,0.16,09/21,48.5,65.4,58.1,46.8,53.0,48.6,38.4,32.2,31.6,27.8,21.2,31.7
157,3045,台灣大,124.5,0.5,0.4,09/21,36.1,60.5,57.9,51.4,38.1,36.0,39.0,37.7,41.9,42.4,47.0,37.5
158,4909,新復興,35.15,-0.15,-0.42,09/21,54.2,61.4,57.8,51.4,45.4,39.8,36.1,28.9,23.2,19.8,18.0,24.0
159,9924,福興,38.2,0.2,0.53,09/21,28.0,48.6,57.8,59.6,48.4,48.3,33.1,32.3,16.4,2.5,1.05,27.3
160,3010,華立,125.0,0.0,0.0,09/21,47.0,58.7,57.8,57.4,46.1,47.9,42.1,39.4,35.7,33.5,29.5,36.0
161,5434,崇越,537.0,-3.0,-0.56,09/21,69.0,60.5,57.8,56.1,58.3,53.6,52.4,48.3,45.3,39.8,30.9,46.1
162,2882,國泰金,113.0,2.5,2.26,09/21,40.2,58.7,57.8,60.5,63.4,60.8,54.3,52.0,51.3,50.9,46.0,52.8
163,1308,亞聚,14.25,0.15,1.06,09/21,18.8,47.8,57.7,55.1,40.8,38.4,35.8,32.0,30.9,31.8,23.0,31.5
164,8942,森鉅,40.75,0.45,1.12,09/21,18.2,74.8,57.6,50.8,44.6,32.2,26.1,24.3,15.2,4.82,1.17,20.9
165,2850,新產,160.5,1.5,0.94,09/21,16.1,47.4,57.5,55.8,57.7,63.5,45.5,40.3,40.1,37.0,29.7,39.1
166,4137,麗豐-KY,77.7,-1.1,-1.4,09/21,71.6,62.8,57.4,58.0,46.8,50.0,47.6,40.8,38.9,33.6,21.4,38.0
167,9910,豐泰,68.4,0.0,0.0,09/21,55.1,69.3,57.4,56.4,45.8,47.8,43.7,49.9,30.3,14.9,5.34,37.9
168,8112,至上,83.1,0.0,0.0,09/21,45.7,54.0,57.3,58.7,54.0,47.9,38.0,34.8,13.6,9.14,4.8,25.9
169,3276,宇環,14.0,0.05,0.36,09/21,16.9,76.0,57.3,54.4,36.4,34.7,25.4,17.9,16.3,15.6,10.6,17.2
170,1784,訊聯,58.4,0.4,0.69,09/21,13.2,66.0,57.1,48.6,37.9,30.1,31.8,28.8,24.9,22.0,11.5,26.6
171,2501,國建,21.7,-0.1,-0.46,09/21,69.7,61.6,57.1,65.7,61.5,63.8,54.3,41.0,39.7,30.3,28.2,39.3
172,4164,承業醫,26.25,0.2,0.77,09/21,28.3,37.9,57.0,53.8,48.7,45.4,36.3,36.9,38.9,29.8,23.7,39.9
173,3003,健和興,58.9,0.0,0.0,09/21,42.8,44.8,56.8,50.4,49.0,41.7,34.4,31.1,31.3,26.7,17.8,31.1
174,2852,第一保,28.25,-0.05,-0.18,09/21,47.9,50.7,56.8,55.9,45.7,36.6,26.1,25.6,28.8,26.2,17.2,29.8
