證券代號,證券名稱,交易別,成交價,成交股數,成交金額
1216,統一,配對交易,74.25,"506,000","37,570,500"
1590,亞德客-KY,配對交易,"1,260.00","20,000","25,200,000"
2308,台達電,配對交易,"1,707.50","50,000","85,375,000"
2308,台達電,配對交易,"1,670.00","12,000","20,040,000"
2324,仁寶,配對交易,37.95,"814,000","30,891,300"
2324,仁寶,配對交易,36.68,"812,000","29,784,160"
2330,台積電,配對交易,"2,390.70","26,000","62,158,200"
2330,台積電,配對交易,"2,390.69","161,000","384,901,090"
2330,台積電,配對交易,"2,390.67","15,000","35,860,050"
2337,旺宏,配對交易,116.00,"6,080,000","705,280,000"
2337,旺宏,配對交易,115.00,"5,453,000","627,095,000"
2344,華邦電,配對交易,160.00,"1,116,000","178,560,000"
2383,台光電,配對交易,"5,147.62","4,000","20,590,480"
2455,全新,配對交易,518.29,"172,000","89,145,880"
2472,立隆電,配對交易,210.50,"414,000","87,147,000"
2472,立隆電,配對交易,210.00,"340,000","71,400,000"
2881,富邦金,配對交易,152.25,"124,000","18,879,000"
2883,凱基金,配對交易,38.29,"393,652","15,072,935"
2883,凱基金,配對交易,38.19,"433,348","16,549,560"
2885,元大金,配對交易,69.45,"270,000","18,751,500"
3008,大立光,配對交易,"6,103.48","7,000","42,724,360"
3008,大立光,配對交易,"6,067.69","16,250","98,599,962"
3008,大立光,配對交易,"6,067.66","12,750","77,362,665"
3036,文曄,配對交易,193.72,"98,000","18,984,560"
3036,文曄,配對交易,193.71,"404,000","78,258,840"
3036,文曄,配對交易,193.70,"511,000","98,980,700"
3036,文曄,配對交易,193.69,"106,000","20,531,140"
3036,文曄,配對交易,192.50,"508,000","97,790,000"
3045,台灣大,配對交易,122.25,"157,000","19,193,250"
3661,世芯-KY,配對交易,"3,590.00","31,000","111,290,000"
3702,大聯大,配對交易,106.75,"179,000","19,108,250"
3711,日月光投控,配對交易,612.00,"737,000","451,044,000"
3711,日月光投控,配對交易,598.00,"652,000","389,896,000"
4722,國精化,配對交易,209.00,"100,000","20,900,000"
6531,愛普*,配對交易,900.00,"750,000","675,000,000"
9914,美利達,配對交易,67.95,"313,000","21,268,350"
總計,,,,"21,798,000","4,801,183,733"
