項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),333969,354497,4287,9073477,9048662
融券(交易單位),17838,15579,340,211213,208614
融資金額(仟元),31221888,32964239,262252,588271579,586266976
