項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),261378,198132,4880,9190511,9248877
融券(交易單位),25065,26711,2650,198052,197048
融資金額(仟元),19791815,15417455,448165,582240465,586166660
