股票代號,股票名稱,法人持股,上榜區塊,累積衰退
00400A,主動國泰動能高息,-51.974139623388,"5日衰退,20日衰退,30日衰退",-0.36121973819368947
00401A,主動摩根台灣鑫收,-1.6062260650632743,"10日衰退,5日衰退,20日衰退,30日衰退",-9.684123588881064
00403A,主動統一升級50,-39.52798065821312,"20日衰退,30日衰退",-4.176600264563483
00404A,主動聯博動能50,-25.752315920768993,20日衰退,-1.3365115387151079
00405A,主動富邦台灣龍耀,-56.2718194586364,"20日衰退,30日衰退",-3.1421706218214283
00406A,主動中信台灣收益,-58.0452974325132,"10日衰退,5日衰退,20日衰退,30日衰退",-0.7751919437908015
00407A,主動凱基台灣,-65.8340842056366,"20日衰退,30日衰退",-1.0025989417908647
0050,元大台灣50,-7.610301845495475,"10日衰退,20日衰退,30日衰退",-1.6528140305049197
0051,元大中型100,-5.38075918367347,"10日衰退,20日衰退,30日衰退",-0.47140408163265324
0053,元大電子,-15.412951895043733,"10日衰退,20日衰退,30日衰退",-1.291537900874637
0056,元大高股息,-2.241217871351272,"20日衰退,30日衰退",-2.612990376307297
0057,富邦摩台,-9.523444662737392,"10日衰退,20日衰退,30日衰退",-3.7358022265880804
006203,元大MSCI台灣,78.48689175963985,"20日衰退,30日衰退",-1.112250929731843
00631L,元大台灣50正2,-53.092215823553,"10日衰退,20日衰退,30日衰退",-1.3122069112600343
00632R,元大台灣50反1,-11.852608942154268,"10日衰退,5日衰退",-9.26676452172702
00634R,富邦上証反1,13.773861520230236,"5日衰退,30日衰退",-0.7787070424919591
00641R,富邦日本反1,-20.055440451719953,"5日衰退,20日衰退,30日衰退",-3.9131442086232937
00642U,期元大S&P石油,70.1510947861429,5日衰退,-1.87467862329855
00646,元大S&P500,-18.771716128922442,5日衰退,-1.4035047347374423
00647L,元大S&P500正2,30.921929551122194,5日衰退,-0.6555891521197061
00648R,元大S&P500反1,9.694004838664304,"10日衰退,5日衰退,20日衰退,30日衰退",-0.8960587391341033
00651R,復華香港反1,46.19029324055666,"20日衰退,30日衰退",-2.0705641153081515
00660,元大歐洲50,8.289479484796175,"10日衰退,5日衰退",-0.9163776390917562
00661,元大日經225,-5.145985058697973,"10日衰退,5日衰退,20日衰退,30日衰退",-0.9953233724653163
00662,富邦NASDAQ,-29.210550150107107,"5日衰退,20日衰退,30日衰退",-0.835307588880994
00664R,國泰臺灣加權反1,3.531543706475418,5日衰退,-5.8209138658030515
00666R,富邦恒生國企反1,5.709440645514223,"10日衰退,5日衰退,20日衰退,30日衰退",-6.220224288840261
00669R,國泰美國道瓊反1,9.108081046427161,"10日衰退,5日衰退",-1.1181861084161735
00670L,富邦NASDAQ正2,-18.83725905761877,"10日衰退,20日衰退,30日衰退",-1.610188925660836
00673R,期元大S&P原油反1,-37.39090349356844,20日衰退,-4.276367246582765
00675L,富邦臺灣加權正2,-3.4326853217216313,"10日衰退,20日衰退",-1.1554171164942746
00676R,富邦臺灣加權反1,-26.76188227401903,"10日衰退,5日衰退,30日衰退",-8.524092783773522
00678,群益那斯達克生技,-11.62657196969697,"5日衰退,20日衰退,30日衰退",-1.1420312500000005
00681R,元大美債20反1,27.745902027916777,5日衰退,-1.2314801158809559
00685L,群益臺灣加權正2,-55.842069569085155,"10日衰退,20日衰退",-2.353304634257192
00686R,群益臺灣加權反1,-33.644605674624366,"10日衰退,5日衰退,20日衰退,30日衰退",-5.643624628174816
00690,兆豐藍籌30,-12.73098043921757,"10日衰退,20日衰退,30日衰退",-0.40035719590827057
00693U,期街口S&P黃豆,-3.309674586914296,5日衰退,-0.34463533546714586
00708L,期元大S&P黃金正2,-64.21464190258419,30日衰退,-4.2764811730020185
00712,復華富時不動產,-20.532016259986165,5日衰退,-0.6061925202628018
00714,群益道瓊美國地產,10.836865581675708,5日衰退,-1.1133765031014313
00717,富邦美國特別股,-0.5241864497749886,30日衰退,-1.410085110965305
00730,富邦臺灣優質高息,7.709940037690594,30日衰退,-1.7777699030451783
00733,富邦臺灣中小,88.95021071461056,"10日衰退,5日衰退,20日衰退,30日衰退",-0.748042130116616
00735,國泰臺韓科技,-60.29212179999842,5日衰退,-0.5782663138823239
00736,國泰新興市場,37.94684257469898,"20日衰退,30日衰退",-2.8651037879154444
00757,統一FANG+,14.059043546368105,5日衰退,-1.24003522180519
00771,元大US高息特別股,-2.9151177504393675,5日衰退,-0.5306151142355011
00830,國泰費城半導體,-24.30598921070677,"20日衰退,30日衰退",-1.2863188049278662
00861,元大全球未來通訊,2.166773658313308,"10日衰退,20日衰退,30日衰退",-0.38882710236207974
00865B,國泰US短期公債,-64.9594013570084,"10日衰退,5日衰退,20日衰退,30日衰退",-1.0480737315691542
00876,元大全球5G,15.54976261380073,"10日衰退,20日衰退,30日衰退",-1.1354550843302285
00878,國泰永續高股息,9.67543019493229,"10日衰退,5日衰退,20日衰退,30日衰退",-0.6918422424063131
00881,國泰台灣科技龍頭,-9.278555238226362,"10日衰退,5日衰退,20日衰退,30日衰退",-3.6385942315379642
00882,中信中國高股息,25.996566591294886,5日衰退,-0.406787276471686
00891,中信關鍵半導體,-40.08761423018365,"10日衰退,5日衰退",-2.1286304173877255
00892,富邦台灣半導體,-12.368694471775811,"20日衰退,30日衰退",-4.4702936776661
00894,中信小資高價30,-19.6188120183743,5日衰退,-1.03343140171134
00905,FT臺灣Smart,2.8678673611437837,"10日衰退,20日衰退,30日衰退",-0.5056787959777238
00911,兆豐洲際半導體,-9.306535611429311,"10日衰退,20日衰退,30日衰退",-2.904982861730373
00912,中信臺灣智慧50,-1.0073261717793414,30日衰退,-2.367332416188907
00913,兆豐台灣晶圓製造,-66.11038312436699,30日衰退,-1.7355538732479516
00916,國泰全球品牌50,-9.149529927244206,5日衰退,-0.4275705365549243
00919,群益台灣精選高息,1.9991749153957121,20日衰退,-1.060541445882882
00920,富邦ESG綠色電力,-65.32009368836292,30日衰退,-5.9935848126232685
00922,國泰台灣領袖50,0.41790750832141654,"10日衰退,20日衰退,30日衰退",-0.6049985538868157
00923,群益台ESG低碳50,-8.131799602678807,"10日衰退,5日衰退,20日衰退,30日衰退",-3.4140515212459697
00926,凱基全球菁英55,6.940593539141339,"10日衰退,5日衰退,20日衰退",-3.4780208593840385
00927,群益半導體收益,-45.787803973290956,"10日衰退,5日衰退,20日衰退,30日衰退",-1.0054942267382714
00929,復華台灣科技優息,64.69027279086322,"10日衰退,5日衰退,20日衰退,30日衰退",-1.365291471025941
00934,中信成長高股息,34.67890244649326,"20日衰退,30日衰退",-2.009765225362571
00935,野村臺灣新科技50,-40.31963473487362,"10日衰退,5日衰退",-2.5528142354737184
00938,凱基優選30,15.911848106977317,"20日衰退,30日衰退",-4.781144963727165
00941,中信上游半導體,39.73710144391691,"10日衰退,5日衰退,20日衰退,30日衰退",-0.713271957695575
00945B,凱基美國非投等債,-9.668640040890423,"10日衰退,5日衰退,20日衰退,30日衰退",-1.1523401717238357
00947,台新臺灣IC設計,-47.522883357003494,"10日衰退,5日衰退",-4.578686031725304
00951,台新日本半導體,21.61553063008184,"10日衰退,5日衰退,20日衰退,30日衰退",-0.44584126517491995
00952,凱基台灣AI50,3.5529383513268087,20日衰退,-0.9485597514318833
00954,中信日本半導體,-37.320870166546584,"10日衰退,5日衰退,20日衰退,30日衰退",-1.2474365408664454
00961,FT臺灣永續高息,-10.008661001446397,"10日衰退,5日衰退,20日衰退,30日衰退",-14.310679376694704
00962,台新AI優息動能,14.428119436201781,"10日衰退,5日衰退,20日衰退",-1.7984866468842728
00963,中信全球高股息,-23.96941070908459,"10日衰退,5日衰退,20日衰退,30日衰退",-2.5062573634405503
009801,中信美國創新科技,30.26052736134782,"10日衰退,5日衰退",-3.897904047542305
009803,玉山市值動能50,-19.95697291323477,"10日衰退,20日衰退,30日衰退",-1.6067443147458462
009804,聯邦台精彩50,-31.397783750127072,"20日衰退,30日衰退",-6.125279510836496
009805,台新美國電力基建,5.0191297493720946,5日衰退,-2.8910931607838997
009809,富邦淨零ESG50,19.736961762671672,10日衰退,-0.46293039812924164
009811,統一美國50,41.687160821747256,5日衰退,-0.8240154817625864
009816,凱基台灣TOP50,-28.387437510120503,"10日衰退,5日衰退,20日衰退,30日衰退",-0.4049903633143792
00981A,主動統一台股增長,-57.413416544258396,5日衰退,-4.1534218617758185
00981T,平衡凱基雙核收息,2.309635353184224,"10日衰退,5日衰退,20日衰退,30日衰退",-3.149346698289631
009821,野村稀土關鍵資源,-53.1709871522189,30日衰退,-2.87726927300389
009826,貝萊德世界股票,-30.773375843330587,5日衰退,-26.521838021478423
00982A,主動群益台灣強棒,-49.11161431241872,"10日衰退,5日衰退,20日衰退,30日衰退",-2.606071673526934
00982D,主動富邦動態入息,108.15941375684496,"10日衰退,5日衰退,20日衰退,30日衰退",-3.23367791448743
00984A,主動安聯台灣高息,-73.59879918893874,"20日衰退,30日衰退",-0.995344023064547
00984D,主動聯博全球非投,-80.70424010742644,"10日衰退,5日衰退,20日衰退,30日衰退",-2.62756650684571
00985B,群益ESG投等債0-5,25.979663914321865,"10日衰退,5日衰退",-1.0676323225308515
00987A,主動台新優勢成長,-46.01298820284791,"10日衰退,5日衰退,20日衰退",-4.734855225535796
00988A,主動統一全球創新,-58.0226763582129,"10日衰退,20日衰退",-0.6318869876426731
00990A,主動元大AI新經濟,-7.7918319318337375,30日衰退,-4.294691333715344
00991A,主動復華未來50,-60.4562820568401,5日衰退,-9.880749558211697
00991B,貝萊德A級公司債,95.66326049577303,5日衰退,-0.3906389244075541
00992A,主動群益科技創新,-54.68194295348942,"5日衰退,30日衰退",-1.1229739049323868
00993A,主動安聯台灣,24.24491259643109,5日衰退,-0.37713951930444267
00995A,主動中信台灣卓越,-30.77093106936177,"10日衰退,5日衰退,20日衰退,30日衰退",-6.589867520368653
00997A,主動群益美國增長,-27.53688213803057,30日衰退,-7.50391782251371
1102,亞泥,10.11112309237807,30日衰退,-1.650694589644301
1210,大成,9.884878618966665,"10日衰退,5日衰退",-0.7344112590212877
1301,台塑,30.285239403351067,10日衰退,-0.5043149222557091
1303,南亞,35.459218370107,"10日衰退,5日衰退,20日衰退",-0.31398002299960837
1305,華夏,3.5591128944122365,30日衰退,-1.589482731220257
1310,台苯,4.843425290106216,10日衰退,-0.48175403560337315
1312,國喬,2.5661455444735832,"10日衰退,20日衰退,30日衰退",-0.44394037248744134
1342,八貫,32.75090421262052,10日衰退,-0.8196743627400593
1409,新纖,11.450264858799137,30日衰退,-1.6525344242247488
1477,聚陽,7.913300107003539,"10日衰退,5日衰退,20日衰退",-0.7708999936694747
1514,亞力,12.80128855493253,"20日衰退,30日衰退",-2.0138882238926374
1560,中砂,34.475848931555326,10日衰退,-0.426351832686926
1597,直得,7.601756682847234,"10日衰退,5日衰退",-1.3386913623211116
1612,宏泰,15.665289006791928,"20日衰退,30日衰退",-1.0436440254063104
1617,榮星,20.075900650504053,5日衰退,-0.394935577858444
1623,大東電,-1.0976030303030306,"10日衰退,20日衰退",-0.38490606060606103
1707,葡萄王,13.872368106527716,"10日衰退,5日衰退",-0.5249361363388019
1708,東鹼,10.093996311614816,"20日衰退,30日衰退",-1.0917493746657954
1710,東聯,4.523649892858162,"10日衰退,20日衰退",-1.2400882230470502
1712,興農,13.322507593564342,5日衰退,-0.32547898876742565
1713,國化,0.28230072930612904,"10日衰退,5日衰退",-0.3558533027451829
1714,和桐,17.70118998580241,"10日衰退,5日衰退,20日衰退,30日衰退",-1.3413775463458677
1718,中纖,5.947935594050662,"10日衰退,5日衰退,20日衰退,30日衰退",-2.5542970462147636
1727,中華化,3.7528210416659853,20日衰退,-1.263611913629541
1773,勝一,6.545737333333333,10日衰退,-0.49954300000000007
1809,中釉,1.9257549393719016,5日衰退,-0.9196954020594243
1810,和成,4.82343863857659,5日衰退,-0.4133332795684197
2233,宇隆,7.457875762325125,5日衰退,-0.7119514156436431
2236,百達-KY,53.18539840996542,"10日衰退,20日衰退,30日衰退",-1.5955116468796504
2241,艾姆勒,8.468012688362721,"10日衰退,5日衰退,20日衰退,30日衰退",-1.5039406397025328
2243,宏旭-KY,28.709439395933863,"20日衰退,30日衰退",-1.5874248375419384
2303,聯電,28.717100817463262,"10日衰退,5日衰退,20日衰退,30日衰退",-0.35803480029152013
2305,全友,2.6474941405345995,"10日衰退,5日衰退,20日衰退,30日衰退",-1.6548930076508932
2308,台達電,62.81148605888376,10日衰退,-0.4323728571843901
2316,楠梓電,36.312087014125865,30日衰退,-1.443165319379382
2323,中環,11.134166638386763,20日衰退,-1.532394567112238
2327,國巨*,54.103724469589295,"10日衰退,5日衰退,20日衰退,30日衰退",-1.2626488685051314
2328,廣宇,8.31448412245002,5日衰退,-0.40984057040077104
2329,華泰,9.593720423343116,30日衰退,-1.1981276985338383
2332,友訊,8.823946366653942,"10日衰退,20日衰退,30日衰退",-1.8578496057128362
2337,旺宏,23.338922151368607,"10日衰退,5日衰退,20日衰退,30日衰退",-0.6162355256663119
2338,光罩,5.524363691522791,"20日衰退,30日衰退",-1.4161509293316321
2340,台亞,9.528572423562268,"20日衰退,30日衰退",-1.0356887492814266
2344,華邦電,27.023629887562095,"10日衰退,5日衰退,20日衰退,30日衰退",-0.8309484329037709
2348,海悅,1.4118463119665559,10日衰退,-0.40945125247259107
2360,致茂,59.54800971839008,10日衰退,-0.540007525060652
2363,矽統,7.495477735458078,30日衰退,-1.8210548596863756
2368,金像電,23.75640949147342,"10日衰退,5日衰退,20日衰退,30日衰退",-1.3473067191789099
