單位名稱,買進金額,賣出金額,買賣差額
自營商(自行買賣),"9,685,831,579","12,571,102,648","-2,885,271,069"
自營商(避險),"23,222,044,584","38,876,871,996","-15,654,827,412"
投信,"21,174,720,911","25,890,171,059","-4,715,450,148"
外資及陸資(不含外資自營商),"348,270,977,728","335,002,415,049","13,268,562,679"
外資自營商,0,0,0
合計,"402,353,574,802","412,340,560,752","-9,986,985,950"
