排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
1,1101,台泥,24.3,-0.3,-1.22,09/07,-4760,-5340,-35209,-395525,-372501,-348834,-234796.0,71609.0,92249.0,136380.0
2,2834,臺企銀,17.2,0.2,1.18,09/07,-1980,-8624,-16972,-374097,-324183,-227195,-188445.0,42956.0,63785.0,75811.0
3,2884,玉山金,43.55,0.0,0.0,09/07,-13432,-21256,-53900,-128047,-103742,-71439,-131764.0,-160421.0,96518.0,-96739.0
4,2886,兆豐金,50.2,0.65,1.31,09/07,-1394,-3865,-7933,-63802,-101737,-116680,-5472.0,10034.0,-18975.0,25303.0
5,2609,陽明,58.1,-0.1,-0.17,09/07,49,-1715,-23905,-57225,-63579,-72673,-150396.0,-133188.0,-187826.0,-181095.0
6,2880,華南金,44.35,0.35,0.8,09/07,-27,-2557,-10558,-35636,-33692,-8839,190301.0,293511.0,314835.0,288449.0
7,2845,遠東銀,13.75,0.1,0.73,09/07,-11135,-22538,-22544,-21706,-16429,-18689,-36060.0,13351.0,30745.0,31682.0
8,1605,華新,37.9,-0.5,-1.3,09/07,-1348,-1219,-2361,-21274,-23433,-88936,-62342.0,-102471.0,-56998.0,-175018.0
9,1326,台化,71.9,2.1,3.01,09/07,-831,174,-2395,-20368,-23723,-19695,-35596.0,-93884.0,-154920.0,-99033.0
10,2408,南亞科,517.0,21.0,4.23,09/07,317,-1736,-5062,-18706,-8643,-42675,14014.0,21572.0,-10365.0,18584.0
11,3293,鈊象,710.0,1.0,0.14,09/07,-54,-351,-3314,-17461,-17693,-17997,-14155.0,-13039.0,-5265.0,-15032.0
12,00407A,主動凱基台灣,9.82,0.09,0.92,09/07,-170,-652,-652,-15303,-16059,-17019,,,,
13,1717,長興,73.5,-2.6,-3.42,09/07,672,-10,-2282,-15275,-19948,-34350,-32442.0,-9400.0,6833.0,-3897.0
14,1815,富喬,130.0,11.5,9.7,09/07,-1953,-1883,-6108,-15160,-35415,-40211,-44246.0,-15130.0,-20257.0,-10878.0
15,2002,中鋼,19.0,-0.1,-0.52,09/07,-4461,-3944,-3364,-13884,-52718,-144536,-418575.0,-127236.0,-64237.0,-258306.0
16,2353,宏碁,32.3,-0.4,-1.22,09/07,-1232,-1668,-2744,-13860,-19227,-29945,-57656.0,-59877.0,31885.0,61357.0
