"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔成交","2日買賣超佔成交","3日買賣超佔成交","5日買賣超佔成交","10日買賣超佔成交","1個月買賣超佔成交","3個月買賣超佔成交","半年買賣超佔成交","1年買賣超佔成交","3年買賣超佔成交","10年買賣超佔成交","今年買賣超佔成交"
"38","00861","元大全球未來通訊","82.5","-0.7","-0.84","09/03","-2.16","-37.9","+30.2","+27.2","+21.5","+8.9","+0.67","+8.32","+7.91","+9.47","","+9.31"
"39","6026","福邦證","15.05","0","0","09/03","+54.3","+46.2","+44.4","+27.1","+33.7","+17","-13.7","-1.99","+0.44","-0.22","+0.18","-0.53"
"40","00900","富邦特選高股息30","19.53","-0.08","-0.41","09/03","+2.95","+23.8","+30.3","+27","+25.6","+26.9","+17.4","+20.3","+11.5","+5.88","","+19.6"
"41","00904","台新臺灣半導體30","40.01","-0.6","-1.48","09/03","-8.4","-18.2","+31.9","+27","+21","+13.1","+2.65","+3.28","+1.44","+0.42","","+2.1"
"42","4161","聿新科","22.7","-0.2","-0.87","09/03","0","0","+39.1","+26.8","+19.6","+7.46","+4.35","+0.15","-1.85","-0.72","-0.02","-1.04"
"43","00401A","主動摩根台灣鑫收","13.96","-0.1","-0.71","09/03","-12.1","-19.3","+31.4","+26.7","+19.2","+11.8","+7.51","","","","",""
"44","1593","祺驊","31.6","0","0","09/03","+69.4","+65.7","+59.1","+26.4","+8.62","+3.25","-1.74","+0.15","-0.23","-0.3","-0.13","-0.16"
"45","6470","宇智","41.75","-0.2","-0.48","09/03","-6.31","-5.33","+10.4","+26.4","+26.9","+19.4","+3.93","+2.64","+0.69","+0.67","+0.06","+0.98"
"46","2889","國票金","16.45","+0.45","+2.81","09/03","+46.1","+47","+37.6","+26.3","+28.7","+22","+15.6","+6.59","+4.8","+0.86","-1.11","+6.82"
"47","6697","東捷資訊","41.25","0","0","09/03","-32.7","-22.3","+23","+26","+18.6","+10.6","+1.32","+0.44","+0.48","-0.02","","+0.42"
"48","6578","達邦蛋白","18","+0.15","+0.84","09/03","+43.3","+38.9","+37.8","+26","+14.7","+1.28","-0.65","-0.36","-1.3","-0.1","","-1.54"
