排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 成交,2日 買賣超 佔 成交,3日 買賣超 佔 成交,5日 買賣超 佔 成交,10日 買賣超 佔 成交,1個月 買賣超 佔 成交,3個月 買賣超 佔 成交,半年 買賣超 佔 成交,1年 買賣超 佔 成交,3年 買賣超 佔 成交,10年 買賣超 佔 成交,今年 買賣超 佔 成交
158,2308,台達電,1620.0,0.0,0.0,09/14,4.84,-13.2,-31.9,-25.6,-17.5,-11.6,-9.53,-4.6,-4.04,-1.33,-0.91,-2.49
159,4549,桓達,95.4,1.2,1.27,09/14,26.0,16.1,-2.7,-25.4,-5.07,10.0,3.99,1.8,0.51,-0.73,-0.68,2.68
160,7730,暉盛-創,168.0,-4.0,-2.33,09/14,-20.9,-18.7,-19.0,-25.3,-8.72,0.09,-1.37,-0.07,,,,-0.59
161,2488,漢平,48.35,-0.2,-0.41,09/14,34.8,-0.06,-9.48,-25.2,-17.7,-28.6,-5.95,1.85,0.31,0.91,-1.94,1.6
162,3033,威健,41.4,-0.15,-0.36,09/14,11.9,-0.66,3.8,-25.1,-28.2,-28.3,-1.97,2.91,2.34,0.34,0.28,2.76
163,6188,廣明,62.4,-0.2,-0.32,09/14,-29.0,-14.9,-20.1,-25.1,-15.5,-12.3,-3.71,-2.59,-0.73,0.01,-0.02,-3.12
164,8131,福懋科,59.0,-1.3,-2.16,09/14,-29.0,-36.2,-39.6,-25.0,-20.0,-13.3,-4.11,-0.3,-0.04,-0.1,-0.05,-0.18
165,4164,承業醫,25.35,-0.15,-0.59,09/14,-54.5,-28.0,-26.6,-24.9,-11.8,-4.18,-0.65,-11.4,-9.36,-1.26,-1.0,-11.2
166,8411,福貞-KY,12.65,-0.35,-2.69,09/14,-58.1,-46.3,-41.4,-24.8,-12.8,-7.78,5.1,5.2,2.87,0.87,0.19,3.63
167,6691,洋基工程,613.0,4.0,0.66,09/14,-0.94,-32.6,-30.3,-24.8,-12.1,-26.1,-10.7,-4.61,-3.36,1.4,,-4.11
168,2471,資通,50.9,1.1,2.21,09/14,-27.8,-25.9,-24.6,-24.7,-17.3,-7.0,-8.93,-1.96,2.76,0.09,0.05,0.87
