排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 賣出 佔 成交,2日 賣出 佔 成交,3日 賣出 佔 成交,5日 賣出 佔 成交,10日 賣出 佔 成交,1個月 賣出 佔 成交,3個月 賣出 佔 成交,半年 賣出 佔 成交,1年 賣出 佔 成交,3年 賣出 佔 成交,10年 賣出 佔 成交,今年 賣出 佔 成交
1,00856B,永豐1-3年美公債,37.08,0.04,0.11,09/09,84.5,83.0,82.6,54.0,69.3,55.2,46.5,38.2,17.2,2.91,,28.6
2,1590,亞德客-KY,1330.0,-5.0,-0.37,09/09,83.6,81.9,81.5,82.2,79.4,72.4,73.2,74.5,71.7,72.1,55.1,72.3
3,00634R,富邦上証反1,3.14,0.01,0.32,09/09,69.9,69.2,81.0,65.4,76.1,17.9,9.3,5.56,5.66,6.19,7.84,5.91
4,2106,建大,17.05,0.1,0.59,09/09,76.8,63.5,76.4,77.2,83.3,79.5,61.4,53.4,49.6,39.7,31.4,50.5
5,3716,中化控股,34.1,0.1,0.29,09/09,75.0,75.0,76.0,58.1,58.3,38.5,34.5,29.8,26.7,,,28.1
6,2538,基泰,8.83,-0.04,-0.45,09/09,81.6,72.9,75.8,62.1,54.7,48.4,44.2,30.8,30.5,27.6,20.0,30.2
7,2891,中信金,66.6,-1.6,-2.35,09/09,76.7,70.8,74.5,67.8,71.4,67.9,57.4,58.2,56.4,51.2,49.5,58.3
8,2881,富邦金,147.0,-2.0,-1.34,09/09,77.8,73.8,74.5,63.3,68.2,59.2,53.0,49.4,51.3,51.3,48.5,49.8
9,4938,和碩,91.1,-0.6,-0.65,09/09,66.9,74.5,74.1,58.0,62.9,52.0,44.7,47.9,48.5,50.6,49.0,47.1
10,2347,聯強,88.6,-0.3,-0.34,09/09,82.6,82.0,73.4,45.8,48.1,56.0,54.9,54.4,57.5,54.2,49.8,51.9
11,3416,融程電,160.5,0.0,0.0,09/09,43.1,72.7,72.5,65.1,51.4,48.8,32.0,28.9,30.0,27.3,19.8,29.6
12,6890,來億-KY,157.0,-5.0,-3.09,09/09,70.9,71.1,71.7,57.1,52.0,52.0,36.1,37.8,16.5,,,27.9
13,2850,新產,158.0,0.5,0.32,09/09,71.6,64.1,71.6,70.6,69.4,54.4,40.0,39.7,39.2,36.9,29.6,38.7
14,9935,慶豐富,19.65,0.15,0.77,09/09,56.2,41.7,71.2,66.7,36.5,26.3,21.6,23.0,13.8,1.99,0.55,18.0
15,6924,榮惠-KY創,125.5,0.0,0.0,09/09,37.4,26.5,71.0,57.5,40.4,33.8,26.6,15.6,11.9,,,15.4
16,9904,寶成,24.55,-0.15,-0.61,09/09,85.3,69.9,70.4,69.1,66.5,52.2,51.4,55.5,36.6,12.4,5.38,47.5
17,2207,和泰車,530.0,-5.0,-0.93,09/09,63.3,69.5,70.3,55.6,71.2,73.2,46.2,57.8,62.0,66.0,60.8,59.5
18,00943,兆豐電子高息等權,21.08,0.06,0.29,09/09,92.2,70.0,69.6,56.9,50.8,41.1,57.0,27.4,15.2,,,20.8
19,2633,台灣高鐵,26.1,0.0,0.0,09/09,69.4,58.9,69.1,67.2,66.4,64.0,61.9,72.2,69.4,58.3,,71.6
20,6176,瑞儀,90.2,-0.9,-0.99,09/09,74.5,70.2,69.0,64.8,51.8,44.0,39.7,39.2,40.0,41.7,34.0,39.3
21,2882,國泰金,110.5,-3.0,-2.64,09/09,71.6,71.1,67.9,61.2,64.1,60.2,52.6,52.0,51.0,50.9,45.9,52.5
22,2890,永豐金,43.2,-0.25,-0.58,09/09,74.8,64.6,66.5,65.6,60.5,62.6,60.3,55.6,53.7,51.6,46.5,55.0
23,5522,遠雄,63.5,-0.1,-0.16,09/09,80.3,61.5,65.9,55.3,69.8,62.8,50.4,51.3,49.6,42.3,40.5,50.0
24,2356,英業達,64.3,0.3,0.47,09/09,27.8,61.5,65.6,54.2,50.0,43.9,40.6,36.3,36.7,36.9,40.2,36.4
25,3036,文曄,191.5,2.0,1.06,09/09,66.0,64.2,65.4,68.4,75.6,64.8,54.1,48.6,51.2,42.4,38.3,48.3
26,2887,台新新光金,42.4,-0.4,-0.93,09/09,75.3,61.1,65.4,64.0,60.2,59.0,53.4,52.3,47.3,51.3,45.2,50.4
27,1536,和大,48.0,0.1,0.21,09/09,44.7,63.3,65.4,52.8,46.4,38.0,32.4,36.4,32.9,23.5,23.5,34.0
28,5258,虹堡,44.35,0.05,0.11,09/09,49.9,70.3,65.4,63.8,55.4,53.5,39.0,33.0,31.8,22.9,,32.3
29,8069,元太,149.5,2.5,1.7,09/09,52.2,64.5,65.3,70.4,71.8,64.7,55.8,50.6,30.5,11.5,1.89,40.4
30,2883,凱基金,36.75,-0.55,-1.47,09/09,74.0,65.0,65.0,55.6,52.8,49.8,45.1,48.8,44.9,43.2,36.9,45.7
31,3373,熱映,15.95,-0.05,-0.31,09/09,19.3,22.5,64.7,59.5,41.2,25.1,15.3,12.3,13.6,14.0,7.78,12.0
32,6414,樺漢,378.5,2.5,0.66,09/09,60.5,61.1,64.3,59.1,61.0,54.1,37.9,34.8,36.7,31.1,24.4,34.7
33,910322,康師傅-DR,24.0,-1.1,-4.38,09/09,93.1,92.7,64.1,52.3,39.2,3.65,15.1,27.8,18.8,2.93,1.13,21.7
34,1762,中化生,34.6,-0.4,-1.14,09/09,63.5,64.4,63.2,58.0,47.0,36.7,31.8,25.0,23.5,25.8,15.1,23.5
35,9939,宏全,127.5,-1.0,-0.78,09/09,58.2,61.4,63.1,62.5,55.6,44.8,38.2,37.3,22.6,8.5,2.55,30.0
36,2105,正新,30.8,0.2,0.65,09/09,49.7,54.1,62.8,56.9,57.1,52.6,39.8,46.7,51.7,52.4,46.8,49.6
