鉅額交易個股最新行情
資料日期:115/09/03
"交易型態","交割期別","代號","名稱","成交價格(元)","成交股數","成交值(元)","成交時間"
"配對交易-單一型","T+2日交割","5274","信驊            ","18256.32","1,005","18,347,601","13:37"
"配對交易-單一型","T+2日交割","5274","信驊            ","18600.00","5,089","94,655,400","11:07"
"配對交易-單一型","T+2日交割","5274","信驊            ","18256.34","1,995","36,421,398","13:37"
"配對交易-單一型","T+2日交割","5347","世界            ","148.98","420,000","62,571,600","14:03"
"配對交易-單一型","T+2日交割","5347","世界            ","150.00","927,000","139,050,000","11:51"
"配對交易-單一型","T+2日交割","5536","聖暉*           ","826.76","100,000","82,676,000","13:46"
"配對交易-單一型","T+2日交割","5536","聖暉*           ","833.02","29,280","24,390,825","13:42"
"配對交易-單一型","T+2日交割","5536","聖暉*           ","833.05","42,720","35,587,896","13:42"
"配對交易-單一型","T+2日交割","5536","聖暉*           ","833.02","30,907","25,746,149","13:40"
"配對交易-單一型","T+2日交割","5536","聖暉*           ","833.05","45,093","37,564,723","13:41"
"共10筆"

"ETF證券代號第六碼為K、C者，表示該ETF以外幣交易，其一交易單位(張)應為100受益權或其整倍數，請詳其公開說明書。"
