代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,外資 連續 買賣 日數,外資 連續 買賣 張數,外資 連續 買賣 佔 成交 (%),外資 連續 買賣 佔發 行量 (%),投信 連續 買賣 日數,投信 連續 買賣 張數,投信 連續 買賣 佔 成交 (%),投信 連續 買賣 佔發 行量 (%),自營 商 連續 買賣 日數,自營 商 連續 買賣 張數,自營 商 連續 買賣 佔 成交 (%),自營 商 連續 買賣 佔發 行量 (%),三大 法人 連續 買賣 日數,三大 法人 連續 買賣 張數,三大 法人 連續 買賣 佔 成交 (%),三大 法人 連續 買賣 佔發 行量 (%)
2348,海悅,72.5,-0.5,-0.68,09/22,2,120,15.9,0.08,0,0,0.0,0.0,-2,-10,-1.28,-0.01,2,111,14.6,0.07
2355,敬鵬,41.5,0.2,0.48,09/22,2,775,27.5,0.2,0,0,0.0,0.0,1,1,0.04,0.0,2,699,24.8,0.18
2395,研華,703.0,-3.0,-0.42,09/22,2,1257,32.7,0.14,-1,-121,-6.89,-0.01,-1,-26,-1.5,0.0,2,1229,32.0,0.14
2409,友達,36.65,3.3,9.9,09/22,2,481207,24.2,6.38,-2,-70,0.0,0.0,5,37553,1.27,0.5,2,508763,25.6,6.74
2457,飛宏,22.1,-0.1,-0.45,09/22,2,387,21.8,0.09,0,0,0.0,0.0,-1,-2,-0.2,0.0,2,404,22.7,0.1
2460,建通,30.25,0.1,0.33,09/22,2,48,10.9,0.03,0,0,0.0,0.0,0,0,0.0,0.0,4,142,15.0,0.08
2484,希華,69.6,-0.4,-0.57,09/22,2,554,9.88,0.35,0,0,0.0,0.0,-1,-2,-0.07,0.0,2,556,9.92,0.35
2505,國揚,17.15,0.15,0.88,09/22,2,855,41.8,0.22,0,0,0.0,0.0,-2,-126,-6.15,-0.03,2,729,35.6,0.19
2538,基泰,8.61,0.04,0.47,09/22,2,444,15.2,0.1,0,0,0.0,0.0,0,0,0.0,0.0,2,449,15.3,0.1
2540,愛山林,49.5,0.4,0.81,09/22,2,96,11.3,0.01,0,0,0.0,0.0,0,0,0.0,0.0,2,118,13.9,0.01
2607,榮運,53.7,0.1,0.19,09/22,2,180,48.1,0.03,0,0,0.0,0.0,7,58,2.69,0.01,4,346,22.4,0.06
2609,陽明,60.8,-0.3,-0.49,09/22,2,7819,20.1,0.22,2,103,0.27,0.0,-1,-325,-1.96,-0.01,2,7899,20.3,0.23
2611,志信,14.25,-0.25,-1.72,09/22,2,122,13.9,0.06,0,0,0.0,0.0,-1,-4,-0.68,0.0,2,120,13.7,0.06
2612,中航,62.9,-0.4,-0.63,09/22,2,174,33.4,0.09,0,0,0.0,0.0,1,11,6.06,0.01,2,183,35.0,0.09
2614,東森,18.25,0.1,0.55,09/22,2,203,15.6,0.06,0,0,0.0,0.0,0,0,0.0,0.0,2,207,15.9,0.06
2617,台航,33.1,-0.2,-0.6,09/22,2,614,29.3,0.15,0,0,0.0,0.0,1,1,0.11,0.0,2,592,28.2,0.14
2618,長榮航,42.5,0.55,1.31,09/22,2,8349,32.2,0.15,6,21448,19.9,0.4,6,911,0.84,0.02,2,13532,52.2,0.25
2643,捷迅,62.9,-0.1,-0.16,09/22,2,4,20.7,0.01,0,0,0.0,0.0,0,0,0.0,0.0,2,4,20.7,0.01
2707,晶華,178.0,0.5,0.28,09/22,2,60,26.2,0.05,0,0,0.0,0.0,0,0,0.0,0.0,2,61,26.6,0.05
2723,美食-KY,79.2,0.1,0.13,09/22,2,65,17.3,0.04,0,0,0.0,0.0,0,0,0.0,0.0,2,51,13.6,0.03
2731,雄獅,143.5,0.0,0.0,09/22,2,103,31.3,0.11,0,0,0.0,0.0,-1,0,-0.23,0.0,2,103,31.4,0.11
2838,聯邦銀,21.5,-0.1,-0.46,09/22,2,869,27.9,0.02,0,0,0.0,0.0,4,398,4.28,0.01,2,926,29.7,0.02
2845,遠東銀,13.5,-0.05,-0.37,09/22,2,1867,18.8,0.04,0,0,0.0,0.0,0,0,0.0,0.0,2,1933,19.5,0.04
2881,富邦金,154.5,0.0,0.0,09/22,2,7697,23.8,0.05,-4,-5981,-8.02,-0.04,3,1776,2.93,0.01,-1,-1011,-5.92,-0.01
2884,玉山金,46.05,-0.15,-0.32,09/22,2,6510,15.7,0.04,34,176742,11.4,1.0,6,2779,1.06,0.02,2,9084,21.9,0.05
2887G,台新新光庚特一,44.5,0.05,0.11,09/22,2,4,5.38,0.01,0,0,0.0,0.0,0,0,0.0,0.0,2,4,5.38,0.01
2915,潤泰全,59.3,0.0,0.0,09/22,2,674,25.2,0.06,0,0,0.0,0.0,-1,-2,-0.11,0.0,2,691,25.9,0.06
2939,永邑-KY,19.95,0.05,0.25,09/22,2,7,19.4,0.02,0,0,0.0,0.0,0,0,0.0,0.0,2,7,19.4,0.02
3003,健和興,58.3,-0.6,-1.02,09/22,2,140,15.6,0.09,0,0,0.0,0.0,-2,-33,-3.61,-0.02,2,108,12.0,0.07
3016,嘉晶,132.5,12.0,9.96,09/22,2,8734,20.4,2.97,0,0,0.0,0.0,-1,-106,-0.35,-0.04,2,8898,20.7,3.03
3018,隆銘綠能,11.9,-0.1,-0.83,09/22,2,2,1.21,0.0,0,0,0.0,0.0,0,0,0.0,0.0,3,3,1.55,0.0
3021,鴻名,25.3,-0.95,-3.62,09/22,2,52,4.02,0.06,0,0,0.0,0.0,0,0,0.0,0.0,2,53,4.1,0.06
3030,德律,268.0,-0.5,-0.19,09/22,2,112,11.7,0.05,0,0,0.0,0.0,-1,-2,-0.37,0.0,2,120,12.5,0.05
3045,台灣大,123.0,-1.5,-1.2,09/22,2,6231,29.5,0.17,-1,-197,-1.32,-0.01,3,390,0.99,0.01,27,111606,41.2,3.0
3046,建碁,54.1,0.3,0.56,09/22,2,36,12.3,0.05,0,0,0.0,0.0,0,0,0.0,0.0,2,31,10.6,0.04
3088,艾訊,128.0,-1.0,-0.78,09/22,2,411,28.7,0.37,0,0,0.0,0.0,-1,-5,-0.9,0.0,2,407,28.4,0.37
3176,基亞,38.35,0.35,0.92,09/22,2,83,13.0,0.06,0,0,0.0,0.0,0,0,0.0,0.0,2,83,13.0,0.06
3234,光環,173.0,-5.5,-3.08,09/22,2,283,6.19,0.22,0,0,0.0,0.0,1,2,0.09,0.0,2,284,6.22,0.22
3285,微端,42.15,-1.05,-2.43,09/22,2,26,7.63,0.06,0,0,0.0,0.0,-1,-4,-5.65,-0.01,-1,-3,-4.24,-0.01
3290,東浦,46.6,0.0,0.0,09/22,2,62,3.99,0.07,0,0,0.0,0.0,-3,-267,-9.5,-0.3,-1,-212,-14.8,-0.23
3306,鼎天,45.1,0.1,0.22,09/22,2,14,11.5,0.03,0,0,0.0,0.0,1,0,0.14,0.0,2,14,11.6,0.03
3419,譁裕,11.05,0.0,0.0,09/22,2,84,11.8,0.07,0,0,0.0,0.0,-2,-3,-0.42,0.0,2,81,11.4,0.07
3443,創意,8375.0,760.0,9.98,09/22,2,192,4.92,0.14,-1,-80,-11.3,-0.06,1,28,3.93,0.02,-1,-49,-6.93,-0.04
3455,由田,247.5,-9.0,-3.51,09/22,2,129,3.37,0.22,0,0,0.0,0.0,-1,-64,-3.84,-0.11,-1,-43,-2.55,-0.07
3465,進泰電子,29.1,0.1,0.34,09/22,2,2,6.9,0.0,0,0,0.0,0.0,0,0,0.0,0.0,2,2,6.9,0.0
3481,群創,50.5,0.1,0.2,09/22,2,57974,7.33,0.73,-4,-7979,-0.75,-0.1,2,8846,1.12,0.11,2,61878,7.83,0.77
3489,森寶,22.65,0.35,1.57,09/22,2,50,11.6,0.06,0,0,0.0,0.0,-2,-1,-0.15,0.0,2,49,11.5,0.05
3516,亞帝歐,25.25,0.05,0.2,09/22,2,6,11.7,0.01,0,0,0.0,0.0,0,0,0.0,0.0,2,6,11.7,0.01
3523,迎輝,15.0,0.0,0.0,09/22,2,3,7.42,0.0,0,0,0.0,0.0,0,0,0.0,0.0,2,3,7.42,0.0
