項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),294064,272072,5727,8902986,8919251
融券(交易單位),22347,22883,4219,222843,219160
融資金額(仟元),28716507,24349435,1211791,578739307,581894588
