項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),399041,347045,15099,9245367,9282264
融券(交易單位),21915,18230,2095,218839,213059
融資金額(仟元),31990172,29522628,961126,604861415,606367833
