股票代號,股票名稱,法人持股,上榜區塊,累積衰退
00400A,主動國泰動能高息,-53.285109522067046,"5日衰退,30日衰退,20日衰退",-2.9308296789884025
00401A,主動摩根台灣鑫收,-2.168180581426986,"20日衰退,30日衰退,10日衰退",-2.899921785958888
00405A,主動富邦台灣龍耀,-54.928190471516885,30日衰退,-2.491544944887714
00406A,主動中信台灣收益,-66.47192319998335,"5日衰退,30日衰退,10日衰退,20日衰退",-10.321594998538139
00410A,主動永豐科技趨勢,124.68458050367855,5日衰退,-1.759291878890778
0050,元大台灣50,-7.925029896537824,"5日衰退,30日衰退,20日衰退",-0.6594276767472973
0051,元大中型100,-5.370155102040815,30日衰退,-1.6247061224489783
0053,元大電子,-14.19762330456227,"5日衰退,30日衰退",-0.7737566864864682
0056,元大高股息,-2.4761790035200195,30日衰退,-2.9861447919912907
0057,富邦摩台,-9.718998035363459,"5日衰退,30日衰退,20日衰退",-0.7925343811394896
006203,元大MSCI台灣,78.16561949500881,30日衰退,-1.4527520062634522
00631L,元大台灣50正2,-53.11812633908837,"5日衰退,30日衰退,20日衰退",-0.7599072989921183
00632R,元大台灣50反1,-17.804728460847688,"20日衰退,30日衰退,10日衰退",-8.115646155155614
00633L,富邦上証正2,54.101680611131314,"5日衰退,10日衰退",-0.5180115713073192
00634R,富邦上証反1,13.949864247188957,"5日衰退,30日衰退",-1.9027625868220017
00637L,元大滬深300正2,71.24233367775074,"5日衰退,10日衰退,20日衰退",-1.6514156134480658
00640L,富邦日本正2,72.8713039414239,"5日衰退,10日衰退",-3.8896962143636102
00641R,富邦日本反1,-22.81587612998331,"20日衰退,30日衰退,10日衰退",-3.3085956128828364
00643,群益深証中小,62.90345006413528,10日衰退,-1.1467344799525492
00646,元大S&P500,-20.36589781228888,"5日衰退,30日衰退,10日衰退,20日衰退",-0.6605625121544705
00647L,元大S&P500正2,30.21559850374065,"5日衰退,10日衰退",-1.2588528678304236
00648R,元大S&P500反1,9.350329950661582,"20日衰退,30日衰退",-3.5971244164486187
00651R,復華香港反1,46.1836046222664,30日衰退,-2.305118041749509
00655L,國泰中國A50正2,56.61389040339556,"5日衰退,10日衰退,20日衰退",-0.8247199696331862
00662,富邦NASDAQ,-30.276887364033865,"20日衰退,30日衰退,10日衰退",-1.104532838033034
00663L,國泰臺灣加權正2,-80.97925149386728,5日衰退,-1.7555375082458653
00664R,國泰臺灣加權反1,-6.698474095651399,"5日衰退,30日衰退,10日衰退,20日衰退",-4.698990970631213
00666R,富邦恒生國企反1,6.305836873406967,"20日衰退,30日衰退",-6.899067393551459
00668,國泰美國道瓊,-12.293340906053722,"5日衰退,10日衰退",-0.671284244287051
