排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
91,4729,熒茂,18.8,0.0,0.0,09/23,0.0,-6.59,-9.74,-13.9,-17.8,-26.5,-22.8,-23.7,-31.1,-26.0
92,2845,遠東銀,13.35,-0.15,-1.11,09/23,-1.79,-5.74,-8.21,-13.9,-23.2,-54.8,-59.6,-27.5,-6.11,28.7
93,8099,大世科,60.5,-0.1,-0.17,09/23,-10.8,-10.6,-10.2,-13.7,-13.1,-29.3,-26.8,-1.66,57.5,-6.6
94,4113,聯上,15.65,0.0,0.0,09/23,-5.71,-5.93,-6.0,-13.6,-23.8,-26.7,-37.1,-36.9,-47.7,-41.3
95,2441,超豐,125.0,-2.0,-1.57,09/23,0.88,-4.22,-11.2,-13.6,-19.2,-41.7,-46.0,-42.2,185.0,-54.2
96,00988A,主動統一全球創新,16.95,0.22,1.32,09/23,-2.96,-5.21,-5.21,-13.6,-17.2,-18.3,-33.7,106.0,,158.0
97,009816,凱基台灣TOP50,16.6,0.08,0.48,09/23,0.62,-8.42,-13.5,-13.5,-4.41,-46.5,-65.0,5.04,,
98,8109,博大,132.0,1.0,0.76,09/23,-4.9,-11.3,-12.8,-13.4,-10.6,13.8,274.0,280.0,275.0,175.0
99,3008,大立光,6190.0,-215.0,-3.36,09/23,-1.6,-3.43,-6.27,-13.2,-33.0,-52.8,1.18,-52.9,93.6,-15.7
100,3679,新至陞,108.5,-0.5,-0.46,09/23,0.0,-3.93,-8.81,-13.2,-18.5,-19.5,-17.2,-15.9,-47.0,-24.6
101,3708,上緯投控,97.5,-1.1,-1.12,09/23,-6.3,-13.4,-13.7,-13.0,-14.8,-22.8,-18.5,-1.2,-48.7,-47.2
102,00938,凱基優選30,27.04,-0.18,-0.66,09/23,-2.66,-2.66,-9.18,-12.9,0.27,-1.08,-28.7,7.96,9.25,31.7
103,5398,慕康生醫,13.95,-0.05,-0.36,09/23,0.0,-12.7,-12.7,-12.7,-15.1,-18.4,-24.2,-28.6,-47.1,-40.2
104,1434,福懋,17.9,-0.05,-0.28,09/23,0.0,-6.05,-13.1,-12.5,-22.3,-30.1,-48.5,-39.0,-69.3,-45.2
105,00936,台新永續高息中小,21.42,-0.07,-0.33,09/23,-9.03,-10.6,-11.2,-12.4,-22.1,-22.1,-25.5,97.7,-9.06,-20.3
106,3042,晶技,198.0,14.5,7.9,09/23,3.29,-8.27,-7.83,-12.2,-3.33,-29.6,72.1,69.0,4.85,-31.0
107,00709,富邦歐洲,39.81,0.01,0.03,09/23,0.0,0.0,0.0,-12.1,-19.4,-19.4,-19.4,-56.7,-67.8,-56.1
108,3036,文曄,206.0,1.0,0.49,09/23,-4.17,-3.63,-9.06,-12.1,-33.9,-20.8,-37.0,15.6,256.0,74.0
109,8050,廣積,59.3,0.0,0.0,09/23,-1.3,-3.09,-8.25,-12.1,-19.1,-11.4,107.0,174.0,233.0,265.0
110,00901,永豐智能車供應鏈,48.39,0.12,0.25,09/23,0.0,-12.1,-12.1,-12.1,-21.5,-21.6,-18.7,22.5,59.5,29.3
111,8433,弘帆,52.8,-0.2,-0.38,09/23,0.0,0.0,0.0,-12.0,-22.5,-25.0,-27.3,-32.8,-68.4,-65.0
112,2605,新興,37.05,-0.05,-0.13,09/23,-0.12,0.12,-0.17,-11.8,-13.9,6.05,-26.0,-54.8,-6.23,-62.4
113,3041,揚智,23.6,-0.1,-0.42,09/23,-7.82,-11.3,-10.7,-11.7,-10.8,-19.1,52.0,-17.9,-25.9,-22.0
114,00994A,主動第一金台股優,17.29,0.18,1.05,09/23,0.0,0.0,0.0,-11.7,-19.3,-31.3,-30.6,128.0,,
115,2301,光寶科,283.5,-1.0,-0.35,09/23,-3.55,-7.56,-6.23,-11.7,-15.4,16.2,-88.5,-94.2,-92.8,-59.6
116,2723,美食-KY,78.4,-0.8,-1.01,09/23,-0.89,-2.76,-3.92,-11.6,-17.5,-33.3,-43.2,-42.2,-10.2,-39.5
117,3680,家登,528.0,-10.0,-1.86,09/23,-0.17,-1.99,-1.99,-11.5,-9.72,-26.4,-20.4,-72.7,-79.7,-79.4
118,4420,光明,35.7,-0.45,-1.24,09/23,0.0,0.0,1.1,-11.5,-19.3,-52.3,-50.8,-39.1,-74.4,-73.1
119,3088,艾訊,127.0,-1.0,-0.78,09/23,-2.56,-2.12,-11.1,-11.4,-2.83,25.6,-28.4,17.7,-29.4,-21.1
120,1101,台泥,25.65,1.1,4.48,09/23,0.32,0.63,-6.41,-11.4,-27.1,-71.9,-67.9,-21.6,20.7,73.0
121,2327,國巨*,573.0,2.0,0.35,09/23,-0.02,-4.37,-4.53,-11.4,3.65,20.1,309.0,234.0,-7.36,36.6
122,2239,英利-KY,18.9,-0.05,-0.26,09/23,0.16,-0.16,-7.74,-11.2,-15.9,-16.2,-4.76,-16.7,48.3,71.7
123,6609,瀧澤科,39.85,0.05,0.13,09/23,-0.11,-2.22,-2.66,-11.1,-23.8,-34.3,-26.1,-3.41,-19.4,-28.7
124,4160,訊聯基因,39.75,0.05,0.13,09/23,0.79,-11.7,-11.7,-11.1,-17.9,-17.4,-19.5,-9.22,0.0,814.0
125,009829,大華韓國KOSPI50,11.12,0.15,1.37,09/23,-29.9,-29.9,-27.0,-11.1,63.4,,,,,
126,9955,佳龍,23.2,-0.1,-0.43,09/23,0.43,0.17,-1.87,-10.8,-13.7,-8.26,-8.77,-24.6,-52.1,-39.6
127,7556,意德士,262.0,3.5,1.35,09/23,-0.66,0.0,0.0,-10.8,-11.3,-26.9,-7.8,152.0,37.5,49.7
128,6233,旺玖,21.4,0.25,1.18,09/23,-0.39,-4.74,-3.9,-10.7,-10.5,-10.3,-26.0,-31.4,52.8,15.2
129,6965,中傑-KY,68.6,-0.6,-0.87,09/23,0.0,-1.02,-2.68,-10.7,-13.4,-14.2,-6.43,-32.9,,-4.28
130,5403,中菲,93.0,-0.2,-0.21,09/23,0.0,-4.68,-4.68,-10.7,-24.5,-42.3,-60.1,-44.8,115.0,34.5
131,00895,富邦未來車,52.2,0.45,0.87,09/23,-10.7,-10.7,-10.7,-10.7,-10.6,1.3,37.8,32.2,-36.9,-1.27
