日期,成交千股,成交金額(千元),成交筆數,櫃買指數,漲跌點數
115/09/01,"902,905","252,387,965","1,095,837",410.77,9.07
115/09/02,"820,814","221,773,157","1,052,783",406.96,-3.81
115/09/03,"984,356","241,225,809","1,205,370",395.25,-11.71
115/09/04,"769,959","195,529,166","882,384",402.48,7.23
115/09/07,"795,411","203,603,901","964,405",409.33,6.85
115/09/08,"871,496","214,858,285","1,019,221",407.19,-2.14
115/09/09,"832,664","216,771,977","926,244",408.09,0.9
115/09/10,"804,217","173,278,012","974,192",405.24,-2.85
