單位名稱,買進金額,賣出金額,買賣差額
自營商(自行買賣),"15,831,950,715","12,674,831,696","3,157,119,019"
自營商(避險),"46,908,768,271","33,736,348,499","13,172,419,772"
投信,"41,397,030,265","27,796,773,289","13,600,256,976"
外資及陸資(不含外資自營商),"460,060,893,584","433,353,294,701","26,707,598,883"
外資自營商,0,0,0
合計,"564,198,642,835","507,561,248,185","56,637,394,650"
