項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),417379,357774,5297,9018943,9073251
融券(交易單位),31914,24829,862,219160,211213
融資金額(仟元),39672969,33122413,173565,581894588,588271579
