排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
146,6933,AMAX-KY,302.0,-29.0,-8.76,1361,09/03,-59,-102,8,26,28,29,34.0,32.0,26.0,31.0
147,3693,營邦,648.0,6.0,0.93,3232,09/03,-3,11,15,22,13,1,11.0,-26.0,14.0,6.0
148,4916,事欣科,96.7,-3.8,-3.78,2065,09/03,29,26,24,22,-51,-54,-216.0,-171.0,-1430.0,-171.0
149,4971,IET-KY,611.0,-58.0,-8.67,8591,09/03,-10,16,22,22,-63,149,147.0,-91.0,-339.0,-686.0
150,8932,智通*,89.7,-1.1,-1.21,1784,09/03,1,2,-11,22,19,-9,19.0,22.0,22.0,-5.0
151,2377,微星,150.5,-4.5,-2.9,13701,09/03,-3,-6,1,21,26,-272,-337.0,-38.0,-1.0,-166.0
152,4576,大銀微系統,231.0,-11.0,-4.55,9013,09/03,-1,9,16,21,12,32,-193.0,-12.0,-62.0,-2.0
153,5209,新鼎,154.0,-1.0,-0.65,75,09/03,6,21,21,21,14,7,21.0,20.0,,21.0
154,00990A,主動元大AI新經濟,14.65,-0.12,-0.81,20272,09/03,7,1,8,20,29,108,-131.0,193.0,,-11616.0
155,1305,華夏,12.35,-0.15,-1.2,2610,09/03,19,19,21,20,21,-28,-211.0,-282.0,37.0,-239.0
156,1786,科妍,44.3,-1.85,-4.01,546,09/03,20,20,20,20,20,9,19.0,13.0,-16.0,14.0
157,1909,榮成,11.15,-0.2,-1.76,3195,09/03,0,30,28,20,-39,4,22.0,29.0,-23.0,27.0
158,5498,凱崴,52.9,-2.9,-5.2,2515,09/03,-2,-3,22,20,15,3,21.0,66.0,-1255.0,66.0
159,1101,台泥,24.45,-0.35,-1.41,24047,09/03,-9,-34,9,19,-44,20,-42.0,-258.0,-421.0,-163.0
160,4976,佳凌,37.7,-3.85,-9.27,12436,09/03,-204,42,25,19,-20,-164,242.0,283.0,-1405.0,272.0
161,6291,沛亨,458.0,18.0,4.09,4430,09/03,12,18,20,19,13,10,-14.0,-2.0,-93.0,-49.0
162,1308,亞聚,14.4,-0.2,-1.37,2030,09/03,-1,-2,15,18,22,25,19.0,-5.0,28.0,7.0
163,2425,承啟,36.35,-1.3,-3.45,1158,09/03,18,11,8,18,-2,-111,10.0,21.0,6.0,15.0
164,4542,科嶠,279.0,-18.5,-6.22,831,09/03,1,14,14,18,-27,-87,-395.0,-662.0,14.0,-246.0
165,6967,汎瑋材料,69.3,-2.7,-3.75,129,09/03,3,7,10,18,18,54,96.0,95.0,,92.0
166,2388,威盛,75.0,-1.4,-1.83,6337,09/03,-51,25,25,17,-57,-250,-214.0,10.0,-107.0,-49.0
167,3498,陽程,192.0,-9.5,-4.71,6645,09/03,15,-3,-28,17,20,572,486.0,441.0,418.0,485.0
168,5309,系統電,50.7,-1.8,-3.43,1180,09/03,4,5,27,17,-10,22,-343.0,-10.0,-1259.0,-2075.0
169,6531,愛普*,912.0,-45.0,-4.7,8083,09/03,3,9,25,17,8,10,-64.0,60.0,-67.0,-346.0
170,8240,華宏,47.8,-2.9,-5.72,1352,09/03,-46,3,16,17,21,21,6.0,14.0,-19.0,15.0
171,2465,麗臺,96.2,-8.8,-8.38,12290,09/03,-50,22,23,16,13,64,69.0,73.0,73.0,73.0
172,3702,大聯大,102.0,0.0,0.0,10122,09/03,9,7,7,16,23,-158,-114.0,-23.0,-41.0,-73.0
173,6640,均華,1185.0,-25.0,-2.07,1258,09/03,5,16,16,16,15,20,17.0,17.0,,20.0
174,8086,宏捷科,112.0,-5.0,-4.27,4418,09/03,7,-2,16,16,-6,-17,-107.0,-403.0,-97.0,-93.0
175,1584,精剛,18.1,0.05,0.28,295,09/03,0,0,15,15,14,-17,22.0,18.0,-22.0,21.0
176,2316,楠梓電,153.0,-8.5,-5.26,2098,09/03,11,2,3,15,8,-23,-103.0,-450.0,-1864.0,-1144.0
177,2345,智邦,2090.0,-50.0,-2.34,2731,09/03,3,13,16,15,13,13,-3.0,-93.0,-181.0,-174.0
178,3024,憶聲,14.65,-0.15,-1.01,1311,09/03,0,0,13,15,23,26,2.0,42.0,42.0,41.0
179,5234,達興材料,289.5,-7.5,-2.53,326,09/03,0,2,0,15,11,21,11.0,-102.0,-412.0,-129.0
180,6024,群益期,63.0,0.1,0.16,166,09/03,15,15,15,15,15,15,15.0,15.0,14.0,14.0
181,6216,居易,20.45,-0.1,-0.49,121,09/03,15,15,15,15,15,6,14.0,3.0,-4.0,5.0
182,8064,東捷,102.0,-2.5,-2.39,12042,09/03,33,33,20,15,-21,3,-188.0,-86.0,-238.0,-317.0
183,1569,濱川,45.4,-2.5,-5.22,689,09/03,4,6,6,14,12,7,-1.0,-193.0,-648.0,-475.0
184,3357,臺慶科,203.0,-6.0,-2.87,968,09/03,-1,0,14,14,5,-7,-80.0,-631.0,36.0,-350.0
185,6510,精測,3350.0,-85.0,-2.47,1939,09/03,-16,-2,14,14,15,16,15.0,0.0,-22.0,-21.0
186,00891,中信關鍵半導體,34.38,-0.41,-1.18,9613,09/03,0,0,-13,13,-196,11,20.0,8.0,27.0,-17.0
187,2454,聯發科,4340.0,65.0,1.52,9510,09/03,14,12,13,13,13,15,-56.0,-8.0,-91.0,47.0
188,3055,蔚華科,131.0,-11.0,-7.75,7906,09/03,-18,35,31,13,40,-53,57.0,58.0,42.0,-84.0
189,3167,大量,730.0,-44.0,-5.68,4104,09/03,-87,-97,-95,13,-28,68,-9.0,-66.0,-412.0,-841.0
190,3231,緯創,188.5,3.0,1.62,97295,09/03,6,-4,2,13,-265,-728,52.0,-197.0,-733.0,-1197.0
191,3264,欣銓,226.0,-7.5,-3.21,4274,09/03,5,-20,11,13,63,51,32.0,-52.0,-717.0,-880.0
192,3580,友威科,85.5,-3.5,-3.93,878,09/03,8,12,14,13,6,24,-76.0,24.0,-96.0,13.0
193,4174,浩鼎,24.6,-0.4,-1.6,494,09/03,13,13,13,13,13,13,13.0,13.0,-38.0,1.0
194,6962,奕力-KY,31.8,-0.5,-1.55,1776,09/03,2,2,13,13,18,14,21.0,-2.0,-90.0,-51.0
195,7780,大研生醫*,16.65,-0.3,-1.77,1435,09/03,14,14,14,13,13,14,,,,
196,8927,北基,19.5,-0.05,-0.26,82,09/03,0,0,13,13,13,13,11.0,12.0,-1246.0,-18.0
197,2369,菱生,30.4,-1.1,-3.49,4337,09/03,14,12,19,12,-36,-64,-72.0,-103.0,-64.0,-158.0
198,3041,揚智,22.95,-0.85,-3.57,804,09/03,-9,-3,1,12,10,7,-11.0,36.0,-29.0,37.0
199,3305,昇貿,108.5,-3.5,-3.12,1175,09/03,5,-2,8,12,-3,4,-147.0,-132.0,-1536.0,-153.0
200,3545,敦泰,50.4,-2.1,-4.0,1159,09/03,1,7,12,12,14,23,-21.0,-217.0,37.0,-50.0
201,5386,青雲,260.0,-18.0,-6.47,1854,09/03,4,6,0,12,4,-33,13.0,-507.0,51.0,-32.0
202,6894,衛司特,349.0,-7.0,-1.97,31,09/03,-4,-11,-11,12,12,12,12.0,12.0,,12.0
203,1795,美時,181.5,-2.5,-1.36,900,09/03,1,1,-1,11,3,-17,-13.0,-45.0,-3.0,-67.0
204,2364,倫飛,66.0,-1.5,-2.22,366,09/03,0,1,3,11,8,10,8.0,9.0,-11.0,-5.0
205,2905,三商,18.2,0.4,2.25,2924,09/03,4,11,11,11,10,9,11.0,11.0,11.0,-5.0
206,3564,其陽,52.9,4.8,9.98,1771,09/03,11,11,11,11,11,11,10.0,10.0,-7.0,9.0
207,4137,麗豐-KY,79.9,-1.4,-1.72,415,09/03,0,0,0,11,11,12,11.0,1.0,12.0,12.0
208,4949,有成精密,77.5,-4.8,-5.83,1608,09/03,-5,-6,3,11,8,7,-173.0,-51.0,-222.0,13.0
209,5292,華懋,219.0,-15.5,-6.61,418,09/03,10,10,11,11,10,15,14.0,14.0,14.0,13.0
210,6125,廣運,51.9,0.2,0.39,3322,09/03,-1,3,1,11,-83,18,18.0,-56.0,-791.0,-193.0
211,8050,廣積,54.2,-2.2,-3.9,1921,09/03,15,14,14,11,2,4,16.0,15.0,1.0,-25.0
212,00994A,主動第一金台股優,16.58,-0.4,-2.36,6018,09/03,6,8,9,10,10,-41,10.0,11.0,,
213,1218,泰山,14.35,-0.05,-0.35,608,09/03,0,0,0,10,10,-97,21.0,21.0,20.0,21.0
214,1514,亞力,100.5,-2.5,-2.43,1488,09/03,8,9,11,10,11,54,-309.0,-69.0,75.0,-59.0
215,1760,寶齡富錦,56.3,-0.9,-1.57,252,09/03,10,10,10,10,10,10,3.0,9.0,5.0,9.0
