項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),226366,197887,3687,9165719,9190511
融券(交易單位),17830,19125,4729,201486,198052
融資金額(仟元),16290924,17615398,312670,583877609,582240465
