排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 (萬元),2日 增減 (萬元),3日 增減 (萬元),5日 增減 (萬元),10日 增減 (萬元),1個月 增減 (萬元),3個月 增減 (萬元),半年 增減 (萬元),1年 增減 (萬元),今年 增減 (萬元)
123,3131,弘塑,2555.0,170.0,7.13,09/07,-505.0,685.0,-1963.0,-12282,-9350.0,-10724.0,-56201.0,-121202.0,-87524.0,-113858.0
124,1104,環泥,27.5,-0.2,-0.72,09/07,-269.0,-112.0,-734.0,-11994,-10254.0,-6662.0,8554.0,19413.0,15097.0,19998.0
125,3029,零壹,109.5,-2.0,-1.79,09/07,229.0,-136.0,-1453.0,-11993,-18732.0,-34064.0,-90209.0,-60640.0,-1718.0,-29214.0
126,4919,新唐,122.5,2.5,2.08,09/07,122.0,989.0,-2743.0,-11799,-27712.0,-56782.0,-209251.0,-122314.0,-69836.0,-83144.0
127,2393,億光,63.5,-1.3,-2.01,09/07,-95.6,-1715.0,-3020.0,-11723,-37205.0,-54991.0,-21814.0,25490.0,-34692.0,-3518.0
128,00830,國泰費城半導體,83.3,2.35,2.9,09/07,-12417.0,-12425.0,-15804.0,-11119,-509.0,-27065.0,-188863.0,-200454.0,-73598.0,-94249.0
129,1722,台肥,44.6,-0.2,-0.45,09/07,-1039.0,-3818.0,-8361.0,-10764,-17436.0,-7885.0,-46318.0,33659.0,68374.0,38333.0
130,5880,合庫金,26.5,-0.15,-0.56,09/07,3063.0,921.0,-2299.0,-10422,-8170.0,-24419.0,-272943.0,-18674.0,-18666.0,30742.0
131,2367,燿華,42.4,-0.7,-1.62,09/07,554.0,644.0,883.0,-10410,-14318.0,-45409.0,-84902.0,-31904.0,39187.0,-25538.0
132,4770,上品,239.0,12.5,5.52,09/07,-743.0,-1619.0,-4102.0,-10378,-11678.0,-16317.0,-3927.0,19819.0,-323.0,20348.0
133,3362,先進光,190.0,-20.0,-9.52,09/07,137.0,-3728.0,-4523.0,-10223,-11840.0,1527.0,17597.0,20026.0,27654.0,31250.0
134,6962,奕力-KY,31.8,-0.15,-0.47,09/07,-240.0,-2577.0,-5007.0,-10199,-9614.0,-7033.0,-24454.0,-5652.0,31457.0,-18181.0
135,2328,廣宇,46.0,-0.6,-1.29,09/07,217.0,-2134.0,-2705.0,-10169,-14764.0,-18298.0,7996.0,-27186.0,32601.0,-62820.0
136,3260,威剛,412.0,11.5,2.87,09/07,-6950.0,9602.0,25346.0,-9938,-243307.0,-250008.0,-289481.0,495851.0,667196.0,434707.0
137,2207,和泰車,539.0,0.0,0.0,09/07,-2485.0,-3821.0,-4708.0,-9904,-20579.0,-41740.0,-350187.0,-74343.0,115701.0,115184.0
138,2890,永豐金,42.6,-0.25,-0.58,09/07,9988.0,5778.0,-1903.0,-9746,-8219.0,18732.0,171128.0,181270.0,-235750.0,148977.0
139,8464,億豐,361.0,-12.5,-3.35,09/07,1461.0,1498.0,1572.0,-9643,-9370.0,-6611.0,146738.0,53592.0,121717.0,-152399.0
140,2312,金寶,32.3,-0.55,-1.67,09/07,4158.0,2825.0,1297.0,-9620,-12905.0,-45759.0,67180.0,30095.0,49704.0,-176685.0
141,6727,亞泰金屬,537.0,-4.0,-0.74,09/07,-926.0,-8477.0,-10304.0,-9561,-3135.0,18459.0,33315.0,37229.0,40231.0,38610.0
142,2889,國票金,16.45,-0.15,-0.9,09/07,-379.0,-5124.0,-7991.0,-9501,-13137.0,-19659.0,-42029.0,-12796.0,-78387.0,-15577.0
143,9910,豐泰,69.8,0.9,1.31,09/07,-10027.0,-10021.0,-9539.0,-9362,-13553.0,-28111.0,51157.0,164490.0,78927.0,130556.0
144,00403A,主動統一升級50,10.39,0.13,1.27,09/07,2.08,-1361.0,-2381.0,-9158,4338.0,34595.0,50376.0,,,
145,2436,偉詮電,71.7,6.5,9.97,09/07,-1965.0,-1561.0,-4446.0,-8454,-2733.0,-7525.0,-62810.0,-29385.0,-15720.0,-33614.0
146,2329,華泰,43.3,0.4,0.93,09/07,-1701.0,-4937.0,-6005.0,-8356,-8620.0,-9968.0,57272.0,51222.0,146759.0,96976.0
147,6438,迅得,155.5,-1.0,-0.64,09/07,233.0,-419.0,-70.5,-8296,-12978.0,-15004.0,-18407.0,-29237.0,7729.0,-11824.0
148,6285,啟碁,239.5,-4.0,-1.64,09/07,4664.0,-545.0,-3931.0,-8207,1886.0,-10910.0,22444.0,-279820.0,-130488.0,-236175.0
149,6456,GIS-KY,68.8,0.0,0.0,09/07,-105.0,534.0,2267.0,-7986,-7607.0,-12020.0,26944.0,60436.0,82305.0,61930.0
150,4772,台特化,250.5,2.5,1.01,09/07,1807.0,5165.0,8768.0,-7981,-4732.0,1710.0,8767.0,137345.0,151046.0,195579.0
151,2704,國賓,45.6,0.1,0.22,09/07,4.56,-68.0,-534.0,-7699,-7736.0,-6725.0,-7189.0,-4861.0,-2809.0,-1135.0
152,9907,統一實,15.3,0.05,0.33,09/07,358.0,351.0,-378.0,-7544,-13134.0,-13640.0,-25193.0,42191.0,47938.0,35820.0
153,2340,台亞,33.2,-0.85,-2.5,09/07,-716.0,-577.0,-278.0,-7533,-7772.0,-11451.0,-5931.0,428.0,22137.0,-1613.0
154,2530,華建,19.75,-0.4,-1.99,09/07,-322.0,-766.0,-3803.0,-7303,-9210.0,-11400.0,-11640.0,4176.0,30293.0,21488.0
155,6443,元晶,24.6,-0.35,-1.4,09/07,-254.0,909.0,269.0,-6945,-9295.0,-24601.0,-28487.0,-22776.0,-39927.0,-17688.0
156,3030,德律,282.0,-2.0,-0.7,09/07,-877.0,9645.0,14915.0,-6839,-33739.0,-75266.0,72197.0,103093.0,29198.0,67304.0
157,5314,世紀*,35.2,3.2,10.0,09/07,-287.0,-1117.0,-2452.0,-6808,-8526.0,-16106.0,-12356.0,21514.0,79256.0,9951.0
158,3515,華擎,231.0,4.0,1.76,09/07,-713.0,-3276.0,-3569.0,-6777,-11821.0,-17696.0,-15404.0,30196.0,63151.0,63906.0
159,2355,敬鵬,42.2,-0.6,-1.4,09/07,-699.0,-1604.0,-1467.0,-6648,-8417.0,-13261.0,-13907.0,21234.0,8390.0,14120.0
160,2385,群光,110.5,0.0,0.0,09/07,5077.0,1686.0,8840.0,-6344,1749.0,-7635.0,-41465.0,206903.0,455998.0,391793.0
161,2351,順德,233.5,-6.0,-2.51,09/07,684.0,167.0,-1065.0,-6339,5106.0,-4515.0,-52044.0,-21953.0,-54834.0,-54437.0
162,3035,智原,179.0,-0.5,-0.28,09/07,144.0,828.0,409.0,-6240,-6791.0,-38184.0,-271232.0,-318924.0,-178876.0,-327004.0
163,00984D,主動聯博全球非投,9.88,-0.02,-0.2,09/07,126.0,-2575.0,-6041.0,-6041,-544.0,13831.0,21474.0,26790.0,,
164,4583,台灣精銳,462.0,-11.5,-2.43,09/07,-141.0,-467.0,-2598.0,-6023,-5881.0,-7610.0,-11143.0,-25685.0,-39606.0,-49566.0
165,00900,富邦特選高股息30,19.59,-0.16,-0.81,09/07,-1250.0,-2201.0,-3019.0,-5987,-12585.0,-25502.0,-43726.0,-42370.0,-41892.0,-72103.0
166,00679B,元大美債20年,25.62,-0.16,-0.62,09/07,203.0,-570.0,-570.0,-5950,-8358.0,36765.0,31365.0,-4330.0,-163066.0,10482.0
167,00981A,主動統一台股增長,30.12,0.35,1.18,09/07,-3617.0,-8433.0,-14276.0,-5862,-218255.0,-262533.0,-853500.0,-340816.0,-111357.0,-131191.0
168,2542,興富發,48.0,-0.55,-1.13,09/07,1386.0,2408.0,-1470.0,-5801,-15640.0,-64089.0,100475.0,171452.0,281564.0,161861.0
169,6244,茂迪,23.45,0.05,0.21,09/07,-685.0,-863.0,-1302.0,-5753,-10356.0,-14064.0,-20648.0,-11743.0,10503.0,-5707.0
170,3380,明泰,29.85,-0.15,-0.5,09/07,90.4,72.6,525.0,-5715,-5365.0,-3730.0,15786.0,13845.0,26523.0,-1439.0
171,2399,映泰,46.8,-0.5,-1.06,09/07,2008.0,3416.0,1927.0,-5636,-7732.0,-5544.0,-8476.0,-7110.0,10371.0,-7748.0
172,9933,中鼎,40.3,-0.1,-0.25,09/07,-4.02,-5399.0,-5599.0,-5583,-5591.0,-9089.0,-2595.0,-74606.0,-137666.0,-95414.0
173,3005,神基,113.0,-2.0,-1.74,09/07,1167.0,-1414.0,-5168.0,-5565,-11933.0,-63164.0,-209114.0,64785.0,162453.0,142632.0
174,00632R,元大台灣50反1,9.64,-0.17,-1.73,09/07,98.6,1082.0,1082.0,-5436,-8843.0,-2766.0,-53791.0,-4135.0,29736.0,25744.0
175,009816,凱基台灣TOP50,16.17,0.27,1.7,09/07,-16.1,-4758.0,-1079.0,-5303,-45946.0,-76045.0,-76063.0,-11083.0,,
176,2915,潤泰全,56.7,-0.9,-1.56,09/07,-28.5,-515.0,-549.0,-5248,-12718.0,-41462.0,-95067.0,-33267.0,18028.0,-16941.0
177,3693,營邦,682.0,19.0,2.87,09/07,-1574.0,-1145.0,-350.0,-5231,-33609.0,-47888.0,-42470.0,-22092.0,-27400.0,-11361.0
178,3504,揚明光,84.5,-5.2,-5.8,09/07,984.0,-650.0,45.1,-5195,-4425.0,-3572.0,-1416.0,3161.0,5068.0,4201.0
179,5009,榮剛,32.75,-0.45,-1.36,09/07,-2047.0,-1688.0,-3102.0,-5135,-11713.0,-23061.0,-45166.0,-47054.0,-6765.0,-38961.0
180,2476,鉅祥,122.0,1.0,0.83,09/07,-208.0,1569.0,-1953.0,-5124,954.0,9640.0,13965.0,7933.0,-57105.0,-576.0
