項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),314089,278616,8333,9102904,9130044
融券(交易單位),24586,25528,463,197447,197926
融資金額(仟元),20640692,23666861,1000338,591897687,587871180
